('155', '3a47695428d0463a93124e45c390a708b68b6023', 0.9231672392883509)
('27', '3533fc7b1a9344b5e0ac59281bf0b14e6131cca1', 0.7502915421939792)
('806', '00bffd54bce6c706e0a976c70e4fc0a7d4d5291b', 0.7242949724407188)
('806', '258c36ae087c1615485201c98ef760f881be1b05', 0.6836773788243746)
('431', 'ed5a99a85f04ef934a4bae3af88807ea4002ca48', 0.6635197654958687)
('557', 'e52465b902f7a49691855df6afbcb0489ba5609b', 0.6574875801232721)
('291', 'a73f47a1cbd3a2e072c46f283ca08f3c4c54fdf0', 0.6521531571804757)
('554', '1048f5df145da9ee46c568efc8e59ec57cba9905', 0.6435113865472246)
('25', 'c72700c506d72a595a95091ca4d47c485ee883bb', 0.6278841615256624)
('25', '9f831b7c7c254d395ea71c00318811cb82ffa468', 0.6256761993945846)
('27', '2f6069b1e962f26bacf3e16f2cf66815f256451c', 0.5944677795183239)
('38', '571b8de867ba2273755297f25e5b5480ce9f6ca6', 0.5855222221686524)
('450', '8b865de0444b8e31ef3d982819f205a20521f4b9', 0.5738098531806016)
('62', 'ab74db9a1c27fe29de9c05280d27979af605c29a', 0.5262047998907643)
('99', 'bef7cb7832393719e171427be9fa11f2c5ceae8d', 0.515353773692523)
('27', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.49821505775152486)
('783', 'c65dbaabb1c891605279553839cad59b80688dd9', 0.48311991133180393)
('25', '2f6069b1e962f26bacf3e16f2cf66815f256451c', 0.48042565458085906)
('783', 'd1932884ee19a5ec819788e5f33b4c5f38b0dd37', 0.4697074686640917)
('123', 'bee33763a4fb206654c549dc186f76eaf7cd275a', 0.4668991115071856)
('27', 'f4563e07cfa9396658791af9e087f31c5ec0fe38', 0.4666814387205683)
('246', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.45253056912221856)
('564', 'd9bb27b112778e2cfefa234a529ef0bfec055501', 0.4433969230968623)
('27', 'c72700c506d72a595a95091ca4d47c485ee883bb', 0.4386751014842012)
('47', '2d32471d8e2d70609e83679771f9cb996085bf7d', 0.4385069334191249)
('435', '6825fba1012b81dd421868b98f9d6a48f84c50c1', 0.43552726115423746)
('783', '8fdf1f918e8e89d91fd1f372e00b055336875b7b', 0.4332716476122133)
('25', '3533fc7b1a9344b5e0ac59281bf0b14e6131cca1', 0.43050453528726995)
('25', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.4269229372164888)
('450', '2dd75fbec40e062c2f242c232a17cb30d5253a4c', 0.4265299469823107)
('291', '2f6069b1e962f26bacf3e16f2cf66815f256451c', 0.4205614480416351)
('783', 'd80c957284a4c2930240cfecc13f2619781d4d07', 0.4179408726505592)
('783', '2735cf79fbac8b7f09f0e969f095e2479f8be01a', 0.41519756806328495)
('495', '12e08eed8d303e90e9302c4ea56c7d00e13aa128', 0.4080028585623191)
('28', '9a47f81a1c8e450580b30e7e50e9006172dabbb8', 0.4076453881633364)
('783', '6a0ef2128fb6115c1fa6942d5cd4626892b62dbe', 0.40345814848916617)
('783', 'a344ff0e1c29b1710034cf7a6a1d41450be775ee', 0.40168106772232326)
('291', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.40107276946750325)
('305', '13758588b1f7b23ccb72fe7d241d5036c5ee2e13', 0.38900636368915137)
('614', 'a08919701c38822587529e443e7b7418d3bc0ecc', 0.3868109902318061)
('783', '04390d9b1819025c608de0a67d31919d11159a53', 0.38557876232884636)
('783', 'b69b8d67e09d22470cf8fdba898e8e6aaf628d0c', 0.38381923153811026)
('783', 'a08919701c38822587529e443e7b7418d3bc0ecc', 0.3835850017707144)
('783', 'f6d48d4b844a088cad18ec2942549d4fbf4c5b7a', 0.38095403208166106)
('450', '564360fb6cf2fa91298ea4abb6ad362b2891ecca', 0.37509929111320006)
('783', 'c20c175b1c1da52a8b1f72b7fae380e22af266b8', 0.3703281703510196)
('25', '6487bc9efac993503c0e8e291e622eeb77195664', 0.36791698641287407)
('510', '6bad467bba438c025bca17a74fe9e9ec6fcdac94', 0.3670796097325747)
('495', '0bfc0e16e72303cf2d8550582240345bde436f34', 0.36694638759526765)
('783', '037c9488f6ec1d6980749423ee341145e5c3501a', 0.36688026606504054)
('783', '8341165b46f72a83d675fac2dd1372c21dac568d', 0.36544649985617716)
('27', '529f3990a62d1ff5be8188176838b7f2de9207f2', 0.3652023102632531)
