('129', '88908b5f25a20efb2d548d6501c3f486b1e3f74a', 0.9928694779279352)
('949', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.985506873543074)
('414', '0f14cb965b19312ffbac47fd0a83f2efd4f0c36f', 0.9756419909872638)
('769', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.9753622306556883)
('2135', 'd3a4a1a4893d6131e1e69ebba5eef49c45a03d94', 0.9729246342054512)
('2135', 'f6863f013b91917b8c4ff45610b7b07b8f14a700', 0.9729244527991678)
('2117', 'f6863f013b91917b8c4ff45610b7b07b8f14a700', 0.9726910954911563)
('1102', '2562b7000cdeefff8fa410b5a2fd3783574aeee4', 0.971982387847673)
('1709', '2733d93e92d11e2ac70ffcdf5107a6fb1cd50310', 0.9706694429466648)
('872', '3934f9bec77e39a1746d9edd347055efc5d74b1f', 0.9702683334718873)
('1799', 'cb7bf9a76b4bc7a07849c3cb3fe99a993207853f', 0.9691026756371403)
('2658', 'c49d85bb5894bbdb4f86c461dfa4f82b1bf93e7a', 0.9684012592596568)
('2658', 'f221fe1b3c64c85e12bf3b059423517e2aa6d88b', 0.9676453282988499)
('1715', 'aaa895afac87e2c5679df0cfb8534db80c9af900', 0.9635218929320591)
('2658', '65d706d54d9fd0aea5254d2b2f76efa433b1cb75', 0.9621912573064714)
('2658', 'd982beed4b4da5125785fb4d2095a05c162cec91', 0.9620783118579165)
('1377', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.9591628575729997)
('2658', 'ed57e419c484ef01726ebec93cebde538e45103f', 0.9549056188765277)
('2658', '573c8f4d6d8b9ef9cadf6177b2e4f1c39e31658b', 0.9500702666864492)
('2658', 'b11d483be89dd5a7688f08cd8af12f72908899ee', 0.944858135671713)
('1759', 'a31afb10c402a996e2eee28ef4408d66932dd962', 0.9427080478624061)
('984', '06d0d4725ee1a79d7a826758073d06bd8db57498', 0.9332890754741228)
('2211', '2b1339c633815ec8cbdbaac88244e56fab925d78', 0.9074760217304284)
('98', '22dda86b3dd24305fd3d2c5d9555cfe4f620694a', 0.9033393960329392)
('2313', '0f10b84a83d0f35249c1b3efc5492785f634f52e', 0.902363088412856)
('2319', 'd4b2318663377208afc051b26e05c442a883b7d6', 0.9015989158395595)
('2271', '1c331c217d48c1186b0cb2d9ccb9b06229c0a6df', 0.9010356450378715)
('1391', '0a3fbb639ba056c70c43308b5478444797ee75c3', 0.8918334550246838)
('1391', 'c3681f1d0ec5ca21c9588888d84b02148d8eeb7b', 0.8892874196242876)
('1717', '063ca30b4153ca10bdbb60d0cb64856bd97efd70', 0.8750732678563126)
('1391', 'aa7c29ceeb7470476c6c6c55ed7f0f1320a121c0', 0.8723602570018381)
('2061', 'bfec2d8e956525eb0cd3d2f9c650653164ce90dd', 0.8675755974785544)
('1299', 'b08480b88f4fe8bb52baba99583f9943ef87af0a', 0.8648872462181738)
('1717', 'fb7f16956bc1b6acaae480143ef1ce0a6ca3f6fe', 0.8642717521156882)
('769', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.8637122643034841)
('1309', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.8619974308802548)
('815', 'c30536c061d4629e743871cf940c15730bcd224f', 0.8613750633230529)
