('30', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.00693066814738251)
('37', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.005995607054111341)
('34', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.005512131008140121)
('51', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.005396195225331648)
('73', 'd8e9cfacec7d0384862714c01c235fbf1c9187af', 0.0052995494585313585)
('40', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.005093919148631344)
('73', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.005071256976370897)
('35', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.004652575127308142)
('73', '4aed57ce101ecbb9f0eb1b9b210b9796d776a891', 0.0045813645698736544)
('37', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.004491670897464552)
('73', '7e31bd50a933f4603bf66fda9f7b4344bd9f7a03', 0.004344445359204167)
('30', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.003966485636873207)
('73', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.0024630334114180176)
('40', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.0024441527288049303)
('73', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0023383873729548826)
('38', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0022096139914600252)
('36', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0019001962043766697)
('30', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.001332818648275905)
('34', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0012592092559542852)
('43', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.0010143567244680581)
('52', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.000937117749234085)
('73', '314257056225969156647c71e1be58307e660206', 0.0005352582963953148)
('73', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.000532568403120692)
('73', '6a0bb9b55c52db0d5c4e0bf66bb4ce531a8169a8', 0.0004398280251417314)
('73', '6eb98ea0155ecc560af9d61b12711f532f61fa6d', 0.00034076209952769266)
('73', 'ed3810827df9f47ee0936b68e4e80ba8d8c451ed', 0.0002941932495426025)
('73', 'd563a430d77451eb5109a01b483413a3f51ec909', 0.00012411810994277807)
('73', 'e449763453bc09b38385fe380d61c4f037fc07bb', 4.405384614087959e-05)
('73', '7163edf53fe9194cb0246d31ead4e160bf18389b', 0.0)
('73', '98426917fab0c0b20b85dc4403f1e433644f00ef', 0.0)
('73', 'e990c1551701018e1179390ded792c08b5ef9a5b', 0.0)
('73', 'aff5e47f51602e7691987eabc1cca03df49d973e', 0.0)
('54', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.0)
('51', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.0)
('50', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.0)
('49', 'ed3810827df9f47ee0936b68e4e80ba8d8c451ed', 0.0)
('47', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0)
('44', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0)
('42', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0)
('42', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.0)
('39', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
('35', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.0)
('35', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
