('39', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.009536149017362525)
('73', '00f8f80387e04ce35ebb30d9e4446feff18871e5', 0.008543331427993718)
('37', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.008363612278567347)
('73', '4aed57ce101ecbb9f0eb1b9b210b9796d776a891', 0.007959127036593069)
('38', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.007491600061126181)
('30', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.007476908161633275)
('50', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.007283763212640406)
('43', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.006939146418841978)
('73', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.006716273886880787)
('42', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.006710743630605688)
('73', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.006623730951638505)
('40', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.0057578382209630226)
('51', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.005310456911191472)
('39', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.004737286173103873)
('37', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.004133795895146456)
('73', 'ed3810827df9f47ee0936b68e4e80ba8d8c451ed', 0.0039326062579780234)
('35', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.003440138021049942)
('51', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.0032402797196976417)
('38', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.003134800001309912)
('30', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0027814856484556856)
('73', 'd563a430d77451eb5109a01b483413a3f51ec909', 0.0026061840164151237)
('36', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0022477461995505377)
('40', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.0018776334274664915)
('35', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.0017955083578289179)
('52', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.0012280891564186945)
('73', 'e449763453bc09b38385fe380d61c4f037fc07bb', 0.0009383331600232118)
('51', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.0007480631889139522)
('73', '314257056225969156647c71e1be58307e660206', 0.0006751164494468585)
('73', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0004668929851816669)
('34', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.00046654910010414174)
('73', '7163edf53fe9194cb0246d31ead4e160bf18389b', 0.0)
('73', '98426917fab0c0b20b85dc4403f1e433644f00ef', 0.0)
('73', 'e990c1551701018e1179390ded792c08b5ef9a5b', 0.0)
('54', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.0)
('51', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.0)
('50', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.0)
('49', 'ed3810827df9f47ee0936b68e4e80ba8d8c451ed', 0.0)
('47', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0)
('44', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0)
('42', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.0)
('39', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
('35', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.0)
('35', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
