('155', '3a47695428d0463a93124e45c390a708b68b6023', 0.9233332412650931)
('27', '3533fc7b1a9344b5e0ac59281bf0b14e6131cca1', 0.7502847511191634)
('806', '00bffd54bce6c706e0a976c70e4fc0a7d4d5291b', 0.7406461621141005)
('557', 'e52465b902f7a49691855df6afbcb0489ba5609b', 0.7197312216288454)
('806', '258c36ae087c1615485201c98ef760f881be1b05', 0.7142391049295292)
('431', 'ed5a99a85f04ef934a4bae3af88807ea4002ca48', 0.6656412815045729)
('291', 'a73f47a1cbd3a2e072c46f283ca08f3c4c54fdf0', 0.6523285645574318)
('25', 'c72700c506d72a595a95091ca4d47c485ee883bb', 0.6282185646869286)
('783', 'c65dbaabb1c891605279553839cad59b80688dd9', 0.6278301339652357)
('25', '9f831b7c7c254d395ea71c00318811cb82ffa468', 0.6251311936783688)
('27', '2f6069b1e962f26bacf3e16f2cf66815f256451c', 0.5943421544548727)
('38', '571b8de867ba2273755297f25e5b5480ce9f6ca6', 0.5855850160133801)
('554', '1048f5df145da9ee46c568efc8e59ec57cba9905', 0.5650211883929603)
('783', 'a344ff0e1c29b1710034cf7a6a1d41450be775ee', 0.537346320656463)
('246', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.5290125319863834)
('62', 'ab74db9a1c27fe29de9c05280d27979af605c29a', 0.525638076352726)
('99', 'bef7cb7832393719e171427be9fa11f2c5ceae8d', 0.5158205788833975)
('783', 'd1932884ee19a5ec819788e5f33b4c5f38b0dd37', 0.5069496118936779)
('27', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.4983317738198488)
('450', '8b865de0444b8e31ef3d982819f205a20521f4b9', 0.49028983312302277)
('25', '2f6069b1e962f26bacf3e16f2cf66815f256451c', 0.4806261649609038)
('123', 'bee33763a4fb206654c549dc186f76eaf7cd275a', 0.4761430855925643)
('27', 'f4563e07cfa9396658791af9e087f31c5ec0fe38', 0.46656167388087544)
('564', 'd9bb27b112778e2cfefa234a529ef0bfec055501', 0.44219784359513337)
('495', '12e08eed8d303e90e9302c4ea56c7d00e13aa128', 0.4396969714163888)
('27', 'c72700c506d72a595a95091ca4d47c485ee883bb', 0.43865065307816176)
('783', '8fdf1f918e8e89d91fd1f372e00b055336875b7b', 0.43589462506204285)
('47', '2d32471d8e2d70609e83679771f9cb996085bf7d', 0.43584932598281384)
('435', '6825fba1012b81dd421868b98f9d6a48f84c50c1', 0.435353457670188)
('25', '3533fc7b1a9344b5e0ac59281bf0b14e6131cca1', 0.43080140673444944)
('25', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.42732622134545606)
