('40', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.006070112812772348)
('30', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.006011128836652966)
('30', '314257056225969156647c71e1be58307e660206', 0.005692787793203697)
('73', 'd8e9cfacec7d0384862714c01c235fbf1c9187af', 0.0051881563774285894)
('73', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.005152683246400892)
('73', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.004410087381192267)
('51', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.004028126278185209)
('35', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.0036628978741961317)
('35', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.0036108510205838406)
('34', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.00337384677617102)
('37', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0028872422371430243)
('30', 'ed3810827df9f47ee0936b68e4e80ba8d8c451ed', 0.0023335752376923238)
('38', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0020664467395798388)
('40', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.001993409829211934)
('36', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0018378989529363942)
('42', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.0017500571770906925)
('30', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0016319088146680585)
('52', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.0015490057435578026)
('43', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.0012011231140843454)
('51', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.0011801249964792954)
('73', 'ed3810827df9f47ee0936b68e4e80ba8d8c451ed', 0.0008603110426398004)
('73', 'e449763453bc09b38385fe380d61c4f037fc07bb', 0.0006240162659834602)
('73', '6eb98ea0155ecc560af9d61b12711f532f61fa6d', 0.0004994602095420486)
('73', '6a0bb9b55c52db0d5c4e0bf66bb4ce531a8169a8', 0.0004170491223819176)
('73', '314257056225969156647c71e1be58307e660206', 0.00039304949412743956)
('34', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.00037000017016421496)
('73', 'd563a430d77451eb5109a01b483413a3f51ec909', 0.00029895141628993334)
('73', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0002893912562676635)
('73', '7163edf53fe9194cb0246d31ead4e160bf18389b', 0.0)
('73', '98426917fab0c0b20b85dc4403f1e433644f00ef', 0.0)
('73', 'e990c1551701018e1179390ded792c08b5ef9a5b', 0.0)
('73', 'aff5e47f51602e7691987eabc1cca03df49d973e', 0.0)
('54', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.0)
('51', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.0)
('50', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.0)
('49', 'ed3810827df9f47ee0936b68e4e80ba8d8c451ed', 0.0)
('47', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0)
('44', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0)
('42', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0)
('42', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.0)
('39', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
('35', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.0)
('35', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
