,arthas,,,canal,,,druid,,,nacos,,,rax,,,san,,,EasyReact,,,Emmagee,,,bk-cmdb,,,ncnn,,,QMUI_Android,,,QMUI_iOS,,,weui,,,xLua,,,pegasus,,
,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP
lsi_origin,"(0.2154, 0.1728, 0.1918)","(0.0959, 0.4568, 0.26063255592574963)","0.146","(0.137, 0.1183, 0.127)","(0.0767, 0.1893, 0.14633450917153798)","0.057","(0.1269, 0.0394, 0.0601)","(0.0206, 0.2153, 0.07449076251259659)","0.019","(0.1346, 0.2258, 0.1687)","(0.1346, 0.2258, 0.19885291808427114)","0.073","(0.0767, 0.1523, 0.102)","(0.0506, 0.2649, 0.14341900278193878)","0.043","(0.1386, 0.7, 0.2314)","(0.1386, 0.7, 0.38671875000000006)","0.226","(0.0495, 0.6452, 0.092)","(0.0495, 0.6452, 0.18938211574952563)","0.044","(0.1818, 0.25, 0.2105)","(0.1139, 0.5625, 0.31464861015617324)","0.133","(0.0141, 0.1221, 0.0253)","(0.0141, 0.1221, 0.048224369747899155)","0.008","(0.4375, 0.2188, 0.2917)","(0.4375, 0.2188, 0.24310493701747257)","0.194","(0.1538, 0.1905, 0.1702)","(0.0878, 0.2857, 0.19692620505573874)","0.101","(0.3478, 0.5, 0.4103)","(0.2549, 0.8125, 0.5652154631297419)","0.339","(0.1121, 0.2609, 0.1569)","(0.1121, 0.2609, 0.20616727759763148)","0.089","(0.4, 0.2, 0.2667)","(0.1754, 0.5, 0.3649300932090546)","0.243","(0.2353, 0.2759, 0.254)","(0.1429, 0.5862, 0.36175496631542586)","0.165",0.18390666666666666,0.2467201690969838,0.12533333333333332
lsi_trans,"(0.2364, 0.1605, 0.1912)","(0.0993, 0.3704, 0.23958259510161542)","0.142","(0.1163, 0.1479, 0.1302)","(0.061, 0.213, 0.14215536105032822)","0.06","(0.0597, 0.0579, 0.0588)","(0.0233, 0.162, 0.0739537617554859)","0.019","(0.0984, 0.1935, 0.1304)","(0.0443, 0.7742, 0.18024521757410134)","0.062","(0.1522, 0.0927, 0.1152)","(0.0544, 0.3046, 0.15865798544618917)","0.055","(0.1739, 0.6, 0.2697)","(0.1371, 0.85, 0.4166726258581235)","0.28","(0.0538, 0.5484, 0.098)","(0.0538, 0.5484, 0.1931896280775275)","0.044","(0.3077, 0.25, 0.2759)","(0.1375, 0.6875, 0.3819444444444444)","0.167","(0.0187, 0.0899, 0.0309)","(0.0155, 0.1606, 0.055914195867026055)","0.009","(0.381, 0.25, 0.3019)","(0.381, 0.25, 0.26846110484780156)","0.204","(0.2319, 0.254, 0.2424)","(0.1739, 0.3175, 0.2724965452571315)","0.135","(0.45, 0.5625, 0.5)","(0.3333, 0.75, 0.5999783986175116)","0.41","(0.1205, 0.2174, 0.155)","(0.0578, 0.5217, 0.2002540842077301)","0.091","(0.2162, 0.4, 0.2807)","(0.2162, 0.4, 0.34187223276407336)","0.244","(0.2222, 0.3448, 0.2703)","(0.156, 0.5862, 0.3778185423896877)","0.246",0.2033733333333333,0.2602131148839185,0.14453333333333335
