('788', '4d36c60738345b6123ccdc16cde4688d167d5f73', 1.0)
('619', '31ed4efe3af5c4b1f8e0cb42ba9a68c21ec4d0e3', 1.0)
('497', '863a61d6269e7756c8c797b6409bf28c75604a9a', 1.0)
('497', 'edc2fbe1dc359f8083b462bba2c24de30338d976', 1.0)
('497', 'b1431f8827712d9e3feb6c9b310c53947bd9c6d6', 1.0)
('171', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 1.0)
('145', 'f0bed4c762a015857c063bf83cee54c32f47b40d', 1.0)
('115', 'db4fc68a550a2a6c42ddc91e7302eca985e9a468', 1.0)
('115', '09339333bb1d0e8a501205caa6ddd32757613d27', 0.9999373048079507)
('202', '03ff9512dddee8c46ebf661fefebdea88217b281', 0.9995943542974367)
('639', '11467fca2a078a6868473b61a9608ba45e337795', 0.9994143371640335)
('1076', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.9989801624329316)
('202', 'e5444ae658cf841577978c2ab7fc2d4fd0a3f69c', 0.9979347399879397)
('726', 'f0bed4c762a015857c063bf83cee54c32f47b40d', 0.9965822412032864)
('112', 'c60b04424b0a357c69ced2e68a847e16ca87a002', 0.9957619039014668)
('912', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.9952547533088987)
('807', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.9944489784644208)
('415', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.9939547536130398)
('890', '32910b59830d6b10fdd4a2218a5151af4a922838', 0.9909813174140912)
('522', '4d36c60738345b6123ccdc16cde4688d167d5f73', 0.9879147951267692)
('259', '03ff9512dddee8c46ebf661fefebdea88217b281', 0.9866740286836765)
('535', '11467fca2a078a6868473b61a9608ba45e337795', 0.9866131099194645)
('497', 'b9e3629459beb8c976cf2e3fb74decb356f8c169', 0.986344465128415)
('890', '82f8a9fc980dd428eb45c8f66789564632723897', 0.9856359750405652)
('259', 'e5444ae658cf841577978c2ab7fc2d4fd0a3f69c', 0.9850177067457399)
('144', '72b907a75f78b3adae78dba42f16b5c1677cdab9', 0.9829135204824713)
('144', '8cfb70e0809ba12fa5bc9f0131e4412064d8b1ac', 0.9822689722296257)
('442', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.9806075807816244)
('724', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.9805335215168456)
('202', '448fc8bcde787177db5adcc6e26bc5aae1eff4ab', 0.9800153976740187)
('442', '3930ea0f9bc5076c3f1611bf39e8f0b4cdfafae2', 0.9797937966901479)
('442', '377a72e1c0373f5377f48e68307baee0c5bde37a', 0.9794407818496182)
('816', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.9759538225170878)
('742', '72b907a75f78b3adae78dba42f16b5c1677cdab9', 0.9741236716591911)
('742', '8cfb70e0809ba12fa5bc9f0131e4412064d8b1ac', 0.9734948301644372)
('828', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.970768745875566)
('663', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.9691585807470761)
('257', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.96881055647771)
('818', '72b907a75f78b3adae78dba42f16b5c1677cdab9', 0.9680830181581875)
('5', 'c6f4de9f88877c4c4625d3ab809d47092a4e75ea', 0.967919252568259)
('818', '8cfb70e0809ba12fa5bc9f0131e4412064d8b1ac', 0.9674699261408723)
('259', '448fc8bcde787177db5adcc6e26bc5aae1eff4ab', 0.9673159331706146)
('850', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.9566230204295257)
('449', '7efd067bd52b8f3d01e6f17fb20b16a0d297b6bf', 0.9514440669060629)
('449', 'a2241e25217f7ffdd8824502a47bf3b18623dc2f', 0.9514362591795555)
('112', '72ceb58fa3e0e484ca27cdfc7fd5f20cd0277561', 0.9508931429513697)
('890', '7de40091a34aaef868fa1244dc29a46602f625e9', 0.944135678753211)
('360', '780b4f715bf5f790fc249830d054d68eb153890a', 0.9427893619668245)
('622', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.9409968284585631)
('780', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.9387215524452878)
('894', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.9386335477740703)
('447', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.9375599103245078)
('442', '96dca0b9e6b6dcc12fc439d2f17d85a4656485df', 0.9341222611015669)
('442', '847ebf9bf3187fb83616badbec1b2562053ae83d', 0.9320617429380024)
('393', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.9301768786970914)
('873', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.9279063408089435)
('762', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.9248232831590836)
('776', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.9239167507447881)
('162', '03ff9512dddee8c46ebf661fefebdea88217b281', 0.9232114190042475)
('893', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.9231446280528004)
