('514', '6940c61c6bf5bbee42c7120917689028d20d493c', 0.9533057942108626)
('126', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.7695964019786528)
('559', '1fb9d88b51522797e845afea8c69066767ae1436', 0.6483954516993309)
('598', 'e0cf9190d7c05e1d5e0cb2d9375dea0995984101', 0.6445230321082948)
('82', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.6398421473861913)
('559', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.6302521776786347)
('218', '967686b2f2d3e2ed770929c3909a33991220d56a', 0.6110101534088501)
('217', 'bd13b29c6f160e14d67b9668d31f5c81fdf068c8', 0.600309748767912)
('345', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.5906500560478158)
('195', '4fc95536aa3c2ce894701e62c8827d256d2c24e3', 0.5774005185738661)
('345', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.4733154528454543)
('195', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.4656114675799937)
('195', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.4655559197696662)
('388', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.45509812551216)
('78', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.44357810292238364)
('195', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.44209467297648314)
('139', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.43993073294666735)
('78', '019f986cc374ef228070f4aeba252f5071362488', 0.4317521135600102)
('218', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.3940492670573399)
('330', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.391046099914409)
('60', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.3878661105577116)
('60', 'e0cf9190d7c05e1d5e0cb2d9375dea0995984101', 0.3733704163284796)
('218', 'bd13b29c6f160e14d67b9668d31f5c81fdf068c8', 0.3661085922124045)
('217', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.36392600644837136)
('217', '1fb9d88b51522797e845afea8c69066767ae1436', 0.3593989832056766)
('405', '5696194875fbab3412b97a99d0e204dad0aa2823', 0.3593199699564089)
('78', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.33874996692972215)
('345', '019f986cc374ef228070f4aeba252f5071362488', 0.3372084333342182)
('78', 'd26d710c2cc8bc0d3bcb27d84fa817bb8acbd7fd', 0.33645123921755804)
('78', 'ac0994f5292997f298595ca7291af3bd88ae1fc5', 0.33106042948307196)
('78', '9b59aa4de2f48923f9ed541418efe98a70b3d7e7', 0.3310396446053813)
('330', '1fb9d88b51522797e845afea8c69066767ae1436', 0.3229949886242609)
('218', '5d34d1c03e527547cf47ccff2eb5f359cdb8f49a', 0.32123824003838636)
('330', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.31884606717040803)
('405', '6d9c6b7dd9f1741c7c7f39e190b948879253d92c', 0.30536643663455487)
('78', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.30461604132195613)
('134', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.30337007186362425)
('401', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.3017146564051985)
('78', '719070cb5e16fc6667d514cf5e88117b16395755', 0.28677446835976794)
('345', '31dfef55fe9538c02ea5d5c42e9b3160cbb51443', 0.2865558334931765)
('134', '5d34d1c03e527547cf47ccff2eb5f359cdb8f49a', 0.2844510164574016)
('78', '6d9c6b7dd9f1741c7c7f39e190b948879253d92c', 0.282166724708743)
('78', '15873145252823f57110c8ef0b8bf8964902a098', 0.2767439467743504)
('78', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.2725580386252915)
('26', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.2598623411707034)
('218', '019f986cc374ef228070f4aeba252f5071362488', 0.25860438155296384)
('5', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.25801455047779487)
('172', 'e0cf9190d7c05e1d5e0cb2d9375dea0995984101', 0.2568137498499373)
('78', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 0.25177640892083347)
('598', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.25070464063506365)
('405', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.24893504004686245)
('195', '019f986cc374ef228070f4aeba252f5071362488', 0.24473287259521528)
('481', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.24337108600499113)
('26', '1fb9d88b51522797e845afea8c69066767ae1436', 0.2426758463324938)
('78', 'f89aab14fa21c019295b4cc667399c1049f421b6', 0.23788365273210416)
('405', '15873145252823f57110c8ef0b8bf8964902a098', 0.23527958223481263)
('388', 'e0cf9190d7c05e1d5e0cb2d9375dea0995984101', 0.2306681437276835)
('481', 'bdebbc3a3b2915ebd65308567e987ca6d84b73e5', 0.2301957371620581)
('579', '019f986cc374ef228070f4aeba252f5071362488', 0.22279101293962308)
('405', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.22180186872773272)
('217', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.22159660481085436)
('217', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.214472623937618)
('405', '019f986cc374ef228070f4aeba252f5071362488', 0.21258117740580457)
('149', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.20924511119347058)
('195', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.20618574689208752)
('481', '5d34d1c03e527547cf47ccff2eb5f359cdb8f49a', 0.20565873067808008)
('9', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.20146421771514253)
('149', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.1942790512370658)
('405', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 0.19405133518951273)
