,arthas,,,canal,,,druid,,,nacos,,,rax,,,san,,,EasyReact,,,Emmagee,,,bk-cmdb,,,ncnn,,,QMUI_Android,,,QMUI_iOS,,,weui,,,xLua,,,pegasus,,
,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP
gvsm_origin,"(0.2366, 0.3827, 0.2925)","(0.2366, 0.3827, 0.34063208185990523)","0.221","(0.2032, 0.2249, 0.2135)","(0.1113, 0.3964, 0.2621157319391635)","0.126","(0.1731, 0.25, 0.2045)","(0.1433, 0.3032, 0.24788087631218622)","0.111","(0.2581, 0.2581, 0.2581)","(0.1507, 0.3548, 0.2791789891395155)","0.117","(0.2486, 0.2848, 0.2654)","(0.1333, 0.3841, 0.2790827973400196)","0.206","(0.5, 0.55, 0.5238)","(0.5, 0.55, 0.5392156862745099)","0.41","(0.3095, 0.4194, 0.3562)","(0.3095, 0.4194, 0.39159014118498847)","0.332","(0.2, 0.25, 0.2222)","(0.0667, 1.0, 0.2632617619197979)","0.179","(0.0435, 0.1156, 0.0632)","(0.0335, 0.2013, 0.10055994631673129)","0.018","(0.6111, 0.3438, 0.44)","(0.1765, 0.6562, 0.4251185582146528)","0.402","(0.3077, 0.381, 0.3404)","(0.1987, 0.4921, 0.3799062475716839)","0.268","(0.9167, 0.6875, 0.7857)","(0.75, 0.75, 0.75)","0.791","(0.3462, 0.1957, 0.25)","(0.1687, 0.3043, 0.2621561127566132)","0.196","(0.625, 0.5, 0.5556)","(0.4138, 0.6, 0.5504611564384533)","0.432","(0.4643, 0.4483, 0.4561)","(0.3542, 0.5862, 0.5183026460309536)","0.421"
gvsm_trans,"(0.2788, 0.358, 0.3135)","(0.2143, 0.4444, 0.3658378918254455)","0.263","(0.1867, 0.2485, 0.2132)","(0.1238, 0.3905, 0.27291351473410863)","0.124","(0.2495, 0.2824, 0.2649)","(0.1496, 0.4306, 0.31301146744412056)","0.183","(0.3103, 0.2903, 0.3)","(0.3103, 0.2903, 0.29409105452171075)","0.132","(0.3789, 0.2384, 0.2927)","(0.1964, 0.3642, 0.3110492259523396)","0.23","(0.4737, 0.45, 0.4615)","(0.2167, 0.65, 0.4643163238396625)","0.379","(0.4333, 0.4194, 0.4262)","(0.4333, 0.4194, 0.4221081947412431)","0.363","(0.1724, 0.625, 0.2703)","(0.1724, 0.625, 0.4098204777118515)","0.167","(0.0945, 0.1285, 0.1089)","(0.053, 0.2099, 0.1318404835269021)","0.036","(0.5789, 0.3438, 0.4314)","(0.1795, 0.6562, 0.4285689855916169)","0.388","(0.3067, 0.3651, 0.3333)","(0.216, 0.4286, 0.3581061426582083)","0.259","(0.8462, 0.6875, 0.7586)","(0.5, 0.875, 0.7608695652173914)","0.773","(0.5294, 0.1957, 0.2857)","(0.25, 0.2609, 0.2586446189229915)","0.16","(0.5385, 0.35, 0.4242)","(0.2222, 0.7, 0.4894889224572004)","0.467","(0.5, 0.4828, 0.4912)","(0.5, 0.4828, 0.4861446753665217)","0.397"
lda_origin,"(0.1379, 0.2963, 0.1882)","(0.125, 0.321, 0.24436662606577345)","0.09","(0.0731, 0.1893, 0.1054)","(0.0536, 0.2663, 0.1484676513417932)","0.035","(0.0636, 0.0694, 0.0664)","(0.0334, 0.1551, 0.08971839279528923)","0.018","(0.1071, 0.2903, 0.1565)","(0.1071, 0.2903, 0.2163011687769584)","0.067","(0.1098, 0.0596, 0.0773)","(0.0341, 0.2715, 0.11348553567050747)","0.032","(0.0769, 1.0, 0.1429)","(0.0769, 1.0, 0.2940501682471704)","0.072","(0.1429, 0.2581, 0.1839)","(0.1429, 0.2581, 0.2222640110883452)","0.07","(0.0667, 1.0, 0.125)","(0.0667, 1.0, 0.2632617619197979)","0.081","(0.0335, 0.0385, 0.0358)","(0.0184, 0.0792, 0.047685863874345556)","0.008","(0.2258, 0.2188, 0.2222)","(0.2258, 0.2188, 0.22016506238859182)","0.114","(0.0678, 0.1905, 0.1)","(0.0633, 0.2222, 0.14793079511989907)","0.028","(0.8333, 0.3125, 0.4545)","(0.8333, 0.3125, 0.35714163260827825)","0.387","(0.0822, 0.1304, 0.1008)","(0.0822, 0.1304, 0.11671254355400697)","0.034","(0.05, 1.0, 0.0952)","(0.05, 1.0, 0.20833333333333334)","0.049","(0.125, 0.1034, 0.1132)","(0.0345, 1.0, 0.15158172231985942)","0.046"
lda_trans,"(0.1923, 0.1852, 0.1887)","(0.0867, 0.3457, 0.21640570397111913)","0.072","(0.1039, 0.2071, 0.1383)","(0.0665, 0.3254, 0.18294808927967535)","0.049","(0.0544, 0.1111, 0.0731)","(0.036, 0.213, 0.10739495798319328)","0.022","(0.125, 0.129, 0.127)","(0.0734, 0.2581, 0.17169240529273155)","0.05","(0.103, 0.1126, 0.1076)","(0.0454, 0.298, 0.14104670558798998)","0.045","(0.0769, 1.0, 0.1429)","(0.0769, 1.0, 0.2940501682471704)","0.087","(0.0796, 0.2903, 0.125)","(0.0796, 0.2903, 0.18981337276162313)","0.079","(0.0667, 1.0, 0.125)","(0.0667, 1.0, 0.2632617619197979)","0.061","(0.0255, 0.1242, 0.0423)","(0.0228, 0.2056, 0.07897035040431268)","0.011","(0.5385, 0.2188, 0.3111)","(0.5385, 0.2188, 0.24828009103169252)","0.126","(0.1064, 0.3968, 0.1678)","(0.1064, 0.3968, 0.2566848249027237)","0.065","(0.9, 0.5625, 0.6923)","(0.7692, 0.625, 0.6493462639796855)","0.673","(0.1395, 0.1304, 0.1348)","(0.0657, 0.2826, 0.1702128712871287)","0.051","(0.1667, 0.1, 0.125)","(0.05, 1.0, 0.20833333333333334)","0.064","(0.3182, 0.2414, 0.2745)","(0.2424, 0.2759, 0.2684791649939783)","0.152"
vsm_origin,"(0.4667, 0.2593, 0.3333)","(0.2414, 0.3457, 0.3182032334324716)","0.262","(0.152, 0.2249, 0.1814)","(0.0945, 0.4201, 0.24871225410349582)","0.12","(0.2853, 0.2431, 0.2625)","(0.159, 0.3356, 0.274600658707287)","0.196","(0.2308, 0.1935, 0.2105)","(0.0903, 0.4516, 0.2508580216535433)","0.119","(0.2484, 0.2517, 0.25)","(0.1755, 0.2848, 0.2532549655451966)","0.16","(0.4375, 0.35, 0.3889)","(0.2439, 0.5, 0.41322174030902686)","0.382","(0.4231, 0.3548, 0.386)","(0.4231, 0.3548, 0.3666370652598671)","0.232","(0.1818, 0.375, 0.2449)","(0.1818, 0.375, 0.30926782798040287)","0.172","(0.0737, 0.1006, 0.0851)","(0.0508, 0.1392, 0.10326168224299066)","0.029","(0.7, 0.2188, 0.3333)","(0.1685, 0.4688, 0.34561078053902694)","0.329","(0.4118, 0.2222, 0.2887)","(0.148, 0.4603, 0.3236928632519243)","0.207","(0.7692, 0.625, 0.6897)","(0.3125, 0.9375, 0.6696428571428571)","0.637","(0.3462, 0.1957, 0.25)","(0.122, 0.3261, 0.24434467510133887)","0.14","(0.5, 0.35, 0.4118)","(0.2703, 0.5, 0.427365292183152)","0.39","(0.3667, 0.3793, 0.3729)","(0.2262, 0.6552, 0.47502)","0.333"
vsm_trans,"(0.4773, 0.2593, 0.336)","(0.3571, 0.3086, 0.3172166378814047)","0.259","(0.1934, 0.2426, 0.2152)","(0.1202, 0.3491, 0.2528125075310278)","0.128","(0.4008, 0.2292, 0.2916)","(0.1582, 0.4097, 0.31086110311750603)","0.23","(0.1628, 0.2258, 0.1892)","(0.1628, 0.2258, 0.20957947548460665)","0.103","(0.3171, 0.2583, 0.2847)","(0.246, 0.3046, 0.2907480987117802)","0.186","(0.7143, 0.25, 0.3704)","(0.3103, 0.45, 0.4128281693472091)","0.36","(0.3929, 0.3548, 0.3729)","(0.3929, 0.3548, 0.3618171719269103)","0.227","(0.1494, 0.8125, 0.2524)","(0.1494, 0.8125, 0.43042160130487206)","0.16","(0.0969, 0.1156, 0.1055)","(0.0592, 0.1884, 0.13115333960489184)","0.044","(0.7143, 0.3125, 0.4348)","(0.7143, 0.3125, 0.3521133703505064)","0.361","(0.56, 0.2222, 0.3182)","(0.1985, 0.4286, 0.34793513823000166)","0.259","(0.7857, 0.6875, 0.7333)","(0.4643, 0.8125, 0.7065283552459077)","0.666","(0.2619, 0.2391, 0.25)","(0.1146, 0.3913, 0.26387536777686244)","0.135","(0.3, 0.45, 0.36)","(0.2167, 0.65, 0.4643163238396625)","0.398","(0.3415, 0.4828, 0.4)","(0.1917, 0.7931, 0.487330181421886)","0.375"
