('1994', '7a99e4a633312c9f10c33d8d24b17979f6bac5b0', 0.9702783056520775)
('1789', '7bf323cd5788ac316b02662caee7b590307fd604', 0.9663755384839705)
('2167', '5170a3b9447c629193d01085442beb4e7e3755ce', 0.9611840186820446)
('2319', 'd4b2318663377208afc051b26e05c442a883b7d6', 0.9517585814798699)
('2593', '6c1dee00048e7a391dfaab9c3d36df4a62c4239f', 0.9369797304071702)
('2271', '1c331c217d48c1186b0cb2d9ccb9b06229c0a6df', 0.9274462731443013)
('2167', '98fd85140cdc9ba10879a5d797c646abe842606e', 0.9181667688350981)
('535', '4770fce08c8e053b6ff57564c1facfc3d46aff63', 0.9112768208918994)
('535', 'bf9a20bf9aac358f5d6bf824e723713f1475b6df', 0.9101914983169456)
('2117', 'f6863f013b91917b8c4ff45610b7b07b8f14a700', 0.90015883062807)
('1727', '6c8169b1fb0cfc0d1701ebdf2f8d5ec68076b996', 0.8872297090713379)
('2280', 'ba13f107c934b223412ee339a8cc01579577c378', 0.8848878959975056)
('984', '06d0d4725ee1a79d7a826758073d06bd8db57498', 0.867394176348409)
('1950', '61794c4c19ba489c5885f028eef48832a12ef29e', 0.8665378861456672)
('1945', '20acfee9edff6a98e696f75f48a28d912b0a992a', 0.8625699626592542)
('2264', '91242006f5601b9bb260371f3c69c1246625b008', 0.8495598125460286)
('2295', '00eefb99b428759d73095b252fc60c191ace432a', 0.8464653605590312)
('2041', 'cf228c5b34ba650d2c7db39cbb885c569360752f', 0.8336569824377766)
('1759', 'a31afb10c402a996e2eee28ef4408d66932dd962', 0.8088270511205441)
('2118', '077ce62ab069dc7eb1ee49fa28c7ce1dc669d90e', 0.8042314519882292)
('1507', 'b0c791e00760488d76b0634c84dc3b5a239ef4ec', 0.8042022448573507)
('1493', 'f41271224151de0e033a604f25e147772da02092', 0.8037984299010064)
('771', '31246e2cd3356b224e5a5404ec0476f97241235b', 0.7993973528169259)
('815', 'c30536c061d4629e743871cf940c15730bcd224f', 0.7950288510940677)
('1905', '4b7093dc6a43d107c6032a5f4ae958802d277eda', 0.7949183806360618)
('1985', '3c33e36403f4d00a1e524186ea18d734715d30c4', 0.7833136702506391)
('1725', 'f10921ec8f943ec1fd7f5dda634f7b4c2a6a577e', 0.7797844344179603)
('2545', '85da7cb9d5f921de24c642b6ff55ad3f886fefc7', 0.7785512822888844)
