('497', '2d930894ffc944af6d62bffe60118a7a0c98d3e8', 1.0)
('202', '03ff9512dddee8c46ebf661fefebdea88217b281', 1.0)
('801', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.9997247517174388)
('202', 'e5444ae658cf841577978c2ab7fc2d4fd0a3f69c', 0.99859837181666122)
('801', '62b1c1ea93f0aac0069c94fa2ff8973b5574d5d9', 0.99684777361702315)
('507', '10930b9e3d7a006f4c1c0eba42dfa6bfddc0a468', 0.99425941492596237)
('507', 'ca350a79bd800889226f129bb7765fbedde4cc5f', 0.99425899312006694)
('507', 'cef431c8af7fd05b8f3ec49983eeead178be4e08', 0.99425870776327563)
('890', '5394613ba667f9747673cb8921fc50acedc9d8b5', 0.98914612823186121)
('890', '88bf2ae64dd588251bc6200fd10a45828623142a', 0.98914611290897425)
('751', '8cfb70e0809ba12fa5bc9f0131e4412064d8b1ac', 0.98802786696059752)
('751', '72b907a75f78b3adae78dba42f16b5c1677cdab9', 0.98802610574860394)
('912', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.98756121611363168)
('801', 'fa8ffb8e66176e52464cd04156cd565a5e37f2d1', 0.98480235508858283)
('112', 'c60b04424b0a357c69ced2e68a847e16ca87a002', 0.98341059342792025)
('619', 'b1431f8827712d9e3feb6c9b310c53947bd9c6d6', 0.98185365165368743)
('1001', '7fd958a490d9a5bb1d42d43c84ddbc5e6bf4d6d4', 0.98045383880812265)
('1001', 'b893aafae764aada0b8122b9cb7f7f40472c9487', 0.98043780484908305)
('619', 'c8f1d54fa18f724e25f62e2c2feddd3eeb78b76c', 0.97789758927308301)
('619', '84a9aeb46cd53c98844304aebfef94eb4842cf09', 0.97685693791286876)
('483', '82f8a9fc980dd428eb45c8f66789564632723897', 0.97576452548206227)
('619', '5f47809c8ea82af3eae651310dc1286fd1e0720d', 0.97416967498807217)
('442', '96dca0b9e6b6dcc12fc439d2f17d85a4656485df', 0.96809162843723795)
('1002', 'd88f204a15a89a14c36f2048406d4c4d1ee29f45', 0.95562413557586556)
('890', '7de40091a34aaef868fa1244dc29a46602f625e9', 0.95387614192615056)
('442', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.9528382519417784)
('442', '3930ea0f9bc5076c3f1611bf39e8f0b4cdfafae2', 0.95220123375989507)
('507', 'edc2fbe1dc359f8083b462bba2c24de30338d976', 0.9521436932204087)
('442', '377a72e1c0373f5377f48e68307baee0c5bde37a', 0.9503343074932219)
('257', 'a5d6c3b7478c882e24d3f891b006113685f75c9e', 0.94938085824842877)
('144', '025d36604b3ec1b6d63a0c50f956b9ceac19bb5c', 0.9432706147665163)
('1002', 'ccd1e52411809a796dccc13fd5b91f3557d9a1e7', 0.93997049969546631)
('890', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.93075409961812472)
('139', '3f38ad6f4927e1d3bcf43faca8501df1e706405c', 0.92914388302461537)
('442', '847ebf9bf3187fb83616badbec1b2562053ae83d', 0.92829635012877909)
('912', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.92345709860367853)
('776', '8cfb70e0809ba12fa5bc9f0131e4412064d8b1ac', 0.91789575996394357)
('776', '72b907a75f78b3adae78dba42f16b5c1677cdab9', 0.91789290545223923)
('483', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.90988547548906085)
('818', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.90802946350242419)
('816', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.90599302208846255)
('695', '84a9aeb46cd53c98844304aebfef94eb4842cf09', 0.90113705178544234)
('259', '03ff9512dddee8c46ebf661fefebdea88217b281', 0.90111069937048816)
('619', '4e76a4bd6e27472e487bc3136de3c3439e949302', 0.90082607303846485)
('695', 'c8f1d54fa18f724e25f62e2c2feddd3eeb78b76c', 0.90056908495646582)
('259', 'e5444ae658cf841577978c2ab7fc2d4fd0a3f69c', 0.89995024571332627)
('442', '11467fca2a078a6868473b61a9608ba45e337795', 0.89786756918600408)
('1047', '03ff9512dddee8c46ebf661fefebdea88217b281', 0.89773198434248269)
('695', '5f47809c8ea82af3eae651310dc1286fd1e0720d', 0.89713871575119142)
('1047', 'e5444ae658cf841577978c2ab7fc2d4fd0a3f69c', 0.89713599273063938)
('695', 'b1431f8827712d9e3feb6c9b310c53947bd9c6d6', 0.89450280272412175)
('771', '3f38ad6f4927e1d3bcf43faca8501df1e706405c', 0.89364520112899437)
('274', '75f380252eb964156714585fb7a00b617ddec679', 0.89247841559081298)
('970', '788c1d9b84e470d28eaf1198ad0a5d7f18da287b', 0.88877098453115877)
('5', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.88750523664677516)
('724', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.88667474382323785)
('724', '75f380252eb964156714585fb7a00b617ddec679', 0.88010888910409146)
('274', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.87847860512836151)
('449', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.87520127671099479)
('449', '62b1c1ea93f0aac0069c94fa2ff8973b5574d5d9', 0.87296036231459073)
('440', '75f380252eb964156714585fb7a00b617ddec679', 0.8702024028117048)
('801', '741f6310b34db4e9a9b15d498e0d7e4b8afb4b5a', 0.86923520595892922)
('442', '3efd589cb169f8f5f70c856427a905cda8c7ee57', 0.86798915328976467)
('139', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.86488146048413506)
('890', '441d2d244929f6b28aacdf1c6c58a749cbe87c60', 0.8644000360604408)
('854', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.86084176053672734)
('751', 'd624358cb595891bd85d13d43f334978667502d3', 0.86064329032920017)
('274', '3f38ad6f4927e1d3bcf43faca8501df1e706405c', 0.86022383630085908)
('449', 'fa8ffb8e66176e52464cd04156cd565a5e37f2d1', 0.86020369532254426)
('854', '62b1c1ea93f0aac0069c94fa2ff8973b5574d5d9', 0.8583846232399539)
('771', '75f380252eb964156714585fb7a00b617ddec679', 0.85459243994521583)
('619', 'f9ff05f16c83accfdbbc955562f098bccf70dffd', 0.85446288726082198)
('442', '56ed158814f07293114b08ce2111bb0bb39d907a', 0.85432060331886084)
('210', '37478f3409f5d3ffb5af1f7e02c6b2005806947f', 0.85123294623506218)
('210', '38f2f98da3eb53592c0731297cc19ef858353372', 0.85074514841961024)
('751', '129051a56e950c84f1cf9673a5e1b6cc3c45538c', 0.84967925625740703)
('818', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.84959702993318598)
('619', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.84910044084695824)
('619', '166a9a7f8f165a65659d881e1926c9b6ed91b80a', 0.84869302980529326)
('724', '3f38ad6f4927e1d3bcf43faca8501df1e706405c', 0.84833264135058395)
('854', 'fa8ffb8e66176e52464cd04156cd565a5e37f2d1', 0.84800725747484429)
('128', 'c75c24808664ede8faadabd082b7a191f3c232fd', 0.84488724885080824)
('816', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.84406935347633316)
('280', 'b1431f8827712d9e3feb6c9b310c53947bd9c6d6', 0.84391505864038374)
('135', '7d9e2dc69b63df1053c5ee89541291e4f9b114ef', 0.84384629442473136)
('14', '377a72e1c0373f5377f48e68307baee0c5bde37a', 0.84380077430696998)
('5', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.84306767472926702)
('280', 'c8f1d54fa18f724e25f62e2c2feddd3eeb78b76c', 0.84204572437885705)
('771', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.84142599686034769)
('280', '84a9aeb46cd53c98844304aebfef94eb4842cf09', 0.84115936712408967)
('440', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.84008802223032308)
('14', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.83980751711813717)
('280', '5f47809c8ea82af3eae651310dc1286fd1e0720d', 0.83884493716941011)
('14', '3930ea0f9bc5076c3f1611bf39e8f0b4cdfafae2', 0.83735273883854744)
('771', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.835577556394692)
('138', 'b893aafae764aada0b8122b9cb7f7f40472c9487', 0.83546409645643771)
('138', '7fd958a490d9a5bb1d42d43c84ddbc5e6bf4d6d4', 0.83543403807947025)
('618', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.83436322801612217)
('507', '283956ee93473192052d30c3420a3ce9685cce28', 0.83204790004855533)
('507', 'ea81b1dc92cdfd0ddadd6db36c25ca4989257109', 0.83203629653951494)
('727', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.83067918577137201)
('695', '4e76a4bd6e27472e487bc3136de3c3439e949302', 0.82955930800259536)
('440', '3f38ad6f4927e1d3bcf43faca8501df1e706405c', 0.8227056797304757)
('14', '847ebf9bf3187fb83616badbec1b2562053ae83d', 0.8226236028745687)
('274', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.82247610785343606)
('1019', '2d930894ffc944af6d62bffe60118a7a0c98d3e8', 0.82114067530804535)
('535', '11467fca2a078a6868473b61a9608ba45e337795', 0.82092893347823337)
('172', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.81928300352333117)
('213', '37478f3409f5d3ffb5af1f7e02c6b2005806947f', 0.81916067335489917)
