('1001', 'b893aafae764aada0b8122b9cb7f7f40472c9487', 0.9605089014862084)
('442', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.9317367961921552)
('126', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.915714295649544)
('890', '7de40091a34aaef868fa1244dc29a46602f625e9', 0.8959275296550832)
('618', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.8865131420297431)
('695', 'dca1b2004321c824b33a3eaf27d0d926d35e72df', 0.8596603676342464)
('942', '5394613ba667f9747673cb8921fc50acedc9d8b5', 0.8533164818069515)
('619', 'c8f1d54fa18f724e25f62e2c2feddd3eeb78b76c', 0.8517988954412014)
('788', 'fe12a8481f7299f70ee976b670617ed74950bb84', 0.8357251226759015)
('119', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.8243068153634792)
('841', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.8227414434720787)
('483', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.815648593765953)
('135', '72ceb58fa3e0e484ca27cdfc7fd5f20cd0277561', 0.802338691785657)
('528', '826a45c1052e846b1250813be74f0382f6a543e3', 0.8010311850443234)
('1047', 'f822761ab27bc5ee262ca8b80cd2e0dcb283624a', 0.7880669671562156)
('208', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.7861144641369436)
('1046', '2d930894ffc944af6d62bffe60118a7a0c98d3e8', 0.7850863830363195)
('171', '6a03ffaf7b44e79c56dff379a3efb99c91d34709', 0.7756953982898537)
('639', '11467fca2a078a6868473b61a9608ba45e337795', 0.7683482517371074)
('106', '5ade05711350fe190ec2898106e591dd0564f4df', 0.7662875183425186)
('807', '764e1b6dc012ac6ce10b17e18ce9fcf95c400d9c', 0.7652837104104991)
('280', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.7648891901255637)
('619', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.7624718537954844)
('442', '5aed505429694130a76115b7a4219b1a36f53346', 0.7611276921335075)
('171', '4f1e3bafe734cba3b27183fb4853686719c2e641', 0.7476680909506983)
('947', '10b0ade627491325199e41aeab4bfc8a764b3fb0', 0.7335232460024913)
('535', '847ebf9bf3187fb83616badbec1b2562053ae83d', 0.7333530264714881)
('973', 'fa8ffb8e66176e52464cd04156cd565a5e37f2d1', 0.728416863517172)
('751', '8e856acac595a3d37c5d086fb3776eeccaf764b4', 0.7253572173014559)
('1002', 'd88f204a15a89a14c36f2048406d4c4d1ee29f45', 0.7232540434355874)
('1057', '8f1b66ab5a22b772f59cbac616612b44eb30ffb2', 0.7198002452454061)
('663', 'a2241e25217f7ffdd8824502a47bf3b18623dc2f', 0.7084281905760796)
('171', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.704921018854162)
('521', 'b1431f8827712d9e3feb6c9b310c53947bd9c6d6', 0.6975901897130957)
('130', '44f2b74862f67eeac2b16738475ff48cb4abdb6c', 0.6888570097862674)
('449', '3104b4cc24bcb53214ec1e33d148950a29db9160', 0.6875563119831043)
('844', 'a480ef60ea5e0a93a62f83fc5712ddb2f185c6eb', 0.6800470797065608)
('173', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.67718831206269)
('742', '8e856acac595a3d37c5d086fb3776eeccaf764b4', 0.6767763195828482)
('360', '788c1d9b84e470d28eaf1198ad0a5d7f18da287b', 0.6749440303840818)
