,arthas,,,canal,,,druid,,,nacos,,,rax,,,san,,,EasyReact,,,Emmagee,,,bk-cmdb,,,ncnn,,,QMUI_Android,,,QMUI_iOS,,,weui,,,xLua,,,pegasus,,
,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP
lsi_origin,"(0.1274, 0.2469, 0.1681)","(0.0974, 0.4568, 0.2628327032136106)","0.134","(0.1299, 0.1183, 0.1238)","(0.0676, 0.1716, 0.1312235294117647)","0.055","(0.0511, 0.0579, 0.0543)","(0.0227, 0.1597, 0.07235908183632735)","0.018","(0.1622, 0.1935, 0.1765)","(0.1321, 0.2258, 0.19774714929726864)","0.076","(0.1304, 0.0795, 0.0988)","(0.0479, 0.245, 0.13439647274393035)","0.049","(0.1452, 0.45, 0.2195)","(0.1333, 0.6, 0.3528944581715496)","0.213","(0.0508, 0.6129, 0.0938)","(0.0508, 0.6129, 0.190756770003676)","0.044","(0.2, 0.1875, 0.1935)","(0.085, 0.8125, 0.29962039045553146)","0.124","(0.0126, 0.1071, 0.0226)","(0.0111, 0.1927, 0.04510691691269507)","0.007","(0.4375, 0.2188, 0.2917)","(0.2045, 0.2812, 0.26157842066957787)","0.19","(0.2222, 0.127, 0.1616)","(0.0455, 0.6349, 0.17681448157669238)","0.088","(0.3636, 0.5, 0.4211)","(0.2821, 0.6875, 0.5340155019549535)","0.308","(0.1207, 0.1522, 0.1346)","(0.0909, 0.2391, 0.18030686908909904)","0.07","(0.1915, 0.45, 0.2687)","(0.1915, 0.45, 0.35433799342105265)","0.265","(0.1538, 0.3448, 0.2128)","(0.1156, 0.6897, 0.34601735960420105)","0.138",0.1760933333333333,0.23600053989079536,0.1186
lsi_trans,"(0.1565, 0.2222, 0.1837)","(0.0914, 0.4444, 0.25072938271604933)","0.144","(0.1268, 0.1538, 0.139)","(0.0934, 0.1834, 0.15376624775583483)","0.063","(0.0516, 0.0509, 0.0513)","(0.0229, 0.162, 0.07314274447949529)","0.019","(0.0938, 0.1935, 0.1263)","(0.0536, 0.4516, 0.18172492492492492)","0.065","(0.1573, 0.0927, 0.1167)","(0.0546, 0.298, 0.1575406661502711)","0.063","(0.186, 0.4, 0.254)","(0.1288, 0.85, 0.4009668912979783)","0.252","(0.0541, 0.5161, 0.0979)","(0.0541, 0.5161, 0.1905870989761092)","0.044","(0.2667, 0.25, 0.2581)","(0.141, 0.6875, 0.38728525769077105)","0.169","(0.0211, 0.0642, 0.0317)","(0.0143, 0.1092, 0.04692187500000001)","0.009","(0.35, 0.2188, 0.2692)","(0.1957, 0.2812, 0.25860357142857143)","0.187","(0.283, 0.2381, 0.2586)","(0.283, 0.2381, 0.2459028538062915)","0.129","(0.4286, 0.5625, 0.4865)","(0.2745, 0.875, 0.6086860111505321)","0.425","(0.1852, 0.1087, 0.137)","(0.0675, 0.3478, 0.19000080932340563)","0.087","(0.1957, 0.45, 0.2727)","(0.1594, 0.55, 0.36910575951498825)","0.209","(0.2029, 0.4828, 0.2857)","(0.1619, 0.5862, 0.38460763494893824)","0.236",0.1978933333333333,0.25997144861094407,0.14006666666666667
