('25', '9f831b7c7c254d395ea71c00318811cb82ffa468', 1.0000000350974554)
('62', 'ab74db9a1c27fe29de9c05280d27979af605c29a', 0.9991019008379537)
('155', '3a47695428d0463a93124e45c390a708b68b6023', 0.9892074948060431)
('38', '571b8de867ba2273755297f25e5b5480ce9f6ca6', 0.987647985698885)
('557', 'e52465b902f7a49691855df6afbcb0489ba5609b', 0.9866419947479826)
('123', 'bee33763a4fb206654c549dc186f76eaf7cd275a', 0.9527458724566945)
('465', '6676fd789c9095d934e42552d7b341be04114de5', 0.8923316885978495)
('291', 'a73f47a1cbd3a2e072c46f283ca08f3c4c54fdf0', 0.8468311982524132)
('806', '258c36ae087c1615485201c98ef760f881be1b05', 0.8117542591318797)
('27', 'c72700c506d72a595a95091ca4d47c485ee883bb', 0.7731768930115168)
('730', '807c4e08c525c32025026cd829cd1f954fdb21f6', 0.7633274159896023)
('664', '564360fb6cf2fa91298ea4abb6ad362b2891ecca', 0.7235226249966198)
('697', '0bfc0e16e72303cf2d8550582240345bde436f34', 0.7156001693989853)
('714', '6d6b7bd6cfc674849a590e78cac21c1a0cc74d6a', 0.688961443245529)
('554', '1048f5df145da9ee46c568efc8e59ec57cba9905', 0.6761787411281516)
('99', 'bef7cb7832393719e171427be9fa11f2c5ceae8d', 0.6726259468635853)
('224', '018c8de5b275732598f7709693787fdd313392e0', 0.6314974965039655)
('526', '89015048b496fe08588b89f97e5fea6802100767', 0.6267324346496166)
('523', 'd056999d873659901a1eec6647ebe0fa415a9274', 0.6117574541673909)
('388', 'cf89c4f561c87a9e8dc9b37f8dab259ec77fc372', 0.5759735541236315)
('166', 'bea7ba92f374caefa4c65136488aac6bc50a4142', 0.5395133261917292)
('665', '849e40a0fe9a9c4aed29a44275a988b4015c87da', 0.5380286670347375)
('663', 'd48defead77be39250373d03933525ba95899e6a', 0.5368036600379936)
('557', 'aaa2484bd2c37e6407c32015e393f3f69416172a', 0.5176584138623932)
('757', 'cf1ede6a7257428f41712c23b8d913ad6914b21d', 0.4961490383470921)
('717', '0c8be1ef079b0ab961d46bbe7ba9136124e882a2', 0.48757316760998776)
