('1789', '7bf323cd5788ac316b02662caee7b590307fd604', 0.9857124667022128)
('1994', '7a99e4a633312c9f10c33d8d24b17979f6bac5b0', 0.98349920720012418)
('2167', '5170a3b9447c629193d01085442beb4e7e3755ce', 0.98197979643652877)
('2319', 'd4b2318663377208afc051b26e05c442a883b7d6', 0.97020727321319122)
('2593', '6c1dee00048e7a391dfaab9c3d36df4a62c4239f', 0.95778974409463347)
('2167', '98fd85140cdc9ba10879a5d797c646abe842606e', 0.95050923273153531)
('535', 'bf9a20bf9aac358f5d6bf824e723713f1475b6df', 0.93832033325837527)
('535', '4770fce08c8e053b6ff57564c1facfc3d46aff63', 0.93632221721365816)
('1727', '6c8169b1fb0cfc0d1701ebdf2f8d5ec68076b996', 0.92579637058728648)
('2271', '1c331c217d48c1186b0cb2d9ccb9b06229c0a6df', 0.92125272895231547)
('1950', '61794c4c19ba489c5885f028eef48832a12ef29e', 0.91865091272457633)
('1725', 'f10921ec8f943ec1fd7f5dda634f7b4c2a6a577e', 0.91283775540202972)
('771', '31246e2cd3356b224e5a5404ec0476f97241235b', 0.91007109231584349)
('2295', '00eefb99b428759d73095b252fc60c191ace432a', 0.8946138948862481)
('2041', 'cf228c5b34ba650d2c7db39cbb885c569360752f', 0.88425972194851954)
('1945', '20acfee9edff6a98e696f75f48a28d912b0a992a', 0.88269322879058598)
('815', 'c30536c061d4629e743871cf940c15730bcd224f', 0.88020168012654298)
('1507', 'b0c791e00760488d76b0634c84dc3b5a239ef4ec', 0.87316162828842858)
('975', '9a925d49fcc0a726e37df8bbca248aca86a83a9c', 0.86225989823399773)
('414', '0f14cb965b19312ffbac47fd0a83f2efd4f0c36f', 0.85357673478682194)
('984', '06d0d4725ee1a79d7a826758073d06bd8db57498', 0.85318930976822693)
('1601', '8a899618a0772b097714579042f58d5c23302b9d', 0.85092966337893761)
('2545', '85da7cb9d5f921de24c642b6ff55ad3f886fefc7', 0.84448930616037898)
('2135', '80a1bd929e4a25d6db3a1371f08eaf1e5c1dab12', 0.83453617332307439)
('1598', '427c16d9556cf233164f9afd67d5f437d59e7921', 0.83330928163377149)
('1455', '99f0096c723e92140e2a425bc88c1afa44efa3db', 0.81548598281358642)
('2037', 'cf228c5b34ba650d2c7db39cbb885c569360752f', 0.81238645793369491)
