,arthas,,,canal,,,druid,,,nacos,,,rax,,,san,,,EasyReact,,,Emmagee,,,bk-cmdb,,,ncnn,,,QMUI_Android,,,QMUI_iOS,,,weui,,,xLua,,,pegasus,,
,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP
gvsm_origin,"(0.2857, 0.2963, 0.2909)","(0.1533, 0.5432, 0.36005084745762705)","0.22","(0.1955, 0.1538, 0.1722)","(0.0742, 0.3254, 0.19402667952426872)","0.092","(0.1794, 0.25, 0.2089)","(0.144, 0.3241, 0.25925119431174315)","0.144","(0.2308, 0.1935, 0.2105)","(0.0663, 0.4194, 0.2030836985100789)","0.1","(0.3929, 0.2185, 0.2809)","(0.1841, 0.3377, 0.2894077367098036)","0.201","(0.4375, 0.35, 0.3889)","(0.2143, 0.6, 0.44118858083996704)","0.304","(0.4333, 0.4194, 0.4262)","(0.4333, 0.4194, 0.4221081947412431)","0.346","(0.1739, 0.25, 0.2051)","(0.0667, 1.0, 0.2632617619197979)","0.143","(0.048, 0.0921, 0.0631)","(0.0324, 0.1734, 0.0927089108910891)","0.019","(0.5625, 0.2812, 0.375)","(0.1651, 0.5625, 0.3797070488183825)","0.336","(0.2857, 0.3175, 0.3008)","(0.2105, 0.381, 0.32788430089942766)","0.236","(0.9091, 0.625, 0.7407)","(0.6316, 0.75, 0.72289708216335)","0.757","(0.1961, 0.2174, 0.2062)","(0.119, 0.3261, 0.2419018825582845)","0.141","(0.8, 0.4, 0.5333)","(0.2453, 0.65, 0.48873528690534573)","0.533","(0.4, 0.4828, 0.4375)","(0.2273, 0.8621, 0.5531398690227516)","0.384"
gvsm_trans,"(0.2697, 0.2963, 0.2824)","(0.1404, 0.5062, 0.33278928638321775)","0.23","(0.1641, 0.1893, 0.1758)","(0.0748, 0.4142, 0.2171443790299972)","0.105","(0.2048, 0.2569, 0.2279)","(0.1587, 0.3171, 0.26433328080680746)","0.146","(0.2222, 0.2581, 0.2388)","(0.2222, 0.2581, 0.2500210131659255)","0.103","(0.3046, 0.3046, 0.3046)","(0.3046, 0.3046, 0.3046)","0.218","(0.4737, 0.45, 0.4615)","(0.3704, 0.5, 0.46729915220024226)","0.375","(0.4333, 0.4194, 0.4262)","(0.4333, 0.4194, 0.4221081947412431)","0.362","(0.193, 0.6875, 0.3014)","(0.193, 0.6875, 0.45456491949297706)","0.188","(0.102, 0.1113, 0.1064)","(0.0542, 0.1884, 0.12600296150049362)","0.034","(0.5882, 0.3125, 0.4082)","(0.1695, 0.625, 0.4065138142747506)","0.374","(0.2185, 0.4127, 0.2857)","(0.2185, 0.4127, 0.3504117121318101)","0.259","(0.75, 0.75, 0.75)","(0.6842, 0.8125, 0.7831297720677317)","0.795","(0.28, 0.3043, 0.2917)","(0.28, 0.3043, 0.29910833391841607)","0.154","(0.6429, 0.45, 0.5294)","(0.4348, 0.5, 0.48544122901036074)","0.528","(0.5455, 0.4138, 0.4706)","(0.3721, 0.5517, 0.5031311455320818)","0.388"
lda_origin,"(0.1105, 0.2346, 0.1502)","(0.1105, 0.2346, 0.19157035175879397)","0.046","(0.0493, 0.1006, 0.0661)","(0.0301, 0.3669, 0.11331510363225937)","0.023","(0.0255, 0.0995, 0.0405)","(0.0212, 0.1505, 0.06779855503612409)","0.015","(0.0882, 0.0968, 0.0923)","(0.0345, 1.0, 0.15158172231985942)","0.042","(0.0427, 0.1656, 0.0678)","(0.0308, 0.298, 0.10895536562203227)","0.024","(0.0769, 1.0, 0.1429)","(0.0769, 1.0, 0.2940501682471704)","0.06","(0.0758, 0.3226, 0.1227)","(0.0758, 0.3226, 0.19537456056248)","0.059","(0.0667, 1.0, 0.125)","(0.0667, 1.0, 0.2632617619197979)","0.074","(0.0174, 0.0343, 0.0231)","(0.0086, 0.1563, 0.03524331410592554)","0.005","(0.2069, 0.1875, 0.1967)","(0.1458, 0.2188, 0.19888428927680799)","0.075","(0.1071, 0.1905, 0.1371)","(0.1071, 0.1905, 0.164829132331556)","0.04","(0.7143, 0.3125, 0.4348)","(0.7143, 0.3125, 0.3521133703505064)","0.299","(0.1176, 0.1739, 0.1404)","(0.1176, 0.1739, 0.158704330280925)","0.036","(0.05, 1.0, 0.0952)","(0.05, 1.0, 0.20833333333333334)","0.056","(0.1, 0.069, 0.0816)","(0.0345, 1.0, 0.15158172231985942)","0.043"
lda_trans,"(0.0977, 0.1605, 0.1215)","(0.0782, 0.2346, 0.1675714285714286)","0.045","(0.0916, 0.142, 0.1114)","(0.0474, 0.2544, 0.1357945945945946)","0.038","(0.066, 0.1343, 0.0885)","(0.0434, 0.206, 0.11776080084299262)","0.025","(0.0984, 0.1935, 0.1304)","(0.0984, 0.1935, 0.16215636177823198)","0.055","(0.2353, 0.1325, 0.1695)","(0.0825, 0.2252, 0.16731808357348704)","0.081","(0.3333, 0.15, 0.2069)","(0.0769, 1.0, 0.2940501682471704)","0.133","(0.1058, 0.3548, 0.163)","(0.1058, 0.3548, 0.24124575835475578)","0.058","(0.0667, 1.0, 0.125)","(0.0667, 1.0, 0.2632617619197979)","0.068","(0.0605, 0.0364, 0.0455)","(0.0241, 0.2056, 0.08203576158940397)","0.013","(0.1875, 0.0938, 0.125)","(0.0312, 1.0, 0.1386913229018492)","0.051","(0.1311, 0.254, 0.173)","(0.1232, 0.2698, 0.21793443482821923)","0.056","(1.0, 0.3125, 0.4762)","(1.0, 0.3125, 0.36231884057971014)","0.372","(0.07, 0.1522, 0.0959)","(0.0542, 0.1957, 0.1285689696969697)","0.037","(0.2667, 0.2, 0.2286)","(0.2667, 0.2, 0.21053047047679194)","0.09","(0.36, 0.3103, 0.3333)","(0.2778, 0.3448, 0.3289335164835165)","0.146"
vsm_origin,"(0.26, 0.321, 0.2873)","(0.1748, 0.4444, 0.33963413781042323)","0.213","(0.1392, 0.1302, 0.1346)","(0.052, 0.3373, 0.16082523381624794)","0.073","(0.2293, 0.25, 0.2392)","(0.1671, 0.2963, 0.2566172385197471)","0.168","(0.1667, 0.1935, 0.1791)","(0.0909, 0.3226, 0.21367196152725154)","0.095","(0.3182, 0.1854, 0.2343)","(0.121, 0.3245, 0.2428231292517007)","0.15","(0.5, 0.2, 0.2857)","(0.186, 0.4, 0.32517482517482516)","0.321","(0.4231, 0.3548, 0.386)","(0.4231, 0.3548, 0.3666370652598671)","0.228","(0.25, 0.1875, 0.2143)","(0.0667, 1.0, 0.2632617619197979)","0.148","(0.0469, 0.0942, 0.0626)","(0.0315, 0.1392, 0.08266968325791856)","0.019","(0.6364, 0.2188, 0.3256)","(0.1548, 0.4062, 0.3066108835576361)","0.31","(0.2143, 0.2857, 0.2449)","(0.1699, 0.4127, 0.3209637004485947)","0.155","(0.7692, 0.625, 0.6897)","(0.7692, 0.625, 0.6493462639796855)","0.565","(0.1833, 0.2391, 0.2075)","(0.1833, 0.2391, 0.22537812403579144)","0.12","(0.8333, 0.25, 0.3846)","(0.32, 0.4, 0.380952380952381)","0.453","(0.4545, 0.3448, 0.3922)","(0.2113, 0.5172, 0.40107295948326477)","0.292"
vsm_trans,"(0.4545, 0.2469, 0.32)","(0.3429, 0.2963, 0.3045784219677438)","0.255","(0.3188, 0.1302, 0.1849)","(0.0825, 0.3432, 0.21029411764705883)","0.118","(0.3973, 0.206, 0.2713)","(0.1724, 0.3843, 0.3084706211006611)","0.22","(0.3333, 0.129, 0.186)","(0.1296, 0.2258, 0.19661166353130877)","0.107","(0.3162, 0.245, 0.2761)","(0.2604, 0.2914, 0.2846232558139534)","0.175","(0.5714, 0.2, 0.2963)","(0.1852, 0.5, 0.37314635718891037)","0.307","(0.4074, 0.3548, 0.3793)","(0.4074, 0.3548, 0.3642045958476114)","0.235","(0.1646, 0.8125, 0.2737)","(0.1646, 0.8125, 0.4546111224420423)","0.168","(0.083, 0.0964, 0.0892)","(0.0418, 0.2248, 0.11985510204081631)","0.036","(0.3913, 0.2812, 0.3273)","(0.1596, 0.4688, 0.3378815028901734)","0.342","(0.4118, 0.2222, 0.2887)","(0.2101, 0.3968, 0.33692078887811183)","0.246","(0.7857, 0.6875, 0.7333)","(0.4828, 0.875, 0.7527082887891098)","0.654","(0.3684, 0.1522, 0.2154)","(0.1818, 0.2609, 0.24001426981074792)","0.118","(0.2593, 0.7, 0.3784)","(0.2593, 0.7, 0.5224211374625835)","0.386","(0.44, 0.3793, 0.4074)","(0.2, 0.7931, 0.49783441089699326)","0.381"
