('132', 'a90a446005b96e526d4067586e7e473fb8cfe9a0', 0.9594130937211304)
('37', 'f689275dab200faf2ec6caca615f9477b6337878', 0.8859718410559428)
('83', '25768640fa98733e021e59af93a75597e6b819b5', 0.8688169822049552)
('217', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.8144761994715279)
('117', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.7840732646804282)
('49', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.783060720895998)
('117', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.782994404880383)
('308', '31b156c3f747f752af791b65c4afa71692d320d5', 0.7200409625143408)
('116', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.6480248524421214)
('116', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.6149231494002712)
('8', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.5915451807072479)
('110', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.5906402601048081)
('258', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.575359133969508)
('254', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.5605637476264191)
('12', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.5534431319968082)
('235', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.5209779015371014)
('68', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.4816726180870103)
('210', 'd48b60998bf75de952386eb45916c0873ac93afc', 0.45039765561533907)
('304', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.4470593861364823)
('234', '870e21110d17f4742cdef527e6ef40306ecf5de0', 0.4415032067090396)
('480', '982b80f1c07477b39cd699bcfabd63c93488395e', 0.39061532374183444)
('27', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.34102150487453525)
('114', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.33367868783925697)
('165', 'd48b60998bf75de952386eb45916c0873ac93afc', 0.32880677837072136)
('11', '016503c9a1b5f5ebe9974fbfd835a664453f31f4', 0.3247618117982633)
('17', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.321808575546989)
('217', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.3159592617707076)
('334', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.3151338277146185)
('160', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.30613365983071467)
('480', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.3057936294964922)
('295', '955b479383d02ea02740df49152710fef49afc44', 0.30524151646234804)
('480', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.3045660124216325)
('83', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.29005810367943585)
('480', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.28862508015443245)
('480', '1200571eca343d402f7fb1831b4c45acbca35438', 0.28754386105037055)
('352', '01f58cbcf82245153d41b606f0771f1f09c74e9b', 0.283562313790151)
('329', 'a889be240af925d8131289539cfce9c63478c7f3', 0.2819166704058836)
('17', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.2732180876751761)
('127', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.27054458270097764)
('47', '1200571eca343d402f7fb1831b4c45acbca35438', 0.2635620927140604)
('293', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.24569301619402759)
('210', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.2333758836358938)
('47', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.23108044681359902)
('353', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.23083663750983)
('429', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.2259855428943206)
('141', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.22220252270402405)
('329', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.21962990255769138)
('399', '1200571eca343d402f7fb1831b4c45acbca35438', 0.212169367864393)
('329', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.21092467176784832)
('215', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.21042744265178795)
('373', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.21040759898170955)
('480', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.18338459358352127)
('353', '25768640fa98733e021e59af93a75597e6b819b5', 0.1777996626855872)
('399', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.1773931221097251)
('334', '65794585337c77575d0805c92cd4f6ead12becd8', 0.17670241000989179)
('399', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.17290031226517555)
('399', '982b80f1c07477b39cd699bcfabd63c93488395e', 0.16880671326678853)
('17', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.1687627366985991)
('480', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.156321156580118)
('167', 'd48b60998bf75de952386eb45916c0873ac93afc', 0.15432330119769344)
('449', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.15383438608257188)
('376', '01f58cbcf82245153d41b606f0771f1f09c74e9b', 0.14866662890333926)
('480', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.14357409886370806)
('235', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.14211281985425336)
('449', '870e21110d17f4742cdef527e6ef40306ecf5de0', 0.13828105293279674)
('480', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.13236412623387228)
('399', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.12916262894301064)
('353', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.11507912906826544)
('399', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.11149265787076501)
('401', 'a889be240af925d8131289539cfce9c63478c7f3', 0.11074543396600116)
('449', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.10469881966804388)
('167', 'ef2007bf4c6b491440721cf5b42c1fec2e9e602d', 0.10339983934699509)
('353', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.10310732717285284)
('449', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.09922464235165147)
('449', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.09691719002344283)
('480', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.09234369209649115)
('53', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.09099780468494416)
('449', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.08819765430737345)
('329', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.08308963923993601)
('480', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.08116310989895525)
('480', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.07931076885738331)
('449', 'ef2007bf4c6b491440721cf5b42c1fec2e9e602d', 0.07781129846269669)
('399', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.07638675353969486)
('329', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.07616083661573608)
('449', '25d28081c7c9f06b37702740a216a9181e730745', 0.07611184043850618)
('353', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.07589341792925253)
('353', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.07462719178763676)
('62', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.07411486354645046)
('210', '31b156c3f747f752af791b65c4afa71692d320d5', 0.07344926244185296)
('399', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.0726684866749516)
('353', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.07220164449291287)
('399', '163db1bff3177505d4d588012644783685814cca', 0.06758377175987326)
('480', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.06745445825157562)
('373', '01f58cbcf82245153d41b606f0771f1f09c74e9b', 0.06682583767213515)
('480', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.06487294583379286)
('401', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.06416338860924907)
('329', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.063799611835549)
('54', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.06373967775964248)
('329', '1200571eca343d402f7fb1831b4c45acbca35438', 0.0635756170267377)
('62', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.06338935457433213)
('449', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.06334430024629756)
