('823', '14a6d9005476cc638116f0ef369bbda15459ff9e', 1.0)
('465', '6676fd789c9095d934e42552d7b341be04114de5', 1.0)
('25', '3533fc7b1a9344b5e0ac59281bf0b14e6131cca1', 0.9996800202458802)
('806', '258c36ae087c1615485201c98ef760f881be1b05', 0.9982931229762221)
('806', '00bffd54bce6c706e0a976c70e4fc0a7d4d5291b', 0.9982930779771039)
('557', 'ccf6cb15fe80c67d9a424bbcc2a7e73bc7f65685', 0.9968061000345986)
('155', '3a47695428d0463a93124e45c390a708b68b6023', 0.9964587461880506)
('557', 'e52465b902f7a49691855df6afbcb0489ba5609b', 0.996030425053163)
('27', '3533fc7b1a9344b5e0ac59281bf0b14e6131cca1', 0.992286344671651)
('25', '2f6069b1e962f26bacf3e16f2cf66815f256451c', 0.9907860630192117)
('62', 'ab74db9a1c27fe29de9c05280d27979af605c29a', 0.9890278424394617)
('246', 'ab74db9a1c27fe29de9c05280d27979af605c29a', 0.9890276263496927)
('25', 'c72700c506d72a595a95091ca4d47c485ee883bb', 0.9843731590131088)
('27', '2f6069b1e962f26bacf3e16f2cf66815f256451c', 0.9834633060749614)
('557', '1b762294695157d14ca61db1d0aff8d7fa2a655c', 0.98266509157838)
('463', '08fdbfc54380576996fd1079a7082ad81c2f2bba', 0.9822765607550936)
('463', 'c65dbaabb1c891605279553839cad59b80688dd9', 0.9822735802004131)
('463', 'd80c957284a4c2930240cfecc13f2619781d4d07', 0.9816070813083387)
('463', '04390d9b1819025c608de0a67d31919d11159a53', 0.9811637217207644)
('544', '3b4c13dacf4750bc5459dc3acfe31b42c9214ee1', 0.9803954636330093)
('544', '7eabe1789c2605692e300c231c411d9ed02eaa18', 0.9788847628857714)
('27', 'c72700c506d72a595a95091ca4d47c485ee883bb', 0.9770758382584991)
('544', '0c8be1ef079b0ab961d46bbe7ba9136124e882a2', 0.9724068362250958)
('25', 'a73f47a1cbd3a2e072c46f283ca08f3c4c54fdf0', 0.9721207530437058)
('25', '9f831b7c7c254d395ea71c00318811cb82ffa468', 0.969595872751789)
('27', 'a73f47a1cbd3a2e072c46f283ca08f3c4c54fdf0', 0.9649314406359187)
('27', '9f831b7c7c254d395ea71c00318811cb82ffa468', 0.9621796132898296)
('614', '25b898397b3f59b2b6f72c1e4c46e81a4024ab3d', 0.9616213604748398)
