('129', '88908b5f25a20efb2d548d6501c3f486b1e3f74a', 0.9965997776118068)
('414', '0f14cb965b19312ffbac47fd0a83f2efd4f0c36f', 0.996589489114704)
('98', '22dda86b3dd24305fd3d2c5d9555cfe4f620694a', 0.9936913350278539)
('872', '3934f9bec77e39a1746d9edd347055efc5d74b1f', 0.9928244606880582)
('2271', '1c331c217d48c1186b0cb2d9ccb9b06229c0a6df', 0.9836297979576327)
('2485', 'd0a0aaf073c28dc26a33e73b360267ef17c219c3', 0.9757397176722491)
('1709', '2733d93e92d11e2ac70ffcdf5107a6fb1cd50310', 0.9673434699314689)
('1542', '28ac36700313aecde40522e468d53b9b4de3a984', 0.9659472996624198)
('769', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.9622180744576865)
('1813', 'ca13e8ff5a78c83f953fa8fb320c56be223219e1', 0.9612340688253671)
('2271', '729e203df97e1b228d75ce300d03ee82281d4569', 0.9490527172517694)
('1542', 'ac5edc6b363f4f1baf4cc0462067a96b162476ba', 0.9485200146033143)
('1987', 'f2e2146adbd9d424e8ee566528929478e9037a7f', 0.9481350638512757)
('1845', '2d8ded4f0c4b134354b82b0831d4309b55a1c97f', 0.9468357211527721)
('2117', 'f6863f013b91917b8c4ff45610b7b07b8f14a700', 0.9432447768990189)
('1746', '9448638f5f9018ac7a006a2354578a4e607dba43', 0.9364816092059614)
('1853', '92a34b3a5ef78b8d9769e3e59bb319a3bf6d162a', 0.9300598627091479)
('771', '31246e2cd3356b224e5a5404ec0476f97241235b', 0.9299376645046623)
('1813', '573c8f4d6d8b9ef9cadf6177b2e4f1c39e31658b', 0.9268219622403292)
('2096', 'eb7471eb47b8d93ee9bccac65b9e3bb6a53deda6', 0.9132311920993743)
('2116', '781c7d5ceb0a20d72c10b7705127ec3f5794b069', 0.9109319041152266)
('1845', '92a34b3a5ef78b8d9769e3e59bb319a3bf6d162a', 0.9094175133075331)
('1759', 'a31afb10c402a996e2eee28ef4408d66932dd962', 0.9091254005449887)
('2116', '4396cee23b22a3bfa0b3d375ca9574a9b943c466', 0.9074528198457785)
('2093', 'aed92f8c47f239a713056eea8d1002cb24d01389', 0.9058753746321421)
('649', 'cf255418cf17d29bc2aea7246f0a1380181ffbc1', 0.9041636620231668)
('1994', '7a99e4a633312c9f10c33d8d24b17979f6bac5b0', 0.9016125937744117)
('1945', '20acfee9edff6a98e696f75f48a28d912b0a992a', 0.9012652590492981)
('1798', '0d8e5549e52a3a42e6737e3449be5b0bb13263cc', 0.900224771543424)
('2093', '80a1bd929e4a25d6db3a1371f08eaf1e5c1dab12', 0.8980593291543334)
('2611', '729e203df97e1b228d75ce300d03ee82281d4569', 0.892362463035819)
('1707', 'ae1d3701593cafdec238c35b45612eea8bd51504', 0.8860342397926176)
('1598', '562cb82109bc929af4fe60e60aa43266f5d29936', 0.8845335483574345)
('2319', 'd4b2318663377208afc051b26e05c442a883b7d6', 0.8786122145285484)
('1324', 'aeacdb649a88d78d865af7f3fef38198471ed8c2', 0.874598692117004)
('2093', '7393c725c2451d111bb3bec35f8e92ed73d1a8aa', 0.8729814340557852)
('769', 'd1189cefe62fc5a90a67126023d6772a9e7a7a5d', 0.8718417591404254)
('1932', '2b164c377bf8b0fc245eb244a3ff96b0ea326304', 0.8643406429886987)
('2611', '1c331c217d48c1186b0cb2d9ccb9b06229c0a6df', 0.8641002470493385)
('2658', 'c49d85bb5894bbdb4f86c461dfa4f82b1bf93e7a', 0.8611512090069161)
('769', '7ba03af547d18b02770b36d25f450c476a83ca6a', 0.8600982102170259)
('2611', 'a69b5ddcbcab40c4de6b683a4e68feca873fa9e4', 0.8582656970689444)
('1261', '72852915a32a567c2adf3b991e5ef1d4d2eb0c5f', 0.8576084883079697)
('2295', '7ba03af547d18b02770b36d25f450c476a83ca6a', 0.8458255196351319)
('1695', '595743a362d22e3b04c10950211802c114db47a5', 0.8440837049157202)
('1798', 'cdcc4ed07c9975f21a8650fb319403b8dc05df57', 0.8411527427081321)
('2658', 'f2569d1797644751699068d1fe98ba85e9215ebf', 0.8395589365866978)
('1789', '7bf323cd5788ac316b02662caee7b590307fd604', 0.8388103076216399)
('1922', '2b164c377bf8b0fc245eb244a3ff96b0ea326304', 0.8383474399770353)
('2041', 'cf228c5b34ba650d2c7db39cbb885c569360752f', 0.837422642113292)
('2037', 'cf228c5b34ba650d2c7db39cbb885c569360752f', 0.835410990053892)
('2313', '0f10b84a83d0f35249c1b3efc5492785f634f52e', 0.8345175236647623)
('1841', '814cb1f024130c048331cec876cfc8d7ddaab99e', 0.8304494307507327)
('2309', '61794c4c19ba489c5885f028eef48832a12ef29e', 0.8299641495938683)
('769', 'fc96c0c424be484b56b369a361603f87b5fd1cdf', 0.827960536342515)
('1621', '0f570fc083f3e72604eace751114419315908456', 0.8273856510424401)
('2545', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.8185398344837759)
('2330', 'b11d483be89dd5a7688f08cd8af12f72908899ee', 0.8179045972824812)
('2378', '9e0747a32fafad35e69b32ce87c10abfc31da2d2', 0.8149475566967049)
('1637', 'aa8cfcf4f8c8a5b3943728ff9bce9c64b976ab3e', 0.8141277758573064)
('769', '51ba2f29c29019256579bf052f843bf409190f89', 0.8127773432432744)
('1380', '637ce1627e4943166f274ca30409e193433532a1', 0.8105836600191445)
('2658', '582ac117b8391fc8a687bbe706a207fb2f2a1ea7', 0.8065356928194146)
('1832', 'd982beed4b4da5125785fb4d2095a05c162cec91', 0.8032874368624316)
('1546', '42d4ddd11fe14fa18c8fa60aa0dd3d9f182093d6', 0.7974411578988587)
('2611', '4587054bffd4094cf91a6b668dc744be211c0aef', 0.7970989479959487)
('195', 'd205432029be103fa0c4777ca0f38f3a3365ff68', 0.795458952923522)
('1396', 'd3a4a1a4893d6131e1e69ebba5eef49c45a03d94', 0.7922955705794018)
('1598', '2b164c377bf8b0fc245eb244a3ff96b0ea326304', 0.7896969969018002)
('949', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.7895118591263693)
('769', 'a117b8b995e091b624b61b49718b9ac8c2569ade', 0.7864944659371932)
('2119', 'eb7471eb47b8d93ee9bccac65b9e3bb6a53deda6', 0.7864666202763649)
('1396', '637ce1627e4943166f274ca30409e193433532a1', 0.7856320653131661)
('1396', '51ba2f29c29019256579bf052f843bf409190f89', 0.7844169828039004)
('1396', 'eb7471eb47b8d93ee9bccac65b9e3bb6a53deda6', 0.7818249420806455)
('769', '831122921b7f3aa81c49305d15504ad9a299be0d', 0.7792386701835385)
('1950', '61794c4c19ba489c5885f028eef48832a12ef29e', 0.7784765803163317)
('535', '4770fce08c8e053b6ff57564c1facfc3d46aff63', 0.7781916839686123)
('535', 'bf9a20bf9aac358f5d6bf824e723713f1475b6df', 0.7768043692166524)
('2500', '42d4ddd11fe14fa18c8fa60aa0dd3d9f182093d6', 0.7764196891890225)
