('360', 'fddaff1bd9b23022cb36b7fa4e8c273901e735f1', 0.9355500500793201)
('360', '2d31e6bf9199d4f324dd659143272e822e1c48c6', 0.935547325236755)
('360', '7cf9375ac6e8229600e5d918b230f56be038b314', 0.9353496144229513)
('828', '8cfb70e0809ba12fa5bc9f0131e4412064d8b1ac', 0.934815811408782)
('751', '72b907a75f78b3adae78dba42f16b5c1677cdab9', 0.9348152348202169)
('828', '72b907a75f78b3adae78dba42f16b5c1677cdab9', 0.9348143649636205)
('751', '8cfb70e0809ba12fa5bc9f0131e4412064d8b1ac', 0.9348123131724347)
('360', '867d6607d4dd0ddadd5332448870b4be40c2adb0', 0.9346313494678355)
('442', '5aed505429694130a76115b7a4219b1a36f53346', 0.9339662908894115)
('360', '6b7109c66b19f5bf97ad7473e0131c50ea8924f7', 0.9331196730862586)
('360', '92c1a517263dd1567c9a505c4aca2afb78db7d3a', 0.9325520849197018)
('1083', '5f47809c8ea82af3eae651310dc1286fd1e0720d', 0.9324631055976929)
('535', 'c60b04424b0a357c69ced2e68a847e16ca87a002', 0.9323605890956457)
('172', '69170f58df0250e43066e4b56e038fced05f2268', 0.9317925422546087)
('1083', 'f9ff05f16c83accfdbbc955562f098bccf70dffd', 0.9297144268951643)
('641', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.9257437528426871)
('1083', 'ecdd619da78831929d53c27c90f15e193a500998', 0.9253096300828636)
('284', 'c8f1d54fa18f724e25f62e2c2feddd3eeb78b76c', 0.9209426003136229)
('807', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.9203036123385169)
('1046', 'db4fc68a550a2a6c42ddc91e7302eca985e9a468', 0.9193020955956125)
('296', 'c8f1d54fa18f724e25f62e2c2feddd3eeb78b76c', 0.9192899727801108)
('818', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.9173985055556688)
('619', 'c8f1d54fa18f724e25f62e2c2feddd3eeb78b76c', 0.9165749545967292)
('801', 'c60b04424b0a357c69ced2e68a847e16ca87a002', 0.9156932756497527)
('442', '847ebf9bf3187fb83616badbec1b2562053ae83d', 0.9143739790683528)
('442', '377a72e1c0373f5377f48e68307baee0c5bde37a', 0.912010722849911)
