('713', '80f6019c25a1117855fe3f41b4c264fed4bab9eb', 0.9679200953632953)
('1355', 'f3be6b25d91a156b91ab6b73b025b3d768cdd45b', 0.9446276731520588)
('608', '4c356ff6badfc44cf0009765537af47d7a6633e9', 0.9344437968709557)
('1143', 'f260428151512245be461f6bc41b1717dd0773e1', 0.9268874371485929)
('1143', '0de7d498a597446d3aa77d5dc13783793655b301', 0.9246478878129577)
('1143', 'f9dbb3007125ab4dc4c42a0d5a6520894565f680', 0.9063811821038629)
('320', '93e03cf2b5d09f35abe531f967b3048f36dbe935', 0.90128891291003)
('391', '95271abdbd66da879fd7f239c59f9796ddfc9283', 0.8925463428296544)
('631', 'c0ba356ba6b813b5dc4a1ee830bc3631687e6fae', 0.8557213051953443)
('888', '7eabbeae6aaf0d63d59cd7dd753d89254aa70324', 0.8491551732731064)
('1349', '6110196a222e6c40919ed5e77997b4c96c8ddef0', 0.8281296276339872)
('1144', 'f9dbb3007125ab4dc4c42a0d5a6520894565f680', 0.8205032752547671)
('1144', 'f260428151512245be461f6bc41b1717dd0773e1', 0.8199750286929153)
('1144', '0de7d498a597446d3aa77d5dc13783793655b301', 0.8197387514300778)
('124', '2b9fe73427e621147dfacc511ddf397007252f47', 0.8187499829847803)
('124', 'd5c4823355a941da0b570072a2ced562fa488e73', 0.7972935337735277)
('124', 'a621ebdf9dce5cf2637a14701fd8f9a6684ed83f', 0.7932130714378908)
('124', '67a33cc782e983e4bdf4a1b9f8ec6dda7988ceaf', 0.7598790458918043)
('121', 'c3be3e65cbb020f0bc26c611c8d4c0dd7eec1d7e', 0.727779784984499)
('1355', '1cd9a08fd6b32fd2ee8390abe325eb04489c6801', 0.7208905029078374)
('1039', 'b886c9def4e6b61ed5f0921dc9f8d448cba03172', 0.6991418370983413)
('124', '64e43528ca65cf7e1b5fd27831cc5c82ea9e3514', 0.6973436575236273)
('1184', '85d7d2d2ee832ccf8704e41d60d3d42a7f000ace', 0.6894765740242629)
('1434', '8334a5562597d5d5934f7a18a67da614a61da621', 0.6756576601416886)
('888', 'b5ecf0ca82c69f71447c997f57f376e62df9dfbd', 0.6668823222907507)
('229', '6d35be380ed6710dfbdfa18e6d80561acfabbb9d', 0.6617124932642559)
('672', '81e5382028191247eb9a490a71471c3325a1f9a2', 0.6489038185187556)
('132', 'bea0124a2d6e5728b6f7ed9c790edbecb4639dd2', 0.6292650105263722)
('601', 'd088ca4628f123044fb06642da9e7588a13a3c8a', 0.6251908716717333)
('135', 'bea0124a2d6e5728b6f7ed9c790edbecb4639dd2', 0.6249355011299095)
('1277', '0196d6092bda665271f97a9f993314830c74317c', 0.6138649472078948)
('1283', 'b3d792505c8b5b0558a0321828e01a4f8a200732', 0.6135128952385505)
('611', '8dd2251451423fcd487e53040f5901d6533a32f6', 0.611591096672643)
('640', '84cba53ad2d8e9b76b9ee185e23bbc6e4652db88', 0.6077013143762926)
('1361', '1cd9a08fd6b32fd2ee8390abe325eb04489c6801', 0.6073137217377274)
('682', '1bfaecab5a43be4633eaaee210a211b4898a59f7', 0.6060323010300608)
('1361', 'fabe908e13b6b8b8d14cb5a01e8b5ade5791d1aa', 0.6028139651970075)
('897', '982e9d5ad8d12fd9cb02487aae51769f7150d777', 0.596315574617665)
('1361', 'd62879a423630dbf323e26b096682e4a3a3d2267', 0.5950808674869843)
('847', '4e4f137d7a89584ef565662eec49691151ac83bf', 0.5905265714594861)
('1186', '85d7d2d2ee832ccf8704e41d60d3d42a7f000ace', 0.5841985102060865)
('1027', 'df150ef9adb90a58bc08af6ee471a491df0e6e93', 0.5824546006697096)
('255', '781742eb703aa4f074c1fbc944e3020dc7cd51a5', 0.5798956047616076)
('356', '5015003855692b3d14929670ac83f2ddae08bd45', 0.5661645074478941)
('257', '41d19110e9a34d27f20285159a05a3738744cbc0', 0.5650123128013811)
('1143', '053f0de589836da38e4eda0b3e17d07646bc97c5', 0.5638811648526213)
('124', '7447257bbb9835e4727afa8afcf1d3e0bf1ec96e', 0.5581686178823745)
('121', '2b9fe73427e621147dfacc511ddf397007252f47', 0.5491247909003519)
('794', '309ef9ba00ac880766c35567b53f0d06e3fa735b', 0.5450427811948161)
('107', '5491096cb1e6bf66cb631c9c559fda25b918d222', 0.535490384916654)
('255', '41d19110e9a34d27f20285159a05a3738744cbc0', 0.5349316394819192)
