('37', 'f689275dab200faf2ec6caca615f9477b6337878', 0.8403832421668652)
('117', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.7812484812521192)
('83', '25768640fa98733e021e59af93a75597e6b819b5', 0.7678745198869812)
('110', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.7301142564654158)
('117', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.6751150134414607)
('258', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.6479913796352416)
('116', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.6380409309257663)
('304', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.6110010983389383)
('116', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.6105354298029909)
('132', 'a90a446005b96e526d4067586e7e473fb8cfe9a0', 0.6057895105187916)
('235', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.5705856337763799)
('11', '016503c9a1b5f5ebe9974fbfd835a664453f31f4', 0.540964283665458)
('254', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.5225187109548687)
('8', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.5204702697364246)
('480', '982b80f1c07477b39cd699bcfabd63c93488395e', 0.4750313816746245)
('141', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.4664365289336635)
('217', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.4217806116150575)
('334', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.41361153895652286)
('480', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.4124420742459203)
('68', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.3636719289837648)
('429', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.3462386351205982)
('12', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.33001335253744846)
('235', '870e21110d17f4742cdef527e6ef40306ecf5de0', 0.30696039724690466)
('480', '1200571eca343d402f7fb1831b4c45acbca35438', 0.2936201852583741)
('127', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.2810906581024497)
('54', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.2756411354069804)
('449', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.2701384249347015)
('329', 'a889be240af925d8131289539cfce9c63478c7f3', 0.26782955524479124)
('449', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.2658027225587661)
('295', '955b479383d02ea02740df49152710fef49afc44', 0.26473716343776477)
('53', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.25326340125358626)
('353', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.25303071871950783)
('167', 'd48b60998bf75de952386eb45916c0873ac93afc', 0.24489907114181778)
('114', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.24261968711691423)
('160', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.2411764194773272)
('480', '870e21110d17f4742cdef527e6ef40306ecf5de0', 0.23762724353074122)
('210', 'd48b60998bf75de952386eb45916c0873ac93afc', 0.23658766709465903)
('47', '1200571eca343d402f7fb1831b4c45acbca35438', 0.23626492773128377)
('480', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.2337316774529633)
('480', '01f58cbcf82245153d41b606f0771f1f09c74e9b', 0.2038101124367999)
('293', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.20267527302302854)
('480', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.20174825156756843)
('480', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.20072585296933101)
('329', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.19670751010755835)
('401', '163db1bff3177505d4d588012644783685814cca', 0.18125505845337034)
('449', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.17951741006911826)
('165', 'd48b60998bf75de952386eb45916c0873ac93afc', 0.17698347767957145)
('480', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.17453277043040785)
('353', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.16904587976456123)
('449', '016503c9a1b5f5ebe9974fbfd835a664453f31f4', 0.16736285151381475)
('62', 'a90a446005b96e526d4067586e7e473fb8cfe9a0', 0.16667561157411884)
('449', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.16626599628981847)
('47', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.1612498673818316)
('399', '870e21110d17f4742cdef527e6ef40306ecf5de0', 0.15903906006843577)
('376', '01f58cbcf82245153d41b606f0771f1f09c74e9b', 0.1580555558086682)
('399', '982b80f1c07477b39cd699bcfabd63c93488395e', 0.15634185652234428)
('210', '31b156c3f747f752af791b65c4afa71692d320d5', 0.15089150047290964)
('480', '31b156c3f747f752af791b65c4afa71692d320d5', 0.14941229654095176)
('481', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.1485091506907324)
('401', 'a889be240af925d8131289539cfce9c63478c7f3', 0.14696670989838534)
('329', '31b156c3f747f752af791b65c4afa71692d320d5', 0.14409687002331373)
('449', '982b80f1c07477b39cd699bcfabd63c93488395e', 0.14136565883213087)
('329', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.14049453662221384)
('353', '25768640fa98733e021e59af93a75597e6b819b5', 0.1393270295643178)
('54', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.1387695713414139)
('373', '01f58cbcf82245153d41b606f0771f1f09c74e9b', 0.1373878395365327)
('399', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.1352675105460667)
('399', '1200571eca343d402f7fb1831b4c45acbca35438', 0.13518278705078576)
('449', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.13504032234612048)
