('155', '3a47695428d0463a93124e45c390a708b68b6023', 0.7694017926359731)
('806', '258c36ae087c1615485201c98ef760f881be1b05', 0.6055267494915683)
('38', '571b8de867ba2273755297f25e5b5480ce9f6ca6', 0.5809807799449299)
('783', 'a344ff0e1c29b1710034cf7a6a1d41450be775ee', 0.4542724382638489)
('291', 'a73f47a1cbd3a2e072c46f283ca08f3c4c54fdf0', 0.4477730372801643)
('246', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.43623394320134734)
('25', '9f831b7c7c254d395ea71c00318811cb82ffa468', 0.4210015808062058)
('526', '89015048b496fe08588b89f97e5fea6802100767', 0.41068856554566285)
('806', '00bffd54bce6c706e0a976c70e4fc0a7d4d5291b', 0.4014845817569509)
('523', 'd056999d873659901a1eec6647ebe0fa415a9274', 0.39855021331746227)
('783', 'd1932884ee19a5ec819788e5f33b4c5f38b0dd37', 0.3754652393256383)
('823', 'f4563e07cfa9396658791af9e087f31c5ec0fe38', 0.3654030409794604)
('224', '018c8de5b275732598f7709693787fdd313392e0', 0.33959673100735727)
('850', 'e1217d20bc010b5d4a935b3323b287d3e1932710', 0.32957792113523743)
('260', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.29124065291615664)
('783', 'b69b8d67e09d22470cf8fdba898e8e6aaf628d0c', 0.2809754544383463)
('783', '08f7da201f696c98f68c52215dced2992302258a', 0.2808824397365122)
('221', '9c2e95f66bf2a56327e0e4b382795a586766c173', 0.27849210173734124)
('388', 'cf89c4f561c87a9e8dc9b37f8dab259ec77fc372', 0.27743919057902783)
('783', '3a174c64ee64d397f3f2355a486b49e7cf3358c1', 0.2715349896592464)
('717', '2dd75fbec40e062c2f242c232a17cb30d5253a4c', 0.263866001006358)
('783', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.26378766993246877)
('632', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.243777387689563)
('783', 'f6cb0e014d5eab9e48d4b589ee6c56d34bfbe764', 0.23896865563452452)
('714', 'f6cb0e014d5eab9e48d4b589ee6c56d34bfbe764', 0.2362194782540015)
('783', '6645dbd87063e7cb8086fa0ec7294e6fb19e20fb', 0.23192226670414431)
('697', '6d6b7bd6cfc674849a590e78cac21c1a0cc74d6a', 0.23157949128639668)
('25', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.22907062205760334)
('753', '1b762294695157d14ca61db1d0aff8d7fa2a655c', 0.22550927179034996)
('783', '039da3491a462fed46876dfe26135961642db286', 0.2247539959287766)
('783', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.21548840948942735)
('523', '6645dbd87063e7cb8086fa0ec7294e6fb19e20fb', 0.21287653401745918)
('669', '3b4c13dacf4750bc5459dc3acfe31b42c9214ee1', 0.2049802046977262)
('806', '529f3990a62d1ff5be8188176838b7f2de9207f2', 0.19862294129125171)
('783', '36f750a10a637744da8834e834500d6d55ed96f7', 0.19653318745082463)
('708', 'e1217d20bc010b5d4a935b3323b287d3e1932710', 0.19578471499673628)
('170', 'e06ac6779b32f55c4e88cdfba29ac22144aa7258', 0.19402753455031857)
('783', '2d6c4cf83200dbf6e6fdd004acb4f14831023fac', 0.19272476033044364)
('291', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.19260987664223833)
('783', '6d6b7bd6cfc674849a590e78cac21c1a0cc74d6a', 0.1804142696420408)
('192', '039da3491a462fed46876dfe26135961642db286', 0.17955620882318218)
('717', '6645dbd87063e7cb8086fa0ec7294e6fb19e20fb', 0.1774594418153747)
('291', 'cd17f62c886cd76a35f38138c31890df80698168', 0.17393503068508398)
('783', '0c930de8a92e0f740d05d44f54e065c4e35a4b4a', 0.17239077214823864)
('219', '2d6c4cf83200dbf6e6fdd004acb4f14831023fac', 0.17063941931628568)
('152', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.17016783652565634)
('714', 'a344ff0e1c29b1710034cf7a6a1d41450be775ee', 0.16679669564577404)
('835', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.16278441198105292)
('783', '6d63a8bbf24437969f5bb85acb05988ec8626e2b', 0.16053802706813627)
('806', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.15363652764287927)
('783', '037c9488f6ec1d6980749423ee341145e5c3501a', 0.15294374854580342)
('783', 'ba302cd81b1328df91ea526f5c002e066bea1df3', 0.15109448258740182)
('838', 'cd17f62c886cd76a35f38138c31890df80698168', 0.14956960520898654)
('669', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.14723956702122784)
('717', '529f3990a62d1ff5be8188176838b7f2de9207f2', 0.1465065646580436)
('727', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.1458134025762919)
('783', 'e06ac6779b32f55c4e88cdfba29ac22144aa7258', 0.1449544655559574)
('783', '2dd75fbec40e062c2f242c232a17cb30d5253a4c', 0.14345017273612895)
('25', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.14250633358791476)
('717', '3b4c13dacf4750bc5459dc3acfe31b42c9214ee1', 0.14190037869613337)
('703', '3a47695428d0463a93124e45c390a708b68b6023', 0.13960669122639852)
('192', '08f7da201f696c98f68c52215dced2992302258a', 0.1378055294666965)
('747', '3a47695428d0463a93124e45c390a708b68b6023', 0.13773724038859725)
('25', '529f3990a62d1ff5be8188176838b7f2de9207f2', 0.13772697870463657)
('708', '25b898397b3f59b2b6f72c1e4c46e81a4024ab3d', 0.13754882451642728)
('727', '037c9488f6ec1d6980749423ee341145e5c3501a', 0.1362561560974128)
('717', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.13261188735373858)
('25', '25b898397b3f59b2b6f72c1e4c46e81a4024ab3d', 0.13176970118695505)
('727', '6d63a8bbf24437969f5bb85acb05988ec8626e2b', 0.13154673671966338)
('388', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.1309562324204689)
('224', '4acfbcefbbb54282e2a7f97014057c35ed55a49c', 0.13048191520034852)
('25', '018c8de5b275732598f7709693787fdd313392e0', 0.1270827179114926)
('414', '3a47695428d0463a93124e45c390a708b68b6023', 0.1252262536817401)
('388', 'f5bb6a60caa6b036815ac72037dfe05ced00e8be', 0.124546885344289)
('163', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.12155958967844849)
('783', '3b4c13dacf4750bc5459dc3acfe31b42c9214ee1', 0.1214698877500172)
('753', '6891e5011099516aeccc6b3ea8f9bc956086e0eb', 0.12098367400761482)
('192', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.12093284282472384)
('717', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.11919637068589171)
('697', 'd1932884ee19a5ec819788e5f33b4c5f38b0dd37', 0.11917655190711338)
('714', '039da3491a462fed46876dfe26135961642db286', 0.11885038264174345)
('717', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.11727284912002263)
('766', '3a47695428d0463a93124e45c390a708b68b6023', 0.11586731686712783)
('38', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.11418783459844417)
('25', '3b4c13dacf4750bc5459dc3acfe31b42c9214ee1', 0.11352541891284762)
('717', 'd1932884ee19a5ec819788e5f33b4c5f38b0dd37', 0.11339703636826268)
('727', '6d6b7bd6cfc674849a590e78cac21c1a0cc74d6a', 0.11316839073570227)
('669', 'cd17f62c886cd76a35f38138c31890df80698168', 0.11134075799898117)
('669', 'd056999d873659901a1eec6647ebe0fa415a9274', 0.11090330708196207)
('219', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.11042636505376054)
('714', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.10897556331199706)
('170', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.10811393395969712)
('224', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.1071322414483945)
('639', '25b898397b3f59b2b6f72c1e4c46e81a4024ab3d', 0.10696098598722216)
('224', '0c8be1ef079b0ab961d46bbe7ba9136124e882a2', 0.10531242983163612)
('192', '3a174c64ee64d397f3f2355a486b49e7cf3358c1', 0.10506143500007349)
('192', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.10424260761580433)
('697', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.10416992005781021)
('708', 'f5bb6a60caa6b036815ac72037dfe05ced00e8be', 0.10389439819981039)
('224', '529f3990a62d1ff5be8188176838b7f2de9207f2', 0.1038695133040197)
('714', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.1036666291061682)
('783', '1b762294695157d14ca61db1d0aff8d7fa2a655c', 0.10355525823077437)
('224', 'ba302cd81b1328df91ea526f5c002e066bea1df3', 0.10343271482026095)
('170', '2d6c4cf83200dbf6e6fdd004acb4f14831023fac', 0.10328454679811608)
('593', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.10306940518558166)
('158', '1b762294695157d14ca61db1d0aff8d7fa2a655c', 0.1026791850869999)
('170', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.10249825709251952)
('835', '3a47695428d0463a93124e45c390a708b68b6023', 0.10224475280100591)
('697', 'a344ff0e1c29b1710034cf7a6a1d41450be775ee', 0.10211988454692084)
('25', 'f5bb6a60caa6b036815ac72037dfe05ced00e8be', 0.10203094728498041)
('170', '1b762294695157d14ca61db1d0aff8d7fa2a655c', 0.10187266936110212)
('717', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.10171530658053926)
('632', '529f3990a62d1ff5be8188176838b7f2de9207f2', 0.10066988871946563)
('192', 'e06ac6779b32f55c4e88cdfba29ac22144aa7258', 0.10000027684550032)
('224', '3b4c13dacf4750bc5459dc3acfe31b42c9214ee1', 0.09931989345420701)
('146', '36f750a10a637744da8834e834500d6d55ed96f7', 0.09923659410388493)
('717', 'f5bb6a60caa6b036815ac72037dfe05ced00e8be', 0.09915638935578601)
('501', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.09909364053578316)
('835', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.09779957598699614)
('697', '037c9488f6ec1d6980749423ee341145e5c3501a', 0.09777305292452294)
('714', '3a174c64ee64d397f3f2355a486b49e7cf3358c1', 0.097264048407795)
('727', '08f7da201f696c98f68c52215dced2992302258a', 0.09703334126354944)
('697', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.0961601153505272)
('388', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.09542277464911518)
('246', '037c9488f6ec1d6980749423ee341145e5c3501a', 0.09411880055754991)
('25', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.09373075454537784)
('170', '08f7da201f696c98f68c52215dced2992302258a', 0.09268570307331002)
('753', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.09249200655891296)
('708', '1b762294695157d14ca61db1d0aff8d7fa2a655c', 0.09215673589882746)
('717', '25b898397b3f59b2b6f72c1e4c46e81a4024ab3d', 0.09215402191080861)
('714', 'e06ac6779b32f55c4e88cdfba29ac22144aa7258', 0.09191249306531862)
('806', 'cf89c4f561c87a9e8dc9b37f8dab259ec77fc372', 0.0913822603891)
('593', '3a47695428d0463a93124e45c390a708b68b6023', 0.09131269897004296)
('717', '3a174c64ee64d397f3f2355a486b49e7cf3358c1', 0.09086079240161453)
('761', '571b8de867ba2273755297f25e5b5480ce9f6ca6', 0.09082543351903884)
