('414', '0f14cb965b19312ffbac47fd0a83f2efd4f0c36f', 0.9625768181321863)
('2117', 'f6863f013b91917b8c4ff45610b7b07b8f14a700', 0.959614398734899)
('2485', 'd0a0aaf073c28dc26a33e73b360267ef17c219c3', 0.957862298017975)
('1759', 'a31afb10c402a996e2eee28ef4408d66932dd962', 0.9510190768337661)
('2412', 'eb35a358c0b9cd3f45718335f0602335dae0d7df', 0.9474037837112628)
('1799', 'cb7bf9a76b4bc7a07849c3cb3fe99a993207853f', 0.9449554277741198)
('949', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.9430179128810949)
('1709', '2733d93e92d11e2ac70ffcdf5107a6fb1cd50310', 0.9329624394473157)
('769', '831122921b7f3aa81c49305d15504ad9a299be0d', 0.9324823068858176)
('1598', '427c16d9556cf233164f9afd67d5f437d59e7921', 0.930258612162694)
('1261', '72852915a32a567c2adf3b991e5ef1d4d2eb0c5f', 0.9280037425877462)
('2119', 'eb7471eb47b8d93ee9bccac65b9e3bb6a53deda6', 0.920140321707926)
('872', '3934f9bec77e39a1746d9edd347055efc5d74b1f', 0.9172688017734111)
('1816', '31aa93a5682b3f5db9c4f66568094623f0feea5c', 0.9170252583393429)
('769', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.914962033313033)
('975', '9a925d49fcc0a726e37df8bbca248aca86a83a9c', 0.9121969012200023)
('958', '6ac76acdfe73b3fc10987da67c70c3b75c8cfad1', 0.9081894032589828)
('1380', '637ce1627e4943166f274ca30409e193433532a1', 0.9021343708906815)
('1785', '582ac117b8391fc8a687bbe706a207fb2f2a1ea7', 0.8980827105393139)
('394', 'f1930d284e9fe55695c9e5c7919cc1819e603945', 0.8929612720984311)
('1507', 'b0c791e00760488d76b0634c84dc3b5a239ef4ec', 0.888232616497279)
('2545', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.88803852754534)
('1598', 'f26621dcddbbbdd64e70a7b0e8aebf8f80a35efb', 0.8876577598829499)
('949', '831122921b7f3aa81c49305d15504ad9a299be0d', 0.8865397263362759)
('949', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.8840795517150799)
('1651', '7322da961ba933bc35e14f2c959f728572988e0f', 0.8804819486423151)
('1283', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.8787521354833039)
('949', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.8690156553597741)
('1695', '595743a362d22e3b04c10950211802c114db47a5', 0.8676022233880193)
('1542', '28ac36700313aecde40522e468d53b9b4de3a984', 0.8675333202265715)
('1707', 'ae1d3701593cafdec238c35b45612eea8bd51504', 0.8551555984596495)
('1598', 'c6abf24e650f535904c5900b4f0f5c30e86d9c2c', 0.8542826596449833)
('1598', 'eb35a358c0b9cd3f45718335f0602335dae0d7df', 0.8525201784228712)
('2545', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.8505070004346752)
('1815', 'f2708bb208a8e4d2139b2c6a9ca71ec632483d8a', 0.849383174470939)
('1695', '87e3f8ae253381eb9fc707e65b58f016823cf46b', 0.8484971416145719)
('1598', 'b4479d515cc892c019b468b633fb42d5d9c2b693', 0.8449580626598835)
('2271', '1c331c217d48c1186b0cb2d9ccb9b06229c0a6df', 0.8446331335790991)
('769', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.8438822378166311)
('769', 'a31afb10c402a996e2eee28ef4408d66932dd962', 0.8400233091708035)
('2545', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.8367926713161827)
('2183', '6d9c176450b430fc23bb8da4c73142cafe505ad4', 0.8351025355291671)
('769', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.8342858903328411)
('2183', 'fd872b99440b6484a16338400e56a470009325a8', 0.8329813941296026)
('2119', '077ce62ab069dc7eb1ee49fa28c7ce1dc669d90e', 0.8282353132444618)
('1798', '0d8e5549e52a3a42e6737e3449be5b0bb13263cc', 0.8279315874907034)
('2545', '831122921b7f3aa81c49305d15504ad9a299be0d', 0.8275699619696386)
('1542', '8ec64dcbf569339cb367862902694a65e13d0345', 0.8266780781222474)
