('103', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.88169434153356)
('598', 'e0cf9190d7c05e1d5e0cb2d9375dea0995984101', 0.8698194018765447)
('481', '5d34d1c03e527547cf47ccff2eb5f359cdb8f49a', 0.6861542270970667)
('330', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.5916602156439267)
('514', '6940c61c6bf5bbee42c7120917689028d20d493c', 0.567268566429695)
('598', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.5280886367386802)
('149', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.4338050757367307)
('598', '6940c61c6bf5bbee42c7120917689028d20d493c', 0.377762841105182)
('598', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.36727035128823976)
('598', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.3643947890318907)
('9', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.3608842257179347)
('26', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.3451775197331981)
('598', '5d34d1c03e527547cf47ccff2eb5f359cdb8f49a', 0.3082841003140234)
('26', '1fb9d88b51522797e845afea8c69066767ae1436', 0.2994375596149539)
('9', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.29939465891497535)
('405', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.29853792631829823)
('598', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.27060630889587606)
('579', '7daa15757ff7119e82506e6e980856859035a8ad', 0.24123689517912703)
('559', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.23671382205733396)
('598', 'bdebbc3a3b2915ebd65308567e987ca6d84b73e5', 0.23127597377777895)
('598', 'dc08fc93a9a7fcc3d7657c81ed9204adaac95a98', 0.22096710940531278)
('333', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.2189936220987495)
('598', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.20652377907904623)
('3', '1fb9d88b51522797e845afea8c69066767ae1436', 0.19007002614063942)
('3', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.18759945445895768)
('126', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.18411261836972356)
('301', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.17027376318272075)
('26', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.15254374219147973)
('26', 'bd13b29c6f160e14d67b9668d31f5c81fdf068c8', 0.14688767563982244)
('9', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.1234343185394082)
('559', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.12226758518171676)
('26', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.12108055978181649)
('24', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.10797724524213795)
('24', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.10797724524213795)
('118', 'ac0994f5292997f298595ca7291af3bd88ae1fc5', 0.103541411018922)
('118', '9b59aa4de2f48923f9ed541418efe98a70b3d7e7', 0.10335206624510004)
('5', '1fb9d88b51522797e845afea8c69066767ae1436', 0.09842348609611874)
('559', 'bdebbc3a3b2915ebd65308567e987ca6d84b73e5', 0.09768906957524318)
('559', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.09757451694216143)
('9', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.09716389830024111)
('559', '1fb9d88b51522797e845afea8c69066767ae1436', 0.09442192215202425)
('82', 'f89aab14fa21c019295b4cc667399c1049f421b6', 0.09191293618812607)
('60', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.08956071851056198)
('614', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.08416057238976374)
('26', '4fc95536aa3c2ce894701e62c8827d256d2c24e3', 0.08358433413429439)
('598', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.08259823650101673)
('26', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.0821265405074569)
('9', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.08173058087371679)
('405', 'd8b504d58484382a9a803afe8f4b1dcd66d16103', 0.08160562738112714)
('5', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.07999058264353323)
('598', '7daa15757ff7119e82506e6e980856859035a8ad', 0.07880853478189426)
('24', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.07782688071698182)
('9', '1fb9d88b51522797e845afea8c69066767ae1436', 0.07769051909835632)
('9', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.07656917569346595)
('598', '019f986cc374ef228070f4aeba252f5071362488', 0.07534906783522999)
('598', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.07181546288707058)
('7', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.0687392509622828)
('26', '019f986cc374ef228070f4aeba252f5071362488', 0.06802153763293468)
('26', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.06590355045902935)
('78', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.06425877416393257)
('559', 'bd13b29c6f160e14d67b9668d31f5c81fdf068c8', 0.06267128517481492)
('82', '6d9c6b7dd9f1741c7c7f39e190b948879253d92c', 0.0623624053390924)
('295', '7db3ca0c21b9859d672483e08a7374b913b3b4d0', 0.06150926007673852)
('26', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.06094788085336703)
('4', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.06043803595660713)
('4', '1fb9d88b51522797e845afea8c69066767ae1436', 0.05460425041802038)
('598', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.053126158046976096)
('9', '019f986cc374ef228070f4aeba252f5071362488', 0.052699178837787415)
('598', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.049301737896474344)
('26', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.04745187304017897)
('301', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.046963587505862506)
('301', '31dfef55fe9538c02ea5d5c42e9b3160cbb51443', 0.04491431919362645)
('301', 'd8b504d58484382a9a803afe8f4b1dcd66d16103', 0.04484014089128636)
('598', '967686b2f2d3e2ed770929c3909a33991220d56a', 0.04435806592161863)
('99', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.044314407060173755)
('559', '6940c61c6bf5bbee42c7120917689028d20d493c', 0.04429460963681912)
('9', '967686b2f2d3e2ed770929c3909a33991220d56a', 0.04270730419730705)
('598', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.0424286088003439)
('1', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.04112461658497346)
('1', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.03892996123820004)
('301', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 0.03825715312528716)
('301', '719070cb5e16fc6667d514cf5e88117b16395755', 0.0371068032194722)
