('514', '6940c61c6bf5bbee42c7120917689028d20d493c', 0.5734330820149005)
('126', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.545585380823923)
('330', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.4225086069082469)
('559', 'bdebbc3a3b2915ebd65308567e987ca6d84b73e5', 0.30243661919819004)
('598', 'e0cf9190d7c05e1d5e0cb2d9375dea0995984101', 0.3000634334460519)
('149', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.23423947126916003)
('103', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.2339459778704035)
('24', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.21241874162356753)
('24', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.21241874162356753)
('26', '1fb9d88b51522797e845afea8c69066767ae1436', 0.20186604209495593)
('405', 'd8b504d58484382a9a803afe8f4b1dcd66d16103', 0.1978339158631696)
('333', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.19474656833081005)
('26', 'bd13b29c6f160e14d67b9668d31f5c81fdf068c8', 0.19448731834257788)
('26', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.15069734465988743)
('26', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.14217863965501543)
('26', 'e08b9f6f701551c34bd6f2931674cd470e7b2092', 0.1329885368039385)
('559', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.1306425709796758)
('60', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.12614265991915635)
('559', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.08293842320551828)
('172', '15873145252823f57110c8ef0b8bf8964902a098', 0.08288876557333824)
('405', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.08257048537110177)
('26', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.07568301021710343)
('481', '5d34d1c03e527547cf47ccff2eb5f359cdb8f49a', 0.06815170682279743)
('301', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 0.06733842732606551)
('598', '6940c61c6bf5bbee42c7120917689028d20d493c', 0.06631098170522325)
('24', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.06374954397182954)
('26', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.0624577678616441)
('78', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.0619617348181407)
('598', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.06127954853954818)
('598', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.06127954853954818)
('301', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.057665284748205724)
('598', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.05724978861503252)
('559', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.054317503031849505)
('26', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.05338194945182618)
('301', '719070cb5e16fc6667d514cf5e88117b16395755', 0.04894277379157456)
('614', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.04308402559399859)
('401', 'd8b504d58484382a9a803afe8f4b1dcd66d16103', 0.041881407430740744)
('579', '7daa15757ff7119e82506e6e980856859035a8ad', 0.03696384234744885)
('9', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.03389776831793312)
('9', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.03314684738323356)
('9', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.03284972739102207)
('9', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.03160475322649062)
('9', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.03160475322649062)
('9', '019f986cc374ef228070f4aeba252f5071362488', 0.027526331447676407)
('598', '5d34d1c03e527547cf47ccff2eb5f359cdb8f49a', 0.027094045938241315)
('598', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.026930605363732384)
('26', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.026607970095804984)
('598', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.025673543110698988)
('26', '019f986cc374ef228070f4aeba252f5071362488', 0.02507118996541174)
('301', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.02425564231779799)
('598', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 0.02412355250484992)
('598', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.023656455256238402)
('99', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.02232104820587093)
('598', '719070cb5e16fc6667d514cf5e88117b16395755', 0.022059162315929894)
('559', 'd26d710c2cc8bc0d3bcb27d84fa817bb8acbd7fd', 0.021921164571245415)
('401', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.02123598496202936)
('9', 'd26d710c2cc8bc0d3bcb27d84fa817bb8acbd7fd', 0.0209597305355363)
('9', '967686b2f2d3e2ed770929c3909a33991220d56a', 0.01908431677166031)
('559', '1fb9d88b51522797e845afea8c69066767ae1436', 0.01839775726969561)
('1', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.015890863643345694)
('598', 'd26d710c2cc8bc0d3bcb27d84fa817bb8acbd7fd', 0.015698249248146574)
('1', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.014676417958572793)
('598', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.013938385682230386)
('9', '6d9c6b7dd9f1741c7c7f39e190b948879253d92c', 0.013584690375519227)
('9', '9b59aa4de2f48923f9ed541418efe98a70b3d7e7', 0.013535905540967676)
('9', '15873145252823f57110c8ef0b8bf8964902a098', 0.013472839176785347)
('9', 'ac0994f5292997f298595ca7291af3bd88ae1fc5', 0.013349388851626372)
('598', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.01278167170511642)
('598', 'ac0994f5292997f298595ca7291af3bd88ae1fc5', 0.012661347658335586)
('598', '9b59aa4de2f48923f9ed541418efe98a70b3d7e7', 0.012652655851439532)
('1', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.012123748933472654)
('598', '6d9c6b7dd9f1741c7c7f39e190b948879253d92c', 0.011985883854751783)
('598', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.01184791218591452)
('82', '6d9c6b7dd9f1741c7c7f39e190b948879253d92c', 0.011289130239727073)
('9', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.010962806554082756)
('9', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.01089050394655518)
('9', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.009950080456898701)
('598', '15873145252823f57110c8ef0b8bf8964902a098', 0.009517766982357501)
('598', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.008468462342860469)
('134', 'e08b9f6f701551c34bd6f2931674cd470e7b2092', 0.008259481546309141)
('9', 'f89aab14fa21c019295b4cc667399c1049f421b6', 0.008034079240940632)
('9', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.00745365841875932)
('26', 'd26d710c2cc8bc0d3bcb27d84fa817bb8acbd7fd', 0.007035773132641264)
('295', '7db3ca0c21b9859d672483e08a7374b913b3b4d0', 0.006989554505656856)
('9', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.006979411403603944)
('9', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.0069163574881630704)
('3', '1fb9d88b51522797e845afea8c69066767ae1436', 0.005939471680433744)
('7', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.005853678089600074)
('598', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.005520544039258773)
('82', 'f89aab14fa21c019295b4cc667399c1049f421b6', 0.005484944494384122)
('1', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.005482049231978935)
('1', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.005482049231978935)
('5', '1fb9d88b51522797e845afea8c69066767ae1436', 0.005210294807838879)
('26', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.005075508368860946)
('3', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.005049767492168348)
('9', '1fb9d88b51522797e845afea8c69066767ae1436', 0.00503367806978241)
('598', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.004455913940933405)
('1', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.004217224184809725)
('5', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.004088669013171958)
('9', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.0036956194579082172)
('598', '019f986cc374ef228070f4aeba252f5071362488', 0.0035695050016908638)
('9', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.0031915614925243593)
('9', 'bd13b29c6f160e14d67b9668d31f5c81fdf068c8', 0.00312613429873639)
('4', '1fb9d88b51522797e845afea8c69066767ae1436', 0.0028019219225619593)
('26', '967686b2f2d3e2ed770929c3909a33991220d56a', 0.0026726350557312777)
('4', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.002123394014999655)
('26', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.001731925311145773)
('1', '1fb9d88b51522797e845afea8c69066767ae1436', 0.0014856441104827982)
('26', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.0014037577144153945)
('7', '1fb9d88b51522797e845afea8c69066767ae1436', 0.0008916353334323268)
('26', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 0.0008568316906389778)
