('2117', 'f6863f013b91917b8c4ff45610b7b07b8f14a700', 0.9999999822340749)
('949', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.9985784180672423)
('1598', '65d4f1ff52ffa003736bb05328b51c1b1385a71e', 0.9975422752186807)
('1598', '6e59f87c9b7b999f7bffe1c850046eec59d5f39e', 0.9975413362918681)
('1598', 'b4479d515cc892c019b468b633fb42d5d9c2b693', 0.997540543037041)
('1598', 'c6abf24e650f535904c5900b4f0f5c30e86d9c2c', 0.9945093559527718)
('1598', 'f26621dcddbbbdd64e70a7b0e8aebf8f80a35efb', 0.989763396670933)
('414', '0f14cb965b19312ffbac47fd0a83f2efd4f0c36f', 0.9886288978933377)
('1799', 'cb7bf9a76b4bc7a07849c3cb3fe99a993207853f', 0.9856942983245148)
('1598', '427c16d9556cf233164f9afd67d5f437d59e7921', 0.9831859410157142)
('2271', '1c331c217d48c1186b0cb2d9ccb9b06229c0a6df', 0.9810025025155452)
('1598', '595743a362d22e3b04c10950211802c114db47a5', 0.9778404906169278)
('2485', 'd0a0aaf073c28dc26a33e73b360267ef17c219c3', 0.9701610108416258)
('2271', '729e203df97e1b228d75ce300d03ee82281d4569', 0.969025346146482)
('872', '3934f9bec77e39a1746d9edd347055efc5d74b1f', 0.9600780411014177)
('1759', 'a31afb10c402a996e2eee28ef4408d66932dd962', 0.9600769714530346)
('280', '3af95a06a3f9915a38baadfec36bb4644e9d6dec', 0.959981461041952)
('1598', '47ae7d32679994b5eb4b78ac3df9dc4eb8321abd', 0.9539312172250902)
('1709', '2733d93e92d11e2ac70ffcdf5107a6fb1cd50310', 0.951202282160212)
('2093', 'aed92f8c47f239a713056eea8d1002cb24d01389', 0.9506077294472451)
('1845', '2d8ded4f0c4b134354b82b0831d4309b55a1c97f', 0.9459162729380333)
('949', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.9425294553651262)
('1853', 'f221fe1b3c64c85e12bf3b059423517e2aa6d88b', 0.9419893177119907)
('1845', '92a34b3a5ef78b8d9769e3e59bb319a3bf6d162a', 0.9410733606239876)
('2611', 'e75a304fe922dcc8cb4338a12489c261a82018f7', 0.9392398879138969)
('769', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.9382880941270304)
('195', 'd205432029be103fa0c4777ca0f38f3a3365ff68', 0.9380163121891858)
('2093', '95363d0085aa674c800a93aa828db81107ec69a0', 0.9371516851606205)
('2093', '7393c725c2451d111bb3bec35f8e92ed73d1a8aa', 0.9347741381981862)
('2611', 'a69b5ddcbcab40c4de6b683a4e68feca873fa9e4', 0.9343354675805396)
('2093', 'eb7471eb47b8d93ee9bccac65b9e3bb6a53deda6', 0.9337987529979029)
('1845', 'f221fe1b3c64c85e12bf3b059423517e2aa6d88b', 0.9335699114619392)
('1853', '92a34b3a5ef78b8d9769e3e59bb319a3bf6d162a', 0.9330323629409905)
('1598', 'f716911c23cdeeaa49079d88fcfdc0dec135ee36', 0.922140482070857)
('1598', '87e3f8ae253381eb9fc707e65b58f016823cf46b', 0.9220353834478966)
('2093', 'a18d4122c53824033c3e345a09c4fbabbdcf4300', 0.9219453153810945)
('2611', '1c331c217d48c1186b0cb2d9ccb9b06229c0a6df', 0.921728855963326)
('1705', 'ed57e419c484ef01726ebec93cebde538e45103f', 0.9176288059783964)
('129', '88908b5f25a20efb2d548d6501c3f486b1e3f74a', 0.9155106554897909)
('98', '22dda86b3dd24305fd3d2c5d9555cfe4f620694a', 0.9138873799343714)
('1536', 'd0450a23a432be87b3945d4b613d80fb7124e7eb', 0.9119714929980504)
('2611', '729e203df97e1b228d75ce300d03ee82281d4569', 0.911680410967193)
('2545', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.9050443548459532)
('975', '9a925d49fcc0a726e37df8bbca248aca86a83a9c', 0.8999028244797764)
('1598', 'eb35a358c0b9cd3f45718335f0602335dae0d7df', 0.8990852579467635)
('2422', 'd6812d290e5d4431e1a065212f237ab837b3a765', 0.8966092245476716)
