('32', '1047be7aadc6edb93bbca1f2ef81c9709faddb4c', 0.8621516289513836)
('34', '4732221e10b0b826ca2447af17f16a291081adca', 0.7575130657645492)
('34', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.7574982916814954)
('34', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.6399732479863619)
('34', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.6329874260022849)
('34', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.5660167799638338)
('34', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.5509943362289014)
('17', 'bb9428f203b35c8331e7281afa7d668bc1689e27', 0.5161069402986364)
('34', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.478766146362178)
('43', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.38541331960061176)
('75', 'd563a430d77451eb5109a01b483413a3f51ec909', 0.3443182414745345)
('59', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.3154525881388883)
('61', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.21511316207139783)
('30', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.1789516129897504)
('73', '4aed57ce101ecbb9f0eb1b9b210b9796d776a891', 0.17516725057126176)
('73', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.17516193563732)
('73', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.1751604270516829)
('73', '4732221e10b0b826ca2447af17f16a291081adca', 0.1751575019512776)
('73', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.17487424481862682)
('73', 'bb9428f203b35c8331e7281afa7d668bc1689e27', 0.16236744520893728)
('73', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.1611976546652511)
('73', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.1463654733553197)
('73', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.14295317473478053)
('41', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.13832586247187142)
('73', '7e31bd50a933f4603bf66fda9f7b4344bd9f7a03', 0.13131383054203877)
('73', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.13107282409766696)
('73', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.130880933596817)
('73', 'fcac93ed76c9c55fce2628e4bc3bc1bb0f32e7e4', 0.11076900884817628)
('73', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.11070511525616637)
('41', '4732221e10b0b826ca2447af17f16a291081adca', 0.08534606680774638)
