('1283', 'b3d792505c8b5b0558a0321828e01a4f8a200732', 0.6991088826638093)
('362', '5015003855692b3d14929670ac83f2ddae08bd45', 0.6037024941812394)
('775', 'c6caa3faaa50c50b38e60f429e575468969cbbb1', 0.5648606210822362)
('1489', '20f3c2c51d5d02634218b5647e6deabe3d243f0c', 0.551196865826945)
('1143', 'f260428151512245be461f6bc41b1717dd0773e1', 0.5257622096785624)
('1144', 'f260428151512245be461f6bc41b1717dd0773e1', 0.5079716780804618)
('257', '0415ea7814a1b8218b40b0520363e171d74aa065', 0.4966353761737272)
('363', '5015003855692b3d14929670ac83f2ddae08bd45', 0.4932032838031008)
('1143', 'f9dbb3007125ab4dc4c42a0d5a6520894565f680', 0.48776287679669444)
('1144', 'f9dbb3007125ab4dc4c42a0d5a6520894565f680', 0.47407908771358137)
('1143', '0de7d498a597446d3aa77d5dc13783793655b301', 0.4694648799500922)
('1355', 'f3be6b25d91a156b91ab6b73b025b3d768cdd45b', 0.46806040365967605)
('1144', '0de7d498a597446d3aa77d5dc13783793655b301', 0.45589848429869967)
('1344', 'f6c7241c0081513f63b010a18a79a14abc6f0562', 0.444999074542601)
('1258', '405b5abf00dc70af64104dfeba1b9602afb5b207', 0.4372426818311052)
('257', '41d19110e9a34d27f20285159a05a3738744cbc0', 0.42881789742750936)
('1353', '1cd9a08fd6b32fd2ee8390abe325eb04489c6801', 0.40708211901028346)
('1355', '1cd9a08fd6b32fd2ee8390abe325eb04489c6801', 0.3844734381066746)
('629', 'b526ced5f922c2c9979b144a3cb902d9b32222c3', 0.3680556189198908)
('257', '12fa58a62550d87492157d1bc263bb1dbfca1bc5', 0.35906312364336096)
('1353', 'f3be6b25d91a156b91ab6b73b025b3d768cdd45b', 0.35895471019426656)
('666', 'fedb3eb2e38c5cfdee100e797614cd4cf2fa06c3', 0.35695637824514936)
('777', '119c6aab1a84ea1c717de446cc50e1ca4c720ccc', 0.3549773945169575)
('320', '93e03cf2b5d09f35abe531f967b3048f36dbe935', 0.35479633392471244)
('134', '6a471dbd52958a1fc9717d5a284fbd099480a895', 0.3268443146925433)
('1051', '6f9c746d71f2135dedbf4fbec56a072b64fc1483', 0.32022037922945845)
('134', 'c0874e07d1819b1bd4ba39b0b08a22d1155242c3', 0.31526601774138324)
('134', 'e88fe5d08750ccc57dcaa1becca595542ee49415', 0.3144770930631812)
('132', 'c0874e07d1819b1bd4ba39b0b08a22d1155242c3', 0.31228405791567787)
('1226', '3fec21eafc33140a6dc68e266c629b2b2c492e89', 0.3054410160720019)
('125', 'c0874e07d1819b1bd4ba39b0b08a22d1155242c3', 0.30260357505621566)
('134', '7592ef90fcf41af76ef4be103c7ec729b1c88186', 0.3015189099805021)
('370', '8000e6d96ce2d2a5f5ed79c01d4e454fe446220e', 0.2969415570972925)
