,0,10,20,30,40,50,60,70,80,90,100
VSM-AP,0.124,0.1183,0.1328,0.1364,0.1262,0.1062,0.1107,0.0986,0.0936,0.0907,0.084
VSM-F1,0.1818,0.1649,0.16521,0.1547,0.13621,0.1304,0.11834,0.10207,0.09378,0.0807,0.0638
LDA-F1,0.1388,0.13176,0.11865,0.1046,0.0756,0.0873,0.06282,0.06474,0.04318,0.0392,0.0319
LDA-AP,0.055,0.0616,0.0542,0.0462,0.0316,0.0409,0.0254,0.0268,0.0194,0.0196,0.02
