,0,10,20,30,40,50,60,70,80,90,100
VSM-AP,0.4172,0.39754,0.40044,0.36258,0.3229,0.30604,0.3177,0.30022,0.28878,0.2469,0.2331
VSM-F1,0.432,0.4004,0.414,0.3638,0.3298,0.2764,0.2864,0.2845,0.2462,0.1908,0.167
LDA-F1,0.2577,0.23428,0.24356,0.22748,0.1885,0.2176,0.16984,0.17624,0.1986,0.1432,0.1379
LDA-AP,0.181,0.1504,0.1638,0.1694,0.1386,0.1616,0.1318,0.1388,0.1786,0.106,0.114
