('333', '131968c2794cc103e7fac24ffd0a82cbddd54641', 0.9879588714920554)
('806', '258c36ae087c1615485201c98ef760f881be1b05', 0.9708191498080072)
('557', 'e52465b902f7a49691855df6afbcb0489ba5609b', 0.9287091222139903)
('450', '8b865de0444b8e31ef3d982819f205a20521f4b9', 0.9239077049185602)
('723', 'cd76f2a01a3c9a8b2c3eed5babddf5d014ec202c', 0.8399428544816729)
('523', 'd056999d873659901a1eec6647ebe0fa415a9274', 0.8276834323863277)
('714', 'f6cb0e014d5eab9e48d4b589ee6c56d34bfbe764', 0.8106597718346132)
('664', '564360fb6cf2fa91298ea4abb6ad362b2891ecca', 0.8037093653617382)
('781', '33e201df962a15263cae4dc7aa58841bda4a1abd', 0.7698282157225106)
('665', '849e40a0fe9a9c4aed29a44275a988b4015c87da', 0.7345995704331201)
('639', '25b898397b3f59b2b6f72c1e4c46e81a4024ab3d', 0.7309257456930432)
('221', '9c2e95f66bf2a56327e0e4b382795a586766c173', 0.728494468181033)
('526', '89015048b496fe08588b89f97e5fea6802100767', 0.7035261569592643)
('697', '6d6b7bd6cfc674849a590e78cac21c1a0cc74d6a', 0.6997817785042704)
('388', 'cf89c4f561c87a9e8dc9b37f8dab259ec77fc372', 0.6668237206004186)
('835', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.6600375337913822)
('632', '529f3990a62d1ff5be8188176838b7f2de9207f2', 0.624560755718846)
('623', 'd23ac3731959ae84adb2333733abaef4f23a0312', 0.6139374524961668)
('465', '6676fd789c9095d934e42552d7b341be04114de5', 0.6090758987820603)
('797', '072c177008dc74ddcfab55f7a6d441a5b7d5aa5a', 0.6075929172159602)
('246', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.594076178858643)
('544', '1048f5df145da9ee46c568efc8e59ec57cba9905', 0.5732790399001515)
('757', 'cf1ede6a7257428f41712c23b8d913ad6914b21d', 0.5560846024836461)
('607', '61b47f6082bc0db38a33cb29c78cc66120cbdb3f', 0.5552769253780886)
('607', '1ad1765c95b88a72d4a5df539d6255757c6c7b54', 0.5275497863592935)
('730', '807c4e08c525c32025026cd829cd1f954fdb21f6', 0.5267738581922469)
('180', '00fb00b094474de98ffcfe7cdb3d4b2682389676', 0.5262230415158616)
('495', '12e08eed8d303e90e9302c4ea56c7d00e13aa128', 0.5251324058084901)
('653', 'f35223312b74743886436770f5172cb25e4e0974', 0.5063231492512311)
('224', '018c8de5b275732598f7709693787fdd313392e0', 0.49588267937008984)
('658', '1fd50e66ed3388fb44151983760bc146af993824', 0.4865857543380543)
('465', '89572d0096ad852c6196f04521fcf14d0ba93a20', 0.4568616985874032)
('593', 'e953cd99c79adbfebb883728d61f582e4c1fedb2', 0.4532280958770862)
('673', '0ade5f75dcb6d07a242ab3468bc79bb413b9f677', 0.44925908039874374)
('170', '039edba7a157a2fc15bab232de2e3e84eead8b10', 0.4482927523768421)
('146', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.4302807854215188)
