('1001', 'b893aafae764aada0b8122b9cb7f7f40472c9487', 0.9586181720042367)
('442', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.9526788077724448)
('890', '7de40091a34aaef868fa1244dc29a46602f625e9', 0.891952874790112)
('126', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.8754307256687798)
('618', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.8700902234934922)
('1047', 'f822761ab27bc5ee262ca8b80cd2e0dcb283624a', 0.8629856781712044)
('942', '5394613ba667f9747673cb8921fc50acedc9d8b5', 0.8608977786469104)
('695', 'dca1b2004321c824b33a3eaf27d0d926d35e72df', 0.8587930363144413)
('619', 'c8f1d54fa18f724e25f62e2c2feddd3eeb78b76c', 0.8580016250094671)
('841', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.819912904325835)
('788', 'fe12a8481f7299f70ee976b670617ed74950bb84', 0.8093672349298058)
('483', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.8082102423051734)
('135', '72ceb58fa3e0e484ca27cdfc7fd5f20cd0277561', 0.7909079364835293)
('208', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.7897429428182435)
('119', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.7895996458644285)
('528', '826a45c1052e846b1250813be74f0382f6a543e3', 0.7894949039921009)
('619', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.7826658122605139)
('280', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.7795070681789988)
('639', '11467fca2a078a6868473b61a9608ba45e337795', 0.7707964103042814)
('807', '764e1b6dc012ac6ce10b17e18ce9fcf95c400d9c', 0.7652376229241223)
('171', '6a03ffaf7b44e79c56dff379a3efb99c91d34709', 0.764726739486546)
('442', '5aed505429694130a76115b7a4219b1a36f53346', 0.7585435332498508)
('171', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.7540206084641459)
('751', '8e856acac595a3d37c5d086fb3776eeccaf764b4', 0.7463245905340914)
('1002', 'd88f204a15a89a14c36f2048406d4c4d1ee29f45', 0.7417391546442682)
('535', '847ebf9bf3187fb83616badbec1b2562053ae83d', 0.7380774243173616)
('844', 'a480ef60ea5e0a93a62f83fc5712ddb2f185c6eb', 0.730761041617556)
('947', '10b0ade627491325199e41aeab4bfc8a764b3fb0', 0.7307251671461409)
('106', '5ade05711350fe190ec2898106e591dd0564f4df', 0.7273965317532117)
('663', 'a2241e25217f7ffdd8824502a47bf3b18623dc2f', 0.726465502779652)
('1075', 'dd8243a56d99f5cee72fe6e7065085c36fb7f767', 0.7256548365210033)
('360', '788c1d9b84e470d28eaf1198ad0a5d7f18da287b', 0.7235759104473148)
('136', '4898829384d048433c9a54f35d328f4a456318be', 0.7154091117853518)
('1057', '8f1b66ab5a22b772f59cbac616612b44eb30ffb2', 0.712564349127656)
('521', 'b1431f8827712d9e3feb6c9b310c53947bd9c6d6', 0.707572838163449)
('973', 'fa8ffb8e66176e52464cd04156cd565a5e37f2d1', 0.7059551085183526)
('1046', '2d930894ffc944af6d62bffe60118a7a0c98d3e8', 0.7056730901672954)
('171', '4f1e3bafe734cba3b27183fb4853686719c2e641', 0.6953256665656605)
('130', '44f2b74862f67eeac2b16738475ff48cb4abdb6c', 0.6942107574632892)
('742', '8e856acac595a3d37c5d086fb3776eeccaf764b4', 0.6898787667561699)
('1081', '3bb408194ddcf39de74af2c94a43537469dc9752', 0.6875591730144126)
('727', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.6840320027375417)
('553', '6b7109c66b19f5bf97ad7473e0131c50ea8924f7', 0.6822337788027256)
('213', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.6780729306606456)
('173', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.6755536770860272)
('623', 'c8f1d54fa18f724e25f62e2c2feddd3eeb78b76c', 0.675120025605925)
('1059', '8f1b66ab5a22b772f59cbac616612b44eb30ffb2', 0.6741772193878243)
('801', '7fd958a490d9a5bb1d42d43c84ddbc5e6bf4d6d4', 0.6677327482517454)
