('697', 'a1e727648c19f475788d6bcb62d3b7785e0f66ff', 1.0)
('723', '7eabe1789c2605692e300c231c411d9ed02eaa18', 0.9994487381752513)
('388', 'f54046168723638d7887d0a79153782e1a0717a6', 0.9993221646473833)
('388', 'cf89c4f561c87a9e8dc9b37f8dab259ec77fc372', 0.9988255038535865)
('557', '001a969038121dd65ce376d17fe3c63c0c038171', 0.998320523337918)
('557', '4a46696c6a2657f1ee6b12a31c6e8682c971d074', 0.9981380767545827)
('557', 'cd4d08ccce7fed4a7998561b7e926d74ef860ce5', 0.998137389601994)
('557', '849e40a0fe9a9c4aed29a44275a988b4015c87da', 0.998134519546074)
('557', '9dfd3d3c89108f3b3c6a11a85b77842d7e2248a3', 0.9980691721841296)
('38', '4acfbcefbbb54282e2a7f97014057c35ed55a49c', 0.9978006915549678)
('557', '1ad1765c95b88a72d4a5df539d6255757c6c7b54', 0.9963316281564644)
('155', '3a47695428d0463a93124e45c390a708b68b6023', 0.9963222712699098)
('557', 'e52465b902f7a49691855df6afbcb0489ba5609b', 0.9961789307894716)
('723', '0c8be1ef079b0ab961d46bbe7ba9136124e882a2', 0.9960034038960945)
('806', '00bffd54bce6c706e0a976c70e4fc0a7d4d5291b', 0.9943434982517653)
('806', '258c36ae087c1615485201c98ef760f881be1b05', 0.9943434946442643)
('123', 'bee33763a4fb206654c549dc186f76eaf7cd275a', 0.9920569656348193)
('123', 'f7270e519d9d6d8dc4577cb85466a636fffd9e92', 0.9920315981331811)
('723', 'cd76f2a01a3c9a8b2c3eed5babddf5d014ec202c', 0.9904386824411539)
('123', '807c4e08c525c32025026cd829cd1f954fdb21f6', 0.9888279233268518)
('123', '6891e5011099516aeccc6b3ea8f9bc956086e0eb', 0.9835620210875933)
('123', '0c930de8a92e0f740d05d44f54e065c4e35a4b4a', 0.9809564835569943)
('27', '3533fc7b1a9344b5e0ac59281bf0b14e6131cca1', 0.977008262072518)
('557', 'ccf6cb15fe80c67d9a424bbcc2a7e73bc7f65685', 0.9739942455464771)
('28', '8f1d7662e3d79c11a96db74c46d57072530600a7', 0.9690130987723647)
('463', 'a344ff0e1c29b1710034cf7a6a1d41450be775ee', 0.9672788938323283)
('823', '14a6d9005476cc638116f0ef369bbda15459ff9e', 0.9663102041789201)
('463', 'c65dbaabb1c891605279553839cad59b80688dd9', 0.96556009694562)
('38', '6645dbd87063e7cb8086fa0ec7294e6fb19e20fb', 0.9639322338555781)
('38', '8fdf1f918e8e89d91fd1f372e00b055336875b7b', 0.962659722839647)
('463', 'd80c957284a4c2930240cfecc13f2619781d4d07', 0.9598964537273956)
('123', 'cf8ec02d19f69288d14828b269082bc87ee50731', 0.9589201879648966)
('797', '0bfc0e16e72303cf2d8550582240345bde436f34', 0.9548379028777272)
('723', 'a71e23a635292629f9d87e35f50fd21889dd450e', 0.9522483369855504)
('557', '61b47f6082bc0db38a33cb29c78cc66120cbdb3f', 0.9522334669382726)
('806', '529f3990a62d1ff5be8188176838b7f2de9207f2', 0.9498958609841339)
('62', 'ab74db9a1c27fe29de9c05280d27979af605c29a', 0.9458806799995244)
('632', '258c36ae087c1615485201c98ef760f881be1b05', 0.9458552322988862)
('632', '00bffd54bce6c706e0a976c70e4fc0a7d4d5291b', 0.9441429504710908)
('757', 'cf1ede6a7257428f41712c23b8d913ad6914b21d', 0.9400484717591605)
('450', 'f6d48d4b844a088cad18ec2942549d4fbf4c5b7a', 0.935607578999885)
('823', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.9351354889428113)
('450', '8b865de0444b8e31ef3d982819f205a20521f4b9', 0.9330419372255575)
('727', '74ebaa6aac06585fc8865f2cf624fde04fd9231f', 0.9290991527252237)
('614', 'd48defead77be39250373d03933525ba95899e6a', 0.9265153353266533)
('62', '9c2e95f66bf2a56327e0e4b382795a586766c173', 0.9246333520334639)
('123', 'ab5668c49ecee661c2bb7612209e7bcbe32c4acb', 0.9194350052401579)
('123', '82910828b274a16d7798bfb025cff291cdb2bf1e', 0.9194008802279132)
('753', '4a46696c6a2657f1ee6b12a31c6e8682c971d074', 0.9193212287323971)
('753', '9dfd3d3c89108f3b3c6a11a85b77842d7e2248a3', 0.919196358668907)
