,arthas,,,canal,,,druid,,,nacos,,,rax,,,san,,,EasyReact,,,Emmagee,,,bk-cmdb,,,ncnn,,,QMUI_Android,,,QMUI_iOS,,,weui,,,xLua,,,pegasus,,
,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP
gvsm_origin,"(0.2366, 0.3827, 0.2925)","(0.2366, 0.3827, 0.34063208185990523)","0.221","(0.2032, 0.2249, 0.2135)","(0.1113, 0.3964, 0.2621157319391635)","0.126","(0.1731, 0.25, 0.2045)","(0.1433, 0.3032, 0.24788087631218622)","0.111","(0.2581, 0.2581, 0.2581)","(0.1507, 0.3548, 0.2791789891395155)","0.117","(0.2486, 0.2848, 0.2654)","(0.1333, 0.3841, 0.2790827973400196)","0.206","(0.5, 0.55, 0.5238)","(0.5, 0.55, 0.5392156862745099)","0.41","(0.3095, 0.4194, 0.3562)","(0.3095, 0.4194, 0.39159014118498847)","0.332","(0.2, 0.25, 0.2222)","(0.0667, 1.0, 0.2632617619197979)","0.179","(0.0435, 0.1156, 0.0632)","(0.0335, 0.2013, 0.10055994631673129)","0.018","(0.6111, 0.3438, 0.44)","(0.1765, 0.6562, 0.4251185582146528)","0.402","(0.3077, 0.381, 0.3404)","(0.1987, 0.4921, 0.3799062475716839)","0.268","(0.9167, 0.6875, 0.7857)","(0.75, 0.75, 0.75)","0.791","(0.3462, 0.1957, 0.25)","(0.1687, 0.3043, 0.2621561127566132)","0.196","(0.625, 0.5, 0.5556)","(0.4138, 0.6, 0.5504611564384533)","0.432","(0.4643, 0.4483, 0.4561)","(0.3542, 0.5862, 0.5183026460309536)","0.421"
gvsm_trans,"(0.2788, 0.358, 0.3135)","(0.2143, 0.4444, 0.3658378918254455)","0.263","(0.1867, 0.2485, 0.2132)","(0.1238, 0.3905, 0.27291351473410863)","0.124","(0.2495, 0.2824, 0.2649)","(0.1496, 0.4306, 0.31301146744412056)","0.183","(0.3103, 0.2903, 0.3)","(0.3103, 0.2903, 0.29409105452171075)","0.132","(0.3789, 0.2384, 0.2927)","(0.1964, 0.3642, 0.3110492259523396)","0.23","(0.4737, 0.45, 0.4615)","(0.2167, 0.65, 0.4643163238396625)","0.379","(0.4333, 0.4194, 0.4262)","(0.4333, 0.4194, 0.4221081947412431)","0.363","(0.1724, 0.625, 0.2703)","(0.1724, 0.625, 0.4098204777118515)","0.167","(0.0945, 0.1285, 0.1089)","(0.053, 0.2099, 0.1318404835269021)","0.036","(0.5789, 0.3438, 0.4314)","(0.1795, 0.6562, 0.4285689855916169)","0.388","(0.3067, 0.3651, 0.3333)","(0.216, 0.4286, 0.3581061426582083)","0.259","(0.8462, 0.6875, 0.7586)","(0.5, 0.875, 0.7608695652173914)","0.773","(0.5294, 0.1957, 0.2857)","(0.25, 0.2609, 0.2586446189229915)","0.16","(0.5385, 0.35, 0.4242)","(0.2222, 0.7, 0.4894889224572004)","0.467","(0.5, 0.4828, 0.4912)","(0.5, 0.4828, 0.4861446753665217)","0.397"
lda_origin,"(0.1092, 0.2346, 0.149)","(0.0958, 0.284, 0.20389088729016785)","0.058","(0.0747, 0.1361, 0.0964)","(0.0466, 0.4083, 0.15996956448629562)","0.039","(0.0461, 0.0949, 0.0621)","(0.0302, 0.213, 0.09635410425404434)","0.019","(0.1429, 0.2903, 0.1915)","(0.1429, 0.2903, 0.24065361410836525)","0.104","(0.1143, 0.0795, 0.0938)","(0.0417, 0.2914, 0.13259908336970755)","0.041","(0.6667, 0.1, 0.1739)","(0.0769, 1.0, 0.2940501682471704)","0.101","(0.0741, 0.3226, 0.1205)","(0.0741, 0.3226, 0.19309095315024233)","0.053","(0.1667, 0.125, 0.1429)","(0.0667, 1.0, 0.2632617619197979)","0.077","(0.0302, 0.0257, 0.0278)","(0.0125, 0.0878, 0.039822206095791)","0.008","(0.3158, 0.1875, 0.2353)","(0.1892, 0.2188, 0.21216154161541614)","0.094","(0.0814, 0.1111, 0.094)","(0.0814, 0.1111, 0.10354408060453403)","0.025","(0.4, 0.125, 0.1905)","(0.0714, 1.0, 0.2776913503422527)","0.114","(0.0909, 0.087, 0.0889)","(0.0583, 0.1522, 0.11511754021795538)","0.032","(0.05, 1.0, 0.0952)","(0.05, 1.0, 0.20833333333333334)","0.062","(0.2432, 0.3103, 0.2727)","(0.2432, 0.3103, 0.29407279245577117)","0.117"
lda_trans,"(0.1702, 0.1975, 0.1829)","(0.1038, 0.2716, 0.2052422830518346)","0.067","(0.0982, 0.1953, 0.1307)","(0.0765, 0.3077, 0.1917797783933518)","0.054","(0.0455, 0.1644, 0.0712)","(0.0396, 0.2245, 0.11609036301906503)","0.026","(0.0809, 0.3548, 0.1317)","(0.0809, 0.3548, 0.21155159198113208)","0.053","(0.1538, 0.1192, 0.1343)","(0.0674, 0.298, 0.1769309372797745)","0.075","(0.1765, 0.15, 0.1622)","(0.0769, 1.0, 0.2940501682471704)","0.113","(0.0962, 0.3226, 0.1481)","(0.0962, 0.3226, 0.21935340684195645)","0.057","(0.0667, 1.0, 0.125)","(0.0667, 1.0, 0.2632617619197979)","0.062","(0.0387, 0.0685, 0.0495)","(0.0234, 0.2248, 0.08260552763819096)","0.013","(0.3143, 0.3438, 0.3284)","(0.3143, 0.3438, 0.3374651467832605)","0.179","(0.1161, 0.2063, 0.1486)","(0.0922, 0.3175, 0.21327043566953227)","0.05","(0.3125, 0.3125, 0.3125)","(0.3125, 0.3125, 0.3125)","0.175","(0.0833, 0.087, 0.0851)","(0.0435, 0.1957, 0.11513321612117933)","0.034","(0.2222, 0.2, 0.2105)","(0.05, 1.0, 0.20833333333333334)","0.081","(0.2105, 0.1379, 0.1667)","(0.0345, 1.0, 0.15158172231985942)","0.064"
vsm_origin,"(0.4667, 0.2593, 0.3333)","(0.2414, 0.3457, 0.3182032334324716)","0.262","(0.152, 0.2249, 0.1814)","(0.0945, 0.4201, 0.24871225410349582)","0.12","(0.2853, 0.2431, 0.2625)","(0.159, 0.3356, 0.274600658707287)","0.196","(0.2308, 0.1935, 0.2105)","(0.0903, 0.4516, 0.2508580216535433)","0.119","(0.2484, 0.2517, 0.25)","(0.1755, 0.2848, 0.2532549655451966)","0.16","(0.4375, 0.35, 0.3889)","(0.2439, 0.5, 0.41322174030902686)","0.382","(0.4231, 0.3548, 0.386)","(0.4231, 0.3548, 0.3666370652598671)","0.232","(0.1818, 0.375, 0.2449)","(0.1818, 0.375, 0.30926782798040287)","0.172","(0.0737, 0.1006, 0.0851)","(0.0508, 0.1392, 0.10326168224299066)","0.029","(0.7, 0.2188, 0.3333)","(0.1685, 0.4688, 0.34561078053902694)","0.329","(0.4118, 0.2222, 0.2887)","(0.148, 0.4603, 0.3236928632519243)","0.207","(0.7692, 0.625, 0.6897)","(0.3125, 0.9375, 0.6696428571428571)","0.637","(0.3462, 0.1957, 0.25)","(0.122, 0.3261, 0.24434467510133887)","0.14","(0.5, 0.35, 0.4118)","(0.2703, 0.5, 0.427365292183152)","0.39","(0.3667, 0.3793, 0.3729)","(0.2262, 0.6552, 0.47502)","0.333"
vsm_trans,"(0.4773, 0.2593, 0.336)","(0.3571, 0.3086, 0.3172166378814047)","0.259","(0.1934, 0.2426, 0.2152)","(0.1202, 0.3491, 0.2528125075310278)","0.128","(0.4008, 0.2292, 0.2916)","(0.1582, 0.4097, 0.31086110311750603)","0.23","(0.1628, 0.2258, 0.1892)","(0.1628, 0.2258, 0.20957947548460665)","0.103","(0.3171, 0.2583, 0.2847)","(0.246, 0.3046, 0.2907480987117802)","0.186","(0.7143, 0.25, 0.3704)","(0.3103, 0.45, 0.4128281693472091)","0.36","(0.3929, 0.3548, 0.3729)","(0.3929, 0.3548, 0.3618171719269103)","0.227","(0.1494, 0.8125, 0.2524)","(0.1494, 0.8125, 0.43042160130487206)","0.16","(0.0969, 0.1156, 0.1055)","(0.0592, 0.1884, 0.13115333960489184)","0.044","(0.7143, 0.3125, 0.4348)","(0.7143, 0.3125, 0.3521133703505064)","0.361","(0.56, 0.2222, 0.3182)","(0.1985, 0.4286, 0.34793513823000166)","0.259","(0.7857, 0.6875, 0.7333)","(0.4643, 0.8125, 0.7065283552459077)","0.666","(0.2619, 0.2391, 0.25)","(0.1146, 0.3913, 0.26387536777686244)","0.135","(0.3, 0.45, 0.36)","(0.2167, 0.65, 0.4643163238396625)","0.398","(0.3415, 0.4828, 0.4)","(0.1917, 0.7931, 0.487330181421886)","0.375"
