('56', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 1.0)
('116', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.091174097847184721)
('399', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.091152504215398791)
('71', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.090557427862416273)
('27', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.090072501407529787)
('293', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.089921108207351788)
('61', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.08951992708811822)
('293', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.089279373498659637)
('117', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.089021966247251644)
('329', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.087970708626735186)
('40', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.086266448161125872)
('17', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.084742271739623468)
('293', 'a889be240af925d8131289539cfce9c63478c7f3', 0.081797892731966748)
('27', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.080846917075567307)
('117', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.080435405681344163)
('399', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.079780161972563463)
('443', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.079727078056215372)
('141', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.07674132558071553)
('293', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.074682131699433357)
('27', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.074231834317500051)
('451', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.073903111768734472)
('53', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.073747194375478956)
('293', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.071890111117559413)
('27', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.066970652416138282)
('12', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.066324306256284909)
('329', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.06513046099772099)
('293', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.064387031733164929)
('114', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.063690810583538648)
('459', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.060722953010568986)
('184', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.058045282264473565)
('399', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.055112905050837907)
('62', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.049252177894197363)
('481', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.048506858988661729)
('27', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.046770400863739674)
('127', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.04643666701581687)
('399', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.045511442644146846)
('353', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.045012237857478328)
('285', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.044117023528545199)
('117', 'a889be240af925d8131289539cfce9c63478c7f3', 0.043824085964540779)
('304', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.043512809103931425)
('217', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.039268628014371379)
('293', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.034438141984520949)
