('56', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 1.0)
('443', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('443', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('443', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('443', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0)
('443', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('443', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('443', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('443', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('443', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('429', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('429', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('429', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('429', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('429', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('429', '163db1bff3177505d4d588012644783685814cca', 0.0)
('429', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('429', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('429', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('429', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('429', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('429', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('429', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('429', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0)
('429', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('429', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('429', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('429', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0)
('429', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('429', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('429', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('429', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('429', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('429', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('429', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('429', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('429', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('429', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('429', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.0)
('429', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('429', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('429', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('429', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('429', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0)
('429', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('429', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('429', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('429', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('429', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('401', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('401', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('401', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('401', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('401', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('401', '163db1bff3177505d4d588012644783685814cca', 0.0)
('401', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('401', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('401', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('401', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('401', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('401', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('401', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('401', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0)
('401', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('401', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('401', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('401', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0)
('401', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('401', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('401', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('401', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('401', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('401', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('401', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('401', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('401', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('401', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('401', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('401', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('401', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('401', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('401', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0)
('401', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('401', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('401', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('401', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('401', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('399', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('399', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('399', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('399', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('399', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('399', '163db1bff3177505d4d588012644783685814cca', 0.0)
('399', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('399', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0)
('399', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('399', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('399', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('399', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('399', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('399', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('399', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0)
('399', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('399', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('399', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('399', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0)
('399', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('399', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('399', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('399', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('399', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('399', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('399', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('399', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('399', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('399', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('399', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('399', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('399', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('399', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('399', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('399', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('399', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('399', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('399', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('353', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('353', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('353', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('353', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('353', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('353', '163db1bff3177505d4d588012644783685814cca', 0.0)
('353', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('353', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('353', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0)
('353', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('353', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('353', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('353', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('353', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('353', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0)
('353', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('353', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('353', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('353', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.0)
('353', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0)
('353', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('353', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('353', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('353', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('353', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('353', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('353', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('353', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('353', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('353', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.0)
('353', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('353', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('353', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0)
('353', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('353', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('353', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('353', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('353', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('353', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('353', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('353', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('329', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('329', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('329', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('329', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('329', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('329', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.0)
('329', '163db1bff3177505d4d588012644783685814cca', 0.0)
('329', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('329', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('329', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0)
('329', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('329', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('329', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('329', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('329', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('329', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('329', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('329', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('329', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('329', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.0)
('329', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('329', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('329', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('329', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('329', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('329', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('329', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('329', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('329', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('329', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('329', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('329', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('329', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0)
('329', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('329', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('329', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0)
('329', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('329', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('329', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('329', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('308', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('308', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('308', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('308', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('308', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('308', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.0)
('308', '163db1bff3177505d4d588012644783685814cca', 0.0)
('308', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('308', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('308', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0)
('308', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('308', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('308', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('308', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('308', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('308', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('308', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0)
('308', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('308', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('308', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('308', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.0)
('308', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0)
('308', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('308', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('308', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('308', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('308', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('308', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('308', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('308', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('308', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('308', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('308', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('308', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('308', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0)
('308', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('308', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('308', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('308', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0)
('308', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('308', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('308', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('308', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('308', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('304', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('304', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('304', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('304', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('304', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('304', '163db1bff3177505d4d588012644783685814cca', 0.0)
('304', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('304', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('304', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0)
('304', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('304', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('304', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('304', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('304', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('304', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0)
('304', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('304', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('304', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('304', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0)
('304', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('304', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('304', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('304', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('304', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('304', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('304', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('304', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('304', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.0)
('304', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('304', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('304', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0)
('304', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('304', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('304', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('304', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('304', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('304', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('304', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('304', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('294', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('294', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('294', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('294', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('294', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('294', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.0)
('294', '163db1bff3177505d4d588012644783685814cca', 0.0)
('294', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('294', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('294', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0)
('294', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('294', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('294', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('294', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('294', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('294', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('294', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0)
('294', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('294', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('294', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.0)
('294', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0)
('294', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('294', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('294', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('294', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('294', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('294', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('294', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('294', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('294', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('294', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('294', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('294', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('294', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0)
('294', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('294', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('294', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('294', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0)
('294', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0)
('294', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('294', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('294', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('294', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('293', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('293', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('293', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('293', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('293', '163db1bff3177505d4d588012644783685814cca', 0.0)
('293', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('293', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('293', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('293', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('293', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('293', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('293', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('293', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0)
('293', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('293', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('293', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('293', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.0)
('293', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('293', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('293', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('293', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('293', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('293', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('293', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0)
('293', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0)
('293', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.0)
('293', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.0)
('293', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.0)
('293', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.0)
('293', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.0)
('293', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.0)
('285', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('285', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('285', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('285', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('285', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('285', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.0)
('285', '163db1bff3177505d4d588012644783685814cca', 0.0)
('285', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('285', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('285', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0)
('285', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
