('427', '78816cdb4e6659b48db75b6c4d1dab1d30493e23', 0.94994999952897863)
('296', '1a42377a98f4757265a0b5cee31c4e0fa20a1c03', 0.94378329134855776)
('39', '163b28e6da85f00055e0d717cfc1c23892890781', 0.77834704113419484)
('74', 'fb3822190956e942b4593063275a64a82877a8d7', 0.77341929217072947)
('135', '537be5ba7155d8e730707bbf77d80a53b33f4424', 0.74565315001067212)
('23', '1faf2371314446cdcad21127aa608d140c90c08f', 0.7213976879886298)
('74', '6d8ebeea239c129843305ee37928e93b102d588a', 0.70488563133272875)
('56', 'adccaa95b0fe2a73425fe45bc235456aea4d0f18', 0.62826311426622827)
('173', '86b26477d98923bbb525fe6a07a7da3be3081bc1', 0.58344361191257677)
('389', '02909b20c49eafdbd5f9ed24331100984e6922f9', 0.57634877899040593)
('171', 'cf49acb5c13b897babd84730969ad9661253cc52', 0.57254836754862659)
('364', '67697ce6dca1474646eeaafd0198e8c45e0b6326', 0.50587962125508956)
('56', 'b8825ddfa6cbc5d609e0d34b2731def1526af4c1', 0.50480121499720287)
('173', 'fca9a6e9a146342e4d16b09ae8f9697282e566e9', 0.48238458539008688)
('222', 'd37f4c9eb0c34591e92ec3d85c9ec9c49d7096e8', 0.45944623034386595)
('25', '08fd5157cebf147b40d39de75b33198a1e6f7132', 0.44078760057401439)
('334', 'ed16dc6212ae03dfd6ed169e2078d711f74cb2ad', 0.42488271663442218)
('212', '86b26477d98923bbb525fe6a07a7da3be3081bc1', 0.41905899378965444)
('296', '18cc2b0165026ef6bfccea842331c0e7df482f6c', 0.41228198514544334)
('62', '2526b84d97e5dfdb2302afc1e85586e921860423', 0.41185045325458469)
('136', '537be5ba7155d8e730707bbf77d80a53b33f4424', 0.41137004235401942)
('56', '3fe0a159405b0f53cfb70c25763627ee02c09862', 0.39170002418002559)
('272', 'fca047db11c6059b9c6373aad60d455f4318e694', 0.38722420556882198)
('173', '2ea00a33947084844f74eab5b1c515009347a8ca', 0.37783688000480165)
('336', 'ed16dc6212ae03dfd6ed169e2078d711f74cb2ad', 0.37015019380681896)
('68', 'c6fec020d6cac5c4a8af68a0518ee015a997ab2c', 0.36480125772565219)
('180', 'f76e9e33af81ca33e15f3d218976e1711a32d684', 0.35342014159514662)
('173', 'f76e9e33af81ca33e15f3d218976e1711a32d684', 0.35333973926159756)
('325', 'a82bcf5550ae403a01cc93f7ec063c0250c89288', 0.33096936869827442)
('171', 'acf9989f7200ecb6d3b2130224d27f8d69fb2614', 0.32407964863927358)
('272', '388854b81cdf58a11b509ba41954fbb2a75f1090', 0.32168879958423563)
('173', '8403c23125fdc6f141891b784b0183e33dca6d06', 0.31928596103164969)
('388', '02909b20c49eafdbd5f9ed24331100984e6922f9', 0.31806877310494464)
('171', '2eb0937df9fd623ad0fbec32086fcf4f5b294235', 0.3148033270774217)
('28', '3221e44304ffe1eb4728e0560b8808096a194aaf', 0.31139498832420714)
('62', '9d91350bbe9603f81c1a6d5640084d8e082734db', 0.30869183905308617)
('180', '86b26477d98923bbb525fe6a07a7da3be3081bc1', 0.30134965714051576)
('173', '74ab4946b0d7b4288c88c02315b572ec51bb3283', 0.2840232504044346)
('173', 'b839be59dad3639befeb8f9932f048cc55397893', 0.28123104335811494)
('23', '405c310907e006011b5ad65da65d058459b86f0b', 0.27901616349152164)
('37', '7b0e516a1142d763467824a3882480ac730d93fb', 0.2771159570248084)
('15', '2702059874d62336ff39fb192cfb2d59fc3ea695', 0.27315496208853279)
('135', '9237e9b32aeb04a544dd5a793a204dc6d731f074', 0.26592196268438328)
('260', 'aee4cde690a34e9e20a6df6749fb77853f1e46fe', 0.26015740304074247)
('173', '857488fffd2ffb6c2caa59c275b85069b35ed01d', 0.25260097341566151)
('438', '3c79aeab63f2bb15b184c445e26c0412c807ba9d', 0.25100866121041299)
('56', 'c6fec020d6cac5c4a8af68a0518ee015a997ab2c', 0.24619610613718668)
('15', '7b0e516a1142d763467824a3882480ac730d93fb', 0.22996219037782126)
('37', 'cc1446b8a251e4c44cc03190b5d0f13602885e47', 0.22846051361053291)
('338', 'f47596b2c273bb6f137d94ff976d243f464163ad', 0.22411613431257868)
('173', '2eb0937df9fd623ad0fbec32086fcf4f5b294235', 0.21989869863323661)
('112', 'c6fec020d6cac5c4a8af68a0518ee015a997ab2c', 0.21967782920627202)
('51', 'd9ed410da63b9663d1ecc5da2bd451dcc879e1d6', 0.21320766840464606)
('171', 'fca047db11c6059b9c6373aad60d455f4318e694', 0.20922938017112197)
('60', 'c6fec020d6cac5c4a8af68a0518ee015a997ab2c', 0.2083436515685691)
('196', 'd37f4c9eb0c34591e92ec3d85c9ec9c49d7096e8', 0.20369498447644374)
('15', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.20252612377036622)
('67', 'c6fec020d6cac5c4a8af68a0518ee015a997ab2c', 0.19661234679179518)
('325', 'f47596b2c273bb6f137d94ff976d243f464163ad', 0.19577133427352822)
('112', '18cc2b0165026ef6bfccea842331c0e7df482f6c', 0.19237641133910421)
('222', 'cad02446bb16d2b82124040a2dd88abb29eb3bc5', 0.19076519599888841)
