,arthas,,,canal,,,druid,,,nacos,,,rax,,,san,,,EasyReact,,,Emmagee,,,bk-cmdb,,,ncnn,,,QMUI_Android,,,QMUI_iOS,,,weui,,,xLua,,,pegasus,,
,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP
lsi_origin,"(0.1258, 0.2469, 0.1667)","(0.0914, 0.4444, 0.25072938271604933)","0.132","(0.1358, 0.1302, 0.1329)","(0.0711, 0.1834, 0.13937302265925608)","0.065","(0.1324, 0.0417, 0.0634)","(0.0234, 0.1644, 0.07455348837209302)","0.02","(0.1228, 0.2258, 0.1591)","(0.1228, 0.2258, 0.19336290097629005)","0.07","(0.1413, 0.0861, 0.107)","(0.0527, 0.2649, 0.14673355055707377)","0.048","(0.1765, 0.45, 0.2535)","(0.1359, 0.7, 0.382478288838855)","0.221","(0.0494, 0.6452, 0.0917)","(0.0494, 0.6452, 0.1890892263882297)","0.043","(0.2353, 0.25, 0.2424)","(0.0741, 0.75, 0.2655533256880734)","0.133","(0.015, 0.1156, 0.0266)","(0.0137, 0.2013, 0.0538424443576728)","0.01","(0.4375, 0.2188, 0.2917)","(0.4375, 0.2188, 0.24310493701747257)","0.194","(0.25, 0.1587, 0.1942)","(0.0681, 0.4603, 0.2139103998908148)","0.103","(0.3478, 0.5, 0.4103)","(0.275, 0.6875, 0.5288461538461539)","0.308","(0.1068, 0.2391, 0.1477)","(0.1068, 0.2391, 0.19162449347140928)","0.078","(0.3333, 0.25, 0.2857)","(0.1613, 0.5, 0.35212190010478517)","0.223","(0.1765, 0.5172, 0.2632)","(0.1488, 0.6207, 0.3798016284233901)","0.2",0.18907333333333332,0.24034167622050792,0.12320000000000002
lsi_trans,"(0.1418, 0.2346, 0.1767)","(0.0892, 0.4815, 0.2561720147918406)","0.127","(0.1316, 0.1479, 0.1393)","(0.0685, 0.2308, 0.1565946909667195)","0.064","(0.0552, 0.0579, 0.0565)","(0.019, 0.2083, 0.06960429124164615)","0.018","(0.0938, 0.1935, 0.1263)","(0.045, 0.7742, 0.18255606791029133)","0.061","(0.1596, 0.0993, 0.1224)","(0.055, 0.3046, 0.1596740373617995)","0.061","(0.2778, 0.25, 0.2632)","(0.1609, 0.7, 0.4191351592735933)","0.27","(0.0538, 0.5484, 0.098)","(0.0538, 0.5484, 0.1931896280775275)","0.044","(0.2667, 0.25, 0.2581)","(0.1613, 0.625, 0.3968371122657849)","0.174","(0.0223, 0.0664, 0.0334)","(0.0168, 0.1242, 0.0545078369905956)","0.011","(0.3684, 0.2188, 0.2745)","(0.1887, 0.3125, 0.2762519910053406)","0.206","(0.2973, 0.1746, 0.22)","(0.1636, 0.2857, 0.24859334113392192)","0.127","(0.4286, 0.5625, 0.4865)","(0.2917, 0.875, 0.6250306102458614)","0.422","(0.1064, 0.2174, 0.1429)","(0.0569, 0.5, 0.1955057724024189)","0.099","(0.2059, 0.35, 0.2593)","(0.122, 0.75, 0.3695476575121163)","0.21","(0.197, 0.4483, 0.2737)","(0.156, 0.5862, 0.3778185423896877)","0.257",0.19538666666666668,0.265401250237943,0.1434
