('295', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.7935262320114557)
('295', '30919083e84756b64c9520329369896987972855', 0.7935158694654278)
('295', 'c348398d45788564a63221179fc6c60f5af23583', 0.793494012438399)
('295', '8074576b98adb5618832c8b5b209d95589acd32d', 0.793476710202753)
('295', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.7934757373495606)
('295', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.7934548113058456)
('295', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.7934542570860172)
('295', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.7934454934976068)
('295', 'd3751a99af4faef49632b6c88874b96682faa630', 0.793438292032497)
('295', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.7903198421350744)
('140', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.7839928388543145)
('295', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.7794452249852001)
('293', '0667224647701d1b0562b3e872f43ef520a33599', 0.7788784812360198)
('145', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.778634993872034)
('115', '0667224647701d1b0562b3e872f43ef520a33599', 0.7716429319046234)
('247', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.7712930408420233)
('2', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.770156317095806)
('244', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.7599484014528599)
('295', '0667224647701d1b0562b3e872f43ef520a33599', 0.7565378082317116)
('299', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.7554855654567598)
('304', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.7514967110850647)
('140', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.7512548014992119)
('283', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.7263243039190913)
('283', 'c348398d45788564a63221179fc6c60f5af23583', 0.7262681460066835)
('283', '8074576b98adb5618832c8b5b209d95589acd32d', 0.7262671254771315)
('283', 'd3751a99af4faef49632b6c88874b96682faa630', 0.7262544513043041)
('283', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.7262480201682748)
('283', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.7262318663017708)
('283', '30919083e84756b64c9520329369896987972855', 0.7260941745476227)
('283', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.7260169776945893)
('283', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.7258899238005445)
('283', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.7234161926537359)
('118', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.7169552387216216)
('304', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.7080482415767447)
('293', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.7071442545974398)
('183', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.6985981271970718)
('283', '0667224647701d1b0562b3e872f43ef520a33599', 0.6947948248954976)
('118', '8074576b98adb5618832c8b5b209d95589acd32d', 0.6910154375357845)
('118', '30919083e84756b64c9520329369896987972855', 0.6909447822011269)
('118', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.6909406805309841)
('118', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.6908280167033571)
('118', 'd3751a99af4faef49632b6c88874b96682faa630', 0.6907937245163467)
('118', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.6906757213564865)
('118', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.6905044533269413)
('118', 'c348398d45788564a63221179fc6c60f5af23583', 0.6897665724058653)
('118', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.6895793475624472)
('85', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.6879326729317607)
('118', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.6878711143068921)
('283', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.6857541605612126)
('54', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.6853897469588884)
('244', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.6743589868732707)
('118', '0667224647701d1b0562b3e872f43ef520a33599', 0.6633881272580143)
('118', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.6519286291747498)
('304', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.6486155991304361)
('128', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.6455666276667006)
('124', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.6449764203655828)
('140', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.6393584847096178)
('140', '30919083e84756b64c9520329369896987972855', 0.6393553016388652)
('140', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.6393418683558852)
('140', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.639336012284986)
('140', '8074576b98adb5618832c8b5b209d95589acd32d', 0.639310868821603)
('140', 'c348398d45788564a63221179fc6c60f5af23583', 0.6392930727644381)
('140', 'd3751a99af4faef49632b6c88874b96682faa630', 0.6392776780251138)
('140', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.6392488255833373)
('140', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.6391972923023929)
('140', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.6382552301473544)
('140', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.6365519061411351)
('85', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.6351568092416325)
('283', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.6262563985973116)
('140', '0667224647701d1b0562b3e872f43ef520a33599', 0.6171367393422719)
('124', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.6149583649118443)
('244', '8b6c07be42916aeef3aad39f11df49b18f3498ef', 0.6124829837884425)
('244', '031f2f1a166b0ba9dfb44c37dbb9c238b8dd0d08', 0.6124474272324677)
('244', '01918ec9e536698eeb83709a0f4de34f572f7473', 0.6123992710973265)
('299', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.6006561386318057)
('295', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.5886521633439327)
('54', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.586735637722783)
('178', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.5742357072199057)
('293', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.5714909298874452)
('178', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.5704802062513017)
('304', '30919083e84756b64c9520329369896987972855', 0.5616548891644425)
('304', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.5616436364976001)
('304', 'd3751a99af4faef49632b6c88874b96682faa630', 0.5616124599622415)
('304', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.5615961715342577)
('304', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.5615745059551843)
('304', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.5615065848177899)
('304', '8074576b98adb5618832c8b5b209d95589acd32d', 0.561505018596084)
('304', 'c348398d45788564a63221179fc6c60f5af23583', 0.5614889623536751)
('304', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.5614231200263841)
('304', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.5593089478671811)
('304', '0667224647701d1b0562b3e872f43ef520a33599', 0.5474689728041339)
('256', 'f462f467062e7df2344f661701567b67c4e4dfb4', 0.5431845997254228)
('244', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.5361493928734115)
