('919', '62b1c1ea93f0aac0069c94fa2ff8973b5574d5d9', 1.0)
('727', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 1.0)
('112', 'c60b04424b0a357c69ced2e68a847e16ca87a002', 0.99591357934759883)
('912', 'e450c3f83fb6dabba3197214dc32ea29c7809f23', 0.99356021229142233)
('2', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.99235330179517722)
('802', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.99011344011257341)
('360', 'cd87ef00cce4b58ff8080bd388dcc454a158f7fb', 0.98466935806731148)
('360', 'fddaff1bd9b23022cb36b7fa4e8c273901e735f1', 0.98418199764202263)
('360', '7cf9375ac6e8229600e5d918b230f56be038b314', 0.98335036854671298)
('360', '867d6607d4dd0ddadd5332448870b4be40c2adb0', 0.98211062065659693)
('360', '92c1a517263dd1567c9a505c4aca2afb78db7d3a', 0.98171285345285442)
('762', '62b1c1ea93f0aac0069c94fa2ff8973b5574d5d9', 0.98149123823174744)
('360', '6b7109c66b19f5bf97ad7473e0131c50ea8924f7', 0.97947869318153125)
('112', '764e1b6dc012ac6ce10b17e18ce9fcf95c400d9c', 0.97835958436011317)
('360', '4d4d97419cab54f28e30e01c65e1d72d2512ca82', 0.97615483493443)
('727', '741f6310b34db4e9a9b15d498e0d7e4b8afb4b5a', 0.97489510329109064)
('14', 'dca1b2004321c824b33a3eaf27d0d926d35e72df', 0.96682305517715506)
('727', 'fa8ffb8e66176e52464cd04156cd565a5e37f2d1', 0.96632589176665562)
('14', '7fd958a490d9a5bb1d42d43c84ddbc5e6bf4d6d4', 0.96587530674452271)
('726', '10930b9e3d7a006f4c1c0eba42dfa6bfddc0a468', 0.96384912143400625)
('726', '377a72e1c0373f5377f48e68307baee0c5bde37a', 0.96349267386726078)
('623', '62b1c1ea93f0aac0069c94fa2ff8973b5574d5d9', 0.9561220757562835)
('726', 'ca350a79bd800889226f129bb7765fbedde4cc5f', 0.95556642630112587)
('807', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.95426378560987746)
('360', 'b19eaeb89a90b980e550e98b38e89efdd5ead222', 0.9507409666820813)
('171', 'b1431f8827712d9e3feb6c9b310c53947bd9c6d6', 0.93976541506924516)
('709', 'dca1b2004321c824b33a3eaf27d0d926d35e72df', 0.93793019038239145)
('138', 'dca1b2004321c824b33a3eaf27d0d926d35e72df', 0.93789728234511116)
('1037', '5aed505429694130a76115b7a4219b1a36f53346', 0.9369574128678233)
('709', '7fd958a490d9a5bb1d42d43c84ddbc5e6bf4d6d4', 0.93695190043401611)
('138', '7fd958a490d9a5bb1d42d43c84ddbc5e6bf4d6d4', 0.93694819429000364)
('3', '5aed505429694130a76115b7a4219b1a36f53346', 0.93691292264898018)
('455', 'c6f4de9f88877c4c4625d3ab809d47092a4e75ea', 0.9267800628484324)
('11', 'fbd99acac21b90d34d6aa949ff1f3624d8ee1acc', 0.92638914065461264)
('259', 'fbd99acac21b90d34d6aa949ff1f3624d8ee1acc', 0.92637631153510458)
('1076', 'fbd99acac21b90d34d6aa949ff1f3624d8ee1acc', 0.92630506017843717)
('360', '788c1d9b84e470d28eaf1198ad0a5d7f18da287b', 0.9238686318489393)
('1059', 'b1431f8827712d9e3feb6c9b310c53947bd9c6d6', 0.92097171449075166)
('144', 'fbd99acac21b90d34d6aa949ff1f3624d8ee1acc', 0.91620068985417713)
('14', '8446e177030a53997cc7b1f83d5c3580f4dc4ee9', 0.90964261081196585)
('695', 'dca1b2004321c824b33a3eaf27d0d926d35e72df', 0.90935502736659224)
('145', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.90910249834346346)
('695', '7fd958a490d9a5bb1d42d43c84ddbc5e6bf4d6d4', 0.9079358635457031)
('849', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.90028943225499991)
('171', '5f47809c8ea82af3eae651310dc1286fd1e0720d', 0.89586638407138408)
('973', 'b9e3629459beb8c976cf2e3fb74decb356f8c169', 0.89519182839122369)
('768', '62b1c1ea93f0aac0069c94fa2ff8973b5574d5d9', 0.89441576227771558)
('173', '62b1c1ea93f0aac0069c94fa2ff8973b5574d5d9', 0.89395056098092862)
('138', '8446e177030a53997cc7b1f83d5c3580f4dc4ee9', 0.88247961650105677)
('709', '8446e177030a53997cc7b1f83d5c3580f4dc4ee9', 0.88243871526817863)
('1059', '5f47809c8ea82af3eae651310dc1286fd1e0720d', 0.87794819405636881)
('849', '741f6310b34db4e9a9b15d498e0d7e4b8afb4b5a', 0.87775133437105246)
('849', 'fa8ffb8e66176e52464cd04156cd565a5e37f2d1', 0.87000327511448805)
('208', 'fbd99acac21b90d34d6aa949ff1f3624d8ee1acc', 0.86881860704496316)
('522', 'f822761ab27bc5ee262ca8b80cd2e0dcb283624a', 0.86396278620306455)
('15', 'a332f23b118df9fae99b538ca57410a404218f26', 0.86124354310108175)
('13', '6a03ffaf7b44e79c56dff379a3efb99c91d34709', 0.86067951660694231)
('13', '4f1e3bafe734cba3b27183fb4853686719c2e641', 0.86067907290051349)
('695', '8446e177030a53997cc7b1f83d5c3580f4dc4ee9', 0.85655133581134524)
('15', 'c86fba6092979c4d42734903829843c3d62342ae', 0.8526892215417875)
('135', '7efd067bd52b8f3d01e6f17fb20b16a0d297b6bf', 0.84582902032661544)
('15', '402245dbbf59e57148e485fcc81500db6f6d6ae6', 0.84504613328796574)
('828', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.83923267561834114)
('942', '88bf2ae64dd588251bc6200fd10a45828623142a', 0.83858756736803319)
('942', '5394613ba667f9747673cb8921fc50acedc9d8b5', 0.8385424167000689)
('942', 'b026c44ea87fd2a392bf3abe59733c9037132910', 0.83839968422063782)
