('514', '6940c61c6bf5bbee42c7120917689028d20d493c', 0.9533057942108625)
('559', '1fb9d88b51522797e845afea8c69066767ae1436', 0.6483954516993309)
('598', 'e0cf9190d7c05e1d5e0cb2d9375dea0995984101', 0.6341049659392914)
('559', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.6302521776786348)
('126', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.5172952390336567)
('78', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.46258191912697794)
('149', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.36333125822734547)
('345', '31dfef55fe9538c02ea5d5c42e9b3160cbb51443', 0.2865558334931765)
('26', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.2598623411707034)
('598', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.25070464063506365)
('26', '1fb9d88b51522797e845afea8c69066767ae1436', 0.24267584633249376)
('330', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.1876749250585236)
('598', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.1550116296481134)
('333', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.1438803141987021)
('559', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.14193631779029886)
('9', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.11176712991626193)
('614', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.10828834801003674)
('301', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 0.10264926247569599)
('301', '719070cb5e16fc6667d514cf5e88117b16395755', 0.1000119904177103)
('481', '5d34d1c03e527547cf47ccff2eb5f359cdb8f49a', 0.09731464255212581)
('405', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.09603856194767298)
('26', 'bd13b29c6f160e14d67b9668d31f5c81fdf068c8', 0.09433922298976997)
('172', '15873145252823f57110c8ef0b8bf8964902a098', 0.09292626564215908)
('60', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.0754834392491458)
('26', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.06696914467362802)
('9', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.0662709626424879)
('9', '019f986cc374ef228070f4aeba252f5071362488', 0.06393466840236843)
('301', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.06336183475686616)
('598', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.0633400040155624)
('26', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.05703973084722956)
('598', '019f986cc374ef228070f4aeba252f5071362488', 0.054190105165213935)
('9', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.05398970351831501)
('99', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.053789397728950715)
('579', '7daa15757ff7119e82506e6e980856859035a8ad', 0.0494308410943058)
('24', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.04860055179268798)
('24', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.04860055179268798)
('24', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.04478275961838673)
('26', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.04250331139407309)
('598', '5d34d1c03e527547cf47ccff2eb5f359cdb8f49a', 0.03879372721097314)
