commit_id,class_id,method,score
79cad8273688daca15d78e266491602a1b3b234b,sourceCode/maven-project/src/main/java/org/apache/maven/project/artifact/AttachedArtifact.java,default,1
805a5952eb6390bd81640d7ec352890596aa70c5,sourceCode/maven-core/src/main/java/org/apache/maven/lifecycle/DefaultLifecycleExecutor.java,default,1
805a5952eb6390bd81640d7ec352890596aa70c5,sourceCode/maven-project/src/main/java/org/apache/maven/project/MavenProject.java,default,1
01e24b5473bbb733f7f64de1b5a0e64ea71b2768,sourceCode/maven-core/src/main/java/org/apache/maven/usability/ProfileActivationDiagnoser.java,default,1
c66610a6e4ff95a54149ce508b31971f7549be5b,sourceCode/maven-core/src/main/java/org/apache/maven/monitor/logging/DefaultLog.java,default,1
c66610a6e4ff95a54149ce508b31971f7549be5b,sourceCode/maven-project/src/main/java/org/apache/maven/project/DefaultMavenProjectBuilder.java,default,1
76f82eefc960d0638f608bdc6b2b8a458e6b833c,sourceCode/maven-core/src/main/java/org/apache/maven/lifecycle/DefaultLifecycleExecutor.java,default,1
76f82eefc960d0638f608bdc6b2b8a458e6b833c,sourceCode/maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginManager.java,default,1
76f82eefc960d0638f608bdc6b2b8a458e6b833c,sourceCode/maven-core/src/main/java/org/apache/maven/plugin/PluginManager.java,default,1
575f0e8c1b9840e4699eefdcee76d128f29f6feb,sourceCode/maven-core/src/main/java/org/apache/maven/DefaultMaven.java,default,1
575f0e8c1b9840e4699eefdcee76d128f29f6feb,sourceCode/maven-core/src/main/java/org/apache/maven/execution/MavenExecutionResponse.java,default,1
575f0e8c1b9840e4699eefdcee76d128f29f6feb,sourceCode/maven-core/src/main/java/org/apache/maven/lifecycle/DefaultLifecycleExecutor.java,default,1
37f2a94bf2253bdb05f2fb7a9b83dadc2621dd81,sourceCode/maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginManager.java,default,1
37f2a94bf2253bdb05f2fb7a9b83dadc2621dd81,sourceCode/maven-project/src/main/java/org/apache/maven/project/artifact/ActiveProjectArtifact.java,default,1
581b2ce87169a850412364273703ea997b9587b8,sourceCode/maven-project/src/main/java/org/apache/maven/project/inheritance/DefaultModelInheritanceAssembler.java,default,1
24a5bf45258396c78d3f639ee6d56727fe24032e,sourceCode/maven-project/src/main/java/org/apache/maven/project/inheritance/DefaultModelInheritanceAssembler.java,default,1
e4a3f7dd232164bb0b1e06347f6471bc7dd720d0,sourceCode/maven-artifact-manager/src/main/java/org/apache/maven/artifact/repository/metadata/DefaultRepositoryMetadataManager.java,default,1
70ab341c649274950da47532b245ff1b24aeacda,sourceCode/maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginManager.java,default,1
70ab341c649274950da47532b245ff1b24aeacda,sourceCode/maven-core/src/main/java/org/apache/maven/plugin/version/DefaultPluginVersionManager.java,default,1
70ab341c649274950da47532b245ff1b24aeacda,sourceCode/maven-plugins/maven-project-info-reports-plugin/src/main/java/org/apache/maven/report/projectinfo/DependenciesReport.java,default,1
70ab341c649274950da47532b245ff1b24aeacda,sourceCode/maven-project/src/main/java/org/apache/maven/project/DefaultMavenProjectBuilder.java,default,1
70ab341c649274950da47532b245ff1b24aeacda,sourceCode/maven-project/src/main/java/org/apache/maven/project/MavenProjectBuilder.java,default,1
70ab341c649274950da47532b245ff1b24aeacda,sourceCode/maven-project/src/main/java/org/apache/maven/project/artifact/MavenMetadataSource.java,default,1
1d42338bb7495912121556b0fdb06b04f1d38082,sourceCode/maven-artifact-manager/src/main/java/org/apache/maven/artifact/manager/DefaultWagonManager.java,default,1
1d42338bb7495912121556b0fdb06b04f1d38082,sourceCode/maven-artifact-manager/src/main/java/org/apache/maven/artifact/repository/DefaultArtifactRepository.java,default,1
1d42338bb7495912121556b0fdb06b04f1d38082,sourceCode/maven-artifact-manager/src/main/java/org/apache/maven/artifact/repository/DefaultArtifactRepositoryFactory.java,default,1
1d42338bb7495912121556b0fdb06b04f1d38082,sourceCode/maven-artifact-manager/src/main/java/org/apache/maven/artifact/repository/metadata/DefaultRepositoryMetadataManager.java,default,1
1d42338bb7495912121556b0fdb06b04f1d38082,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/repository/ArtifactRepository.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-archetype/maven-archetype-core/src/main/java/org/apache/maven/archetype/DefaultArchetype.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-artifact-ant/src/main/java/org/apache/maven/artifact/ant/DependenciesTask.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-artifact-ant/src/main/java/org/apache/maven/artifact/ant/InstallWagonProviderTask.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-artifact-manager/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactResolver.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/Artifact.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/DefaultArtifact.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/AbstractArtifactResolutionException.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/ArtifactNotFoundException.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/ArtifactResolutionException.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/ArtifactResolver.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactCollector.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/ResolutionNode.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/TransitiveArtifactResolutionException.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/OverConstrainedVersionException.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-artifact/src/main/java/org/apache/maven/artifact/versioning/VersionRange.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-core/src/main/java/org/apache/maven/DefaultMaven.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-core/src/main/java/org/apache/maven/extension/DefaultExtensionManager.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-core/src/main/java/org/apache/maven/extension/ExtensionManager.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-core/src/main/java/org/apache/maven/lifecycle/DefaultLifecycleExecutor.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-core/src/main/java/org/apache/maven/plugin/DefaultPluginManager.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-core/src/main/java/org/apache/maven/plugin/PluginManager.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-core/src/main/java/org/apache/maven/plugin/PluginNotFoundException.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-core/src/main/java/org/apache/maven/usability/ArtifactResolverDiagnoser.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-plugins/maven-eclipse-plugin/src/main/java/org/apache/maven/plugin/eclipse/EclipseClasspathWriter.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-project/src/main/java/org/apache/maven/project/DefaultMavenProjectBuilder.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-project/src/main/java/org/apache/maven/project/MavenProjectBuilder.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-project/src/main/java/org/apache/maven/project/artifact/ActiveProjectArtifact.java,default,1
245d512c4ac4ec254def8a4f983ac322322e25a7,sourceCode/maven-project/src/main/java/org/apache/maven/project/artifact/AttachedArtifact.java,default,1
