issue_id1,issue_id2,method,score
MNG-4318,MNG-5014,default,1
MNG-1937,MNG-1457,default,1
MNG-1937,MNG-1665,default,1
MNG-1927,MNG-3355,default,1
MNG-1927,MNG-3475,default,1
MNG-1908,MNG-2780,default,1
MNG-1908,MNG-2790,default,1
MNG-3741,MNG-3475,default,1
MNG-3379,MNG-4179,default,1
MNG-3379,MNG-4432,default,1
MNG-3379,MNG-4025,default,1
MNG-1703,MNG-2174,default,1
MNG-4361,MNG-4433,default,1
MNG-4361,MNG-4482,default,1
MNG-4361,MNG-4679,default,1
MNG-1656,MNG-1417,default,1
MNG-1630,MNG-4600,default,1
MNG-6189,MNG-4162,default,1
MNG-4332,MNG-4345,default,1
MNG-4236,MNG-4235,default,1
MNG-5878,MNG-5871,default,1
MNG-5727,MNG-5680,default,1
MNG-4789,MNG-4800,default,1
MNG-4785,MNG-4866,default,1
MNG-732,MNG-2591,default,1
MNG-3424,MNG-3805,default,1
MNG-3421,MNG-4343,default,1
MNG-6229,MNG-947,default,1
MNG-6229,MNG-947,default,1
MNG-6228,MNG-5935,default,1
MNG-6228,MNG-6229,default,1
MNG-3748,MNG-4390,default,1
MNG-4396,MNG-4786,default,1
MNG-4393,MNG-4488,default,1
MNG-4393,MNG-4403,default,1
MNG-4418,MNG-4891,default,1
MNG-4418,MNG-4658,default,1
MNG-4415,MNG-4416,default,1
MNG-4413,MNG-4489,default,1
MNG-4412,MNG-4679,default,1
MNG-4411,MNG-3368,default,1
MNG-549,MNG-548,default,1
MNG-548,MNG-95,default,1
MNG-527,MNG-524,default,1
MNG-4005,MNG-4193,default,1
MNG-4003,MNG-4005,default,1
MNG-5958,MNG-5805,default,1
MNG-3254,MNG-3846,default,1
MNG-3254,MNG-4507,default,1
MNG-3286,MNG-4129,default,1
MNG-3284,MNG-4580,default,1
MNG-4041,MNG-4194,default,1
MNG-4041,MNG-4215,default,1
MNG-3545,MNG-3571,default,1
MNG-3536,MNG-3535,default,1
MNG-3536,MNG-2562,default,1
MNG-3535,MNG-3746,default,1
MNG-3535,MNG-2562,default,1
MNG-2828,MNG-2252,default,1
MNG-2823,MNG-2648,default,1
MNG-2820,MNG-3057,default,1
MNG-4840,MNG-5297,default,1
MNG-3220,MNG-3391,default,1
MNG-6006,MNG-6007,default,1
MNG-6006,MNG-6008,default,1
MNG-6006,MNG-6040,default,1
MNG-2539,MNG-4191,default,1
MNG-797,MNG-1349,default,1
MNG-767,MNG-768,default,1
MNG-3602,MNG-3402,default,1
MNG-3602,MNG-4046,default,1
MNG-3600,MNG-3622,default,1
MNG-3599,MNG-3622,default,1
MNG-404,MNG-4840,default,1
MNG-6040,MNG-6007,default,1
MNG-2963,MNG-2408,default,1
MNG-614,MNG-613,default,1
MNG-598,MNG-576,default,1
MNG-598,MNG-226,default,1
MNG-2741,MNG-3477,default,1
MNG-5559,MNG-5467,default,1
MNG-5559,MNG-5724,default,1
MNG-5568,MNG-3010,default,1
MNG-4561,MNG-4489,default,1
MNG-5314,MNG-5312,default,1
MNG-5313,MNG-5312,default,1
MNG-5312,MNG-6030,default,1
MNG-5576,MNG-6076,default,1
MNG-3141,MNG-2687,default,1
MNG-3139,MNG-4465,default,1
MNG-3134,MNG-5000,default,1
MNG-3134,MNG-3848,default,1
MNG-421,MNG-3948,default,1
MNG-421,MNG-331,default,1
MNG-2938,MNG-3179,default,1
MNG-2932,MNG-2254,default,1
MNG-2926,MNG-980,default,1
MNG-2926,MNG-2432,default,1
MNG-2923,MNG-2861,default,1
MNG-2020,MNG-1686,default,1
MNG-2006,MNG-3134,default,1
MNG-2006,MNG-3848,default,1
MNG-1999,MNG-3271,default,1
MNG-1999,MNG-3898,default,1
MNG-5670,MNG-6105,default,1
MNG-5176,MNG-5648,default,1
MNG-5175,MNG-5509,default,1
