('155', '3a47695428d0463a93124e45c390a708b68b6023', 0.9335445267871767)
('450', '8b865de0444b8e31ef3d982819f205a20521f4b9', 0.8272344794623085)
('557', 'e52465b902f7a49691855df6afbcb0489ba5609b', 0.7850383482177945)
('554', '1048f5df145da9ee46c568efc8e59ec57cba9905', 0.7627994255359803)
('806', '00bffd54bce6c706e0a976c70e4fc0a7d4d5291b', 0.75984489256483)
('27', '3533fc7b1a9344b5e0ac59281bf0b14e6131cca1', 0.7530880438180316)
('806', '258c36ae087c1615485201c98ef760f881be1b05', 0.7155408629772638)
('463', 'c65dbaabb1c891605279553839cad59b80688dd9', 0.6995636197129266)
('783', 'c65dbaabb1c891605279553839cad59b80688dd9', 0.689858019608914)
('291', 'a73f47a1cbd3a2e072c46f283ca08f3c4c54fdf0', 0.6646317253987594)
('431', 'ed5a99a85f04ef934a4bae3af88807ea4002ca48', 0.6624637515159592)
('25', 'c72700c506d72a595a95091ca4d47c485ee883bb', 0.6314933961539453)
('25', '9f831b7c7c254d395ea71c00318811cb82ffa468', 0.6304689422406538)
('450', '2dd75fbec40e062c2f242c232a17cb30d5253a4c', 0.6244796189362527)
('246', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.6226969626844113)
('463', 'f6cb0e014d5eab9e48d4b589ee6c56d34bfbe764', 0.6097824250206031)
('27', '2f6069b1e962f26bacf3e16f2cf66815f256451c', 0.6013530315119388)
('463', 'd80c957284a4c2930240cfecc13f2619781d4d07', 0.5908800463397323)
('783', 'a344ff0e1c29b1710034cf7a6a1d41450be775ee', 0.5873561502766369)
('38', '571b8de867ba2273755297f25e5b5480ce9f6ca6', 0.5819212827594973)
('783', 'd1932884ee19a5ec819788e5f33b4c5f38b0dd37', 0.5811791407975246)
('639', '25b898397b3f59b2b6f72c1e4c46e81a4024ab3d', 0.5477523679601688)
('717', '8fdf1f918e8e89d91fd1f372e00b055336875b7b', 0.5476049179913752)
('450', '564360fb6cf2fa91298ea4abb6ad362b2891ecca', 0.5412084254577714)
('757', 'cf1ede6a7257428f41712c23b8d913ad6914b21d', 0.539619349365544)
('180', '1fd50e66ed3388fb44151983760bc146af993824', 0.5253879453984822)
('99', 'bef7cb7832393719e171427be9fa11f2c5ceae8d', 0.52231782652892)
('665', '849e40a0fe9a9c4aed29a44275a988b4015c87da', 0.5115569754267337)
('62', 'ab74db9a1c27fe29de9c05280d27979af605c29a', 0.50459178562468)
('27', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.5024952764680144)
('450', '0c930de8a92e0f740d05d44f54e065c4e35a4b4a', 0.5006406617243491)
('782', '131968c2794cc103e7fac24ffd0a82cbddd54641', 0.5002201720484101)
('463', 'a344ff0e1c29b1710034cf7a6a1d41450be775ee', 0.4895187221544869)
('25', '2f6069b1e962f26bacf3e16f2cf66815f256451c', 0.4864315294719841)
('614', 'a08919701c38822587529e443e7b7418d3bc0ecc', 0.47905331616364144)
('450', 'b69b8d67e09d22470cf8fdba898e8e6aaf628d0c', 0.4784054190686748)
('123', 'bee33763a4fb206654c549dc186f76eaf7cd275a', 0.47821250288568684)
('783', '8fdf1f918e8e89d91fd1f372e00b055336875b7b', 0.47165340168036407)
('27', 'f4563e07cfa9396658791af9e087f31c5ec0fe38', 0.47047350660456744)
('714', 'f6cb0e014d5eab9e48d4b589ee6c56d34bfbe764', 0.4638998443223472)
('723', 'cd76f2a01a3c9a8b2c3eed5babddf5d014ec202c', 0.4571780612366971)
('783', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.4541315054246262)
('450', '6c8dc0e4fe5b93ba777b1decb5096a4e7639c3ea', 0.4468670491584595)
('783', '2735cf79fbac8b7f09f0e969f095e2479f8be01a', 0.44657877452605843)
('47', '2d32471d8e2d70609e83679771f9cb996085bf7d', 0.4456193060950009)
('305', '13758588b1f7b23ccb72fe7d241d5036c5ee2e13', 0.44249074082960715)
('564', 'd9bb27b112778e2cfefa234a529ef0bfec055501', 0.44146799386957053)
('603', 'a86f52c54d079b97685148fc215993fdd6e1d956', 0.4407103644863004)
('27', 'c72700c506d72a595a95091ca4d47c485ee883bb', 0.43965415853032674)
('510', '6bad467bba438c025bca17a74fe9e9ec6fcdac94', 0.43740146698797394)
('783', 'd80c957284a4c2930240cfecc13f2619781d4d07', 0.4357597645154788)
('450', 'f6d48d4b844a088cad18ec2942549d4fbf4c5b7a', 0.43195681102046063)
('25', '3533fc7b1a9344b5e0ac59281bf0b14e6131cca1', 0.43194164285952413)
('25', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.4313067292783473)
('291', '2f6069b1e962f26bacf3e16f2cf66815f256451c', 0.4302067001507201)
('783', '6a0ef2128fb6115c1fa6942d5cd4626892b62dbe', 0.43015064736794273)
('557', '4a46696c6a2657f1ee6b12a31c6e8682c971d074', 0.429509566896305)
('782', 'a86f52c54d079b97685148fc215993fdd6e1d956', 0.4293291257315441)
('463', '89572d0096ad852c6196f04521fcf14d0ba93a20', 0.4291858379305171)
('495', '12e08eed8d303e90e9302c4ea56c7d00e13aa128', 0.4219150767415622)
('782', 'd23ac3731959ae84adb2333733abaef4f23a0312', 0.4214106492276637)
('28', '9a47f81a1c8e450580b30e7e50e9006172dabbb8', 0.415573641343813)
('450', 'ab5668c49ecee661c2bb7612209e7bcbe32c4acb', 0.4152000688744123)
('797', 'd8dce0e330b3d0456eee27d5a99eb921b4f189a1', 0.41477279754871343)
('219', '2d6c4cf83200dbf6e6fdd004acb4f14831023fac', 0.4144090106327674)
('450', 'a344ff0e1c29b1710034cf7a6a1d41450be775ee', 0.41286801243789456)
('664', '2dd75fbec40e062c2f242c232a17cb30d5253a4c', 0.4118998202184497)
('783', '3a174c64ee64d397f3f2355a486b49e7cf3358c1', 0.41188773442594745)
('450', '6a0ef2128fb6115c1fa6942d5cd4626892b62dbe', 0.41071952570445447)
