('301', 'd8b504d58484382a9a803afe8f4b1dcd66d16103', 0.008788470930267559)
('598', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.00863934414706285)
('26', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.008310222739192243)
('26', '967686b2f2d3e2ed770929c3909a33991220d56a', 0.008273899194020017)
('401', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.008249740196340366)
('301', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 0.008182955759354286)
('405', 'd8b504d58484382a9a803afe8f4b1dcd66d16103', 0.00767264118386036)
('9', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.007500183988747166)
('301', '719070cb5e16fc6667d514cf5e88117b16395755', 0.007476477156198473)
('598', 'bdebbc3a3b2915ebd65308567e987ca6d84b73e5', 0.007296646169396488)
('1', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.007176647925034373)
('1', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.007176647925034373)
('4', '1fb9d88b51522797e845afea8c69066767ae1436', 0.007067564040907037)
('82', 'f89aab14fa21c019295b4cc667399c1049f421b6', 0.007015261173482242)
('598', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.006793678808255093)
('1', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.006680859089783635)
('134', 'e08b9f6f701551c34bd6f2931674cd470e7b2092', 0.006644909834316282)
('1', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 0.006540602548071248)
('5', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.0064743278018822865)
('26', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.005964999167709234)
('365', '719070cb5e16fc6667d514cf5e88117b16395755', 0.005647827787321384)
('598', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.005615204085695815)
('9', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.005484983978960329)
('26', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.005315015624462621)
('301', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.0050843160627634)
('9', 'f89aab14fa21c019295b4cc667399c1049f421b6', 0.004860088170194176)
('598', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.00481976787814173)
('559', '019f986cc374ef228070f4aeba252f5071362488', 0.0048023078464582885)
('7', '1fb9d88b51522797e845afea8c69066767ae1436', 0.004719520611398955)
('82', '6d9c6b7dd9f1741c7c7f39e190b948879253d92c', 0.004706784604847763)
('9', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.0044783610135821815)
('598', '7daa15757ff7119e82506e6e980856859035a8ad', 0.004323071402370462)
('9', 'e08b9f6f701551c34bd6f2931674cd470e7b2092', 0.004098391222931818)
('598', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.0040496503776362115)
('598', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.003504629922277221)
('9', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.00332315923822734)
('9', '6d9c6b7dd9f1741c7c7f39e190b948879253d92c', 0.0032608034985414204)
('26', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.003000484727863748)
('9', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.0029767071793722778)
('9', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.0029767071793722778)
('7', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.0029301853547916675)
('3', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.0029073213168617613)
('9', 'ac0994f5292997f298595ca7291af3bd88ae1fc5', 0.0027027695117499383)
('9', '9b59aa4de2f48923f9ed541418efe98a70b3d7e7', 0.0026519787349158033)
('9', 'bd13b29c6f160e14d67b9668d31f5c81fdf068c8', 0.002454355098728803)
('559', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.0024535748395031367)
('9', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.002332192708508402)
('26', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.0022692326688015262)
('9', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 0.0022261069055661935)
('9', '5696194875fbab3412b97a99d0e204dad0aa2823', 0.0021432680721504777)
('598', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.0019767303500576724)
('598', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.0019767303500576724)
('4', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.0017763052044627659)
('9', '15873145252823f57110c8ef0b8bf8964902a098', 0.0016372237926287655)
('598', 'd26d710c2cc8bc0d3bcb27d84fa817bb8acbd7fd', 0.0014718021246637601)
('559', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.0014139424092576322)
('598', 'f89aab14fa21c019295b4cc667399c1049f421b6', 0.0013811981314912152)
('26', 'f89aab14fa21c019295b4cc667399c1049f421b6', 0.0013106650627352728)
('559', 'd26d710c2cc8bc0d3bcb27d84fa817bb8acbd7fd', 0.001249703037854407)
('598', '12658fb9b9026355153802d80db988bdcce34b74', 0.0012228312732494979)
('598', '7db3ca0c21b9859d672483e08a7374b913b3b4d0', 0.0011731104677404902)
('598', 'e08b9f6f701551c34bd6f2931674cd470e7b2092', 0.001168083906484088)
('598', '31dfef55fe9538c02ea5d5c42e9b3160cbb51443', 0.0011661348475840258)
('598', 'd8b504d58484382a9a803afe8f4b1dcd66d16103', 0.0011657927487382653)
('598', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.0011062614369360662)
('26', 'e08b9f6f701551c34bd6f2931674cd470e7b2092', 0.0010906649010674985)
('598', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.0010092637311517974)
('598', '719070cb5e16fc6667d514cf5e88117b16395755', 0.0009917564641177135)
('598', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 0.000986660650506487)
('598', '1fb9d88b51522797e845afea8c69066767ae1436', 0.0009830198394944684)
('598', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.0009587383987446903)
('598', 'ac0994f5292997f298595ca7291af3bd88ae1fc5', 0.0009444754493987107)
('559', '7daa15757ff7119e82506e6e980856859035a8ad', 0.0009270534989515914)
('598', '6d9c6b7dd9f1741c7c7f39e190b948879253d92c', 0.0009266942371470361)
('598', '9b59aa4de2f48923f9ed541418efe98a70b3d7e7', 0.0009217795796889802)
('598', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.0009208597853286989)
('345', '31dfef55fe9538c02ea5d5c42e9b3160cbb51443', 0.0009182656789740049)
('9', 'c8b48843c310d11b8b1ed0818c9eb6210e25d08f', 0.0008946829477509952)
('26', '6d9c6b7dd9f1741c7c7f39e190b948879253d92c', 0.0008793711291481435)
('559', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.0008569629909352248)
('254', '12658fb9b9026355153802d80db988bdcce34b74', 0.0008360834296859001)
('598', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 0.0008193477373649794)
('126', '5696194875fbab3412b97a99d0e204dad0aa2823', 0.0007704026138855148)
('598', '5696194875fbab3412b97a99d0e204dad0aa2823', 0.000739030121636816)
('26', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.0007158737324568753)
('401', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.0006845905659609769)
('139', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.0006812404156158088)
('26', '7db3ca0c21b9859d672483e08a7374b913b3b4d0', 0.0006808590445409764)
('26', '12658fb9b9026355153802d80db988bdcce34b74', 0.0006721571328569996)
('26', 'ac0994f5292997f298595ca7291af3bd88ae1fc5', 0.0006462647551593731)
('26', 'd8b504d58484382a9a803afe8f4b1dcd66d16103', 0.0006445963405047082)
('26', '31dfef55fe9538c02ea5d5c42e9b3160cbb51443', 0.0006429174841667513)
('26', '9b59aa4de2f48923f9ed541418efe98a70b3d7e7', 0.0006378375359904719)
('26', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 0.000580640793116482)
('598', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.0005695709481432273)
('26', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 0.0005683603402460207)
('26', '719070cb5e16fc6667d514cf5e88117b16395755', 0.0005467785926624837)
('26', '5696194875fbab3412b97a99d0e204dad0aa2823', 0.0005095211548016754)
('401', 'd8b504d58484382a9a803afe8f4b1dcd66d16103', 0.00048796913328527126)
('26', '15873145252823f57110c8ef0b8bf8964902a098', 0.00043646717093405685)
('598', '15873145252823f57110c8ef0b8bf8964902a098', 0.0003730437482794058)
('5', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.00021988649252627806)
('5', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.00021988649252627806)
('7', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.00020354833380472825)
('7', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.00020354833380472825)
('7', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.00019565825715063542)
('7', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 0.00019193328782204637)
('3', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.00018205634641115534)
('3', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 0.00017859033216605026)
('3', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.00011888499947291312)
('3', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.00011888499947291312)
('5', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 8.626102763203901e-05)
('4', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 8.405428059269684e-05)
('5', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 7.150519028036255e-05)
('5', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 7.014386444362972e-05)
('4', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 4.848825497784964e-05)
('4', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 3.9814774189660915e-05)
('4', 'f5197133e31c0d91964dc2bbc889674354de758b', 3.9814774189660915e-05)
('401', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 1.6897620378541132e-05)
('598', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.0)
('598', 'bd13b29c6f160e14d67b9668d31f5c81fdf068c8', 0.0)
('598', 'c8b48843c310d11b8b1ed0818c9eb6210e25d08f', 0.0)
('598', '4fc95536aa3c2ce894701e62c8827d256d2c24e3', 0.0)
('598', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.0)
('559', '6940c61c6bf5bbee42c7120917689028d20d493c', 0.0)
('559', '5d34d1c03e527547cf47ccff2eb5f359cdb8f49a', 0.0)
('559', '78e1bebf3b88edd14970c4ad727856ced5dfc706', 0.0)
('559', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.0)
('559', 'd8b504d58484382a9a803afe8f4b1dcd66d16103', 0.0)
('559', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.0)
('559', '719070cb5e16fc6667d514cf5e88117b16395755', 0.0)
('559', '31dfef55fe9538c02ea5d5c42e9b3160cbb51443', 0.0)
('559', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.0)
('559', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.0)
('559', '7db3ca0c21b9859d672483e08a7374b913b3b4d0', 0.0)
('559', '12658fb9b9026355153802d80db988bdcce34b74', 0.0)
('559', '967686b2f2d3e2ed770929c3909a33991220d56a', 0.0)
('559', 'c8b48843c310d11b8b1ed0818c9eb6210e25d08f', 0.0)
('559', '4fc95536aa3c2ce894701e62c8827d256d2c24e3', 0.0)
('559', '15873145252823f57110c8ef0b8bf8964902a098', 0.0)
('559', 'e08b9f6f701551c34bd6f2931674cd470e7b2092', 0.0)
('559', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.0)
('559', '5696194875fbab3412b97a99d0e204dad0aa2823', 0.0)
('559', 'ac0994f5292997f298595ca7291af3bd88ae1fc5', 0.0)
('559', '9b59aa4de2f48923f9ed541418efe98a70b3d7e7', 0.0)
('559', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.0)
('559', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.0)
('559', '6d9c6b7dd9f1741c7c7f39e190b948879253d92c', 0.0)
('559', 'f89aab14fa21c019295b4cc667399c1049f421b6', 0.0)
('559', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.0)
('559', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.0)
('559', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 0.0)
('559', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.0)
('559', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.0)
('559', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.0)
('559', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.0)
('405', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.0)
('401', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.0)
('301', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.0)
('301', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.0)
('193', '4fc95536aa3c2ce894701e62c8827d256d2c24e3', 0.0)
('26', 'c8b48843c310d11b8b1ed0818c9eb6210e25d08f', 0.0)
('26', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.0)
('7', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.0)
('5', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.0)
('4', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.0)
('3', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.0)
