('37', 'f689275dab200faf2ec6caca615f9477b6337878', 0.8391707781836102)
('83', '25768640fa98733e021e59af93a75597e6b819b5', 0.8178897657073356)
('132', 'a90a446005b96e526d4067586e7e473fb8cfe9a0', 0.7488812128584519)
('117', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.7357487644812268)
('49', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.6002630278879211)
('116', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.5914151736559351)
('110', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.5886354559014234)
('117', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.5590426399095774)
('304', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.5540675308997061)
('116', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.46925012258392734)
('8', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.45294149321423505)
('141', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.4453560450022866)
('254', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.44409419459760135)
('12', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.4382888339451947)
('235', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.32501851547654614)
('258', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.3245752986517812)
('83', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.32397171743754866)
('429', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.31788090809597375)
('217', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.30909248293244324)
('293', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.27637397621904813)
('480', '1200571eca343d402f7fb1831b4c45acbca35438', 0.26706152067354866)
('17', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.26622069166453444)
('334', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.2638733008522866)
('61', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.248222173201524)
('127', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.24277494183792475)
('329', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.23911369271553862)
('329', 'a889be240af925d8131289539cfce9c63478c7f3', 0.23242037209816946)
('480', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.22839119599701452)
('449', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.22687135660891553)
('353', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.22150717530847022)
('68', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.21165635239417263)
('449', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.20676382501811424)
('480', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.19337373715280773)
('480', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.18909397444525827)
('160', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.18650898506203176)
('295', '955b479383d02ea02740df49152710fef49afc44', 0.18107492698575692)
('11', '016503c9a1b5f5ebe9974fbfd835a664453f31f4', 0.17372644452523592)
('353', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.1702514367032801)
('401', '163db1bff3177505d4d588012644783685814cca', 0.1694467151094284)
('480', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.16894179494019845)
('480', '982b80f1c07477b39cd699bcfabd63c93488395e', 0.16845551076038906)
