('62', '316b6191d325ca9c321afbce5c6879345ec1ef80', 0.3800451586127224)
('180', 'c6fec020d6cac5c4a8af68a0518ee015a997ab2c', 0.3782794337562418)
('37', '2702059874d62336ff39fb192cfb2d59fc3ea695', 0.37730264257519075)
('180', '0bdf0bad70134be2c780284b936f59cd2ef69d57', 0.37432877812231546)
('168', '8c4f1c75c3d56dd40f78e0a794e8923f5a328a64', 0.364519074848782)
('56', 'b8825ddfa6cbc5d609e0d34b2731def1526af4c1', 0.35551004244409046)
('325', 'b6ae49acd285f86bf5664ff14b6a87f7cbf0d224', 0.35402627795029185)
('325', '86d73c904b12278ee71706fa4cc5271bcf253573', 0.35395905531397265)
('325', '69a9f4f03b9f8ee2302cd5d37a81de45cf55392b', 0.3538232775925361)
('325', '2702059874d62336ff39fb192cfb2d59fc3ea695', 0.3491484541951571)
('383', '857488fffd2ffb6c2caa59c275b85069b35ed01d', 0.33688679236611163)
('180', '9c1031568c8a1f91c078b5f483c16ba1b25630c4', 0.3360519306325623)
('155', '8c4f1c75c3d56dd40f78e0a794e8923f5a328a64', 0.3309988213504237)
('130', '69a9f4f03b9f8ee2302cd5d37a81de45cf55392b', 0.3263936417589214)
('130', '86d73c904b12278ee71706fa4cc5271bcf253573', 0.3262683602854935)
('130', 'b6ae49acd285f86bf5664ff14b6a87f7cbf0d224', 0.3262670726734171)
('336', 'cad02446bb16d2b82124040a2dd88abb29eb3bc5', 0.32237759864960686)
('376', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.32137139276750565)
('336', '76640cd08803b98232b497508dd8238a5f05d4b2', 0.32095021109068683)
('325', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.3196437933735032)
('336', '86a9e46e457e5b6e82929e09d557352cf45407fa', 0.31874862714157765)
('325', 'a82bcf5550ae403a01cc93f7ec063c0250c89288', 0.3170959230458753)
('130', 'a82bcf5550ae403a01cc93f7ec063c0250c89288', 0.3130267757966867)
('56', 'adccaa95b0fe2a73425fe45bc235456aea4d0f18', 0.30917459950265413)
('37', 'fca9a6e9a146342e4d16b09ae8f9697282e566e9', 0.3056889053737715)
('37', 'acf9989f7200ecb6d3b2130224d27f8d69fb2614', 0.30539409768157066)
('168', '39b499793d2ca727381f3f2860298b6483956981', 0.2931403123199576)
('383', 'c2c54743f070871d2eee9848b32b3ce0e2bbf995', 0.28451129825237875)
('336', '9d91350bbe9603f81c1a6d5640084d8e082734db', 0.2785714095351567)
('352', '2eb0937df9fd623ad0fbec32086fcf4f5b294235', 0.27072425120849397)
('352', 'ccc95bf6a7e5383443fd42103fa03d698fe9b40a', 0.2592540898160475)
('302', '0bdf0bad70134be2c780284b936f59cd2ef69d57', 0.2583091892073992)
('60', '03dcb8d6772cf39e8d4adbed455c464582d85d19', 0.2546022842725757)
('60', 'b839be59dad3639befeb8f9932f048cc55397893', 0.24385298363742597)
('336', '5ee56e9475bb4fd992dbf3cf365d79f768965be5', 0.2418638660826376)
('180', '316b6191d325ca9c321afbce5c6879345ec1ef80', 0.24166282125220284)
('325', 'c0c5171fe72c80b6100dad99b822b80759881c80', 0.23922197996633537)
('383', '39b499793d2ca727381f3f2860298b6483956981', 0.23781217849260075)
('222', 'd37f4c9eb0c34591e92ec3d85c9ec9c49d7096e8', 0.23666802481132915)
('336', 'c6fec020d6cac5c4a8af68a0518ee015a997ab2c', 0.2364725647358887)
('260', 'd37f4c9eb0c34591e92ec3d85c9ec9c49d7096e8', 0.23491451954622358)
('336', '0bdf0bad70134be2c780284b936f59cd2ef69d57', 0.23161179500816043)
('272', '14c66103e2a3450e067c6613ca2601ba1f055b3c', 0.23142265612656213)
