('294', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 1.0)
('110', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 1.0)
('3', '9465894146b7c6143b6da53b81a65cce179b47a2', 1.0)
('3', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 1.0)
('1', 'ff144a99050c38fbd80f304c511d60d5c613aa72', 1.0)
('132', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.9998415325517069)
('215', 'ea0ac3b01b1b73a39064522704d1e0a41c2c6f1c', 0.9955629284963045)
('215', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.9955621080931278)
('68', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.9763752668682912)
('304', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.96668313124436)
('47', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.948847175875268)
('258', 'd48b60998bf75de952386eb45916c0873ac93afc', 0.9487428440406148)
('429', '163db1bff3177505d4d588012644783685814cca', 0.946585838009805)
('401', '163db1bff3177505d4d588012644783685814cca', 0.9463171139120283)
('56', '163db1bff3177505d4d588012644783685814cca', 0.942099189495096)
('459', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.907757617715874)
('114', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.9064186852127413)
('429', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.8888081881094003)
('401', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.8885006398181567)
('1', '870e21110d17f4742cdef527e6ef40306ecf5de0', 0.887084391759697)
('56', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.8844113959641341)
('37', 'ff144a99050c38fbd80f304c511d60d5c613aa72', 0.8604799872000312)
('12', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.8305308212634577)
('12', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.830527072849096)
('254', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.8259920161539399)
('217', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.8186669214775142)
('254', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.815130445193515)
('3', '65794585337c77575d0805c92cd4f6ead12becd8', 0.7830688977764879)
('37', '870e21110d17f4742cdef527e6ef40306ecf5de0', 0.7633836512203863)
('127', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.7521798209100382)
('127', '01f58cbcf82245153d41b606f0771f1f09c74e9b', 0.7337671842582626)
('42', '163db1bff3177505d4d588012644783685814cca', 0.7224981134634624)
('184', '01f58cbcf82245153d41b606f0771f1f09c74e9b', 0.7123979937675785)
('215', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.7120385842375553)
('308', '01f58cbcf82245153d41b606f0771f1f09c74e9b', 0.7101674597850633)
('184', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.7047752134372275)
('308', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.7025462169356541)
('304', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.6937584522226706)
('42', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.67811053559494)
('141', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.595123068070306)
('27', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.5821352100649682)
('27', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.582122797083977)
('12', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.580453298141638)
('258', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.5401779177085474)
('376', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.5096357505568018)
('61', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.5062775926176561)
('376', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.4951832807007901)
('117', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.4932665371880655)
('376', 'a90a446005b96e526d4067586e7e473fb8cfe9a0', 0.4880106211040534)
('71', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.4815589890755245)
('217', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.47904483584343505)
('83', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.4503198396543243)
('83', '25768640fa98733e021e59af93a75597e6b819b5', 0.45031938230294843)
('83', 'ef2007bf4c6b491440721cf5b42c1fec2e9e602d', 0.4454160922051028)
('27', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.4069271896875017)
('401', '016503c9a1b5f5ebe9974fbfd835a664453f31f4', 0.4003908417266835)
('429', '016503c9a1b5f5ebe9974fbfd835a664453f31f4', 0.399709309855772)
('56', '016503c9a1b5f5ebe9974fbfd835a664453f31f4', 0.39842716667227407)
('114', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.3633920299959578)
('114', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.35864195657844566)
('114', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.35294477026250054)
('165', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.3508187433564564)
('114', 'a90a446005b96e526d4067586e7e473fb8cfe9a0', 0.3480353131212488)
('165', '982b80f1c07477b39cd699bcfabd63c93488395e', 0.34176681672971687)
('481', 'a889be240af925d8131289539cfce9c63478c7f3', 0.32508040030299734)
('254', '870e21110d17f4742cdef527e6ef40306ecf5de0', 0.3213824100521813)
('165', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.3190876469531654)
('352', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.312515826741899)
('47', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.3064092515114827)
('42', '016503c9a1b5f5ebe9974fbfd835a664453f31f4', 0.3053616953326221)
('56', '0e16be23a4e3434ee32292a006a12accc1096955', 0.30103661159809225)
('40', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.2976702671434417)
('40', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.2976701573074266)
('61', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.2963348937066475)
('459', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.2948936626705406)
('429', '0e16be23a4e3434ee32292a006a12accc1096955', 0.29220248621121403)
('459', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.2851298789929391)
('71', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.28162326375839536)
('114', '65794585337c77575d0805c92cd4f6ead12becd8', 0.27758955169080074)
('401', '0e16be23a4e3434ee32292a006a12accc1096955', 0.2753958613537601)
('117', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.27473494288493494)
('304', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.25589121988423663)
('254', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.25359159563430433)
('304', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.24861105755207719)
