('665', '849e40a0fe9a9c4aed29a44275a988b4015c87da', 0.7888590101975731)
('557', 'e52465b902f7a49691855df6afbcb0489ba5609b', 0.7862826294169818)
('603', 'b6367c83304e409a23edc64967585f4f03c4d89b', 0.7332361774777382)
('465', '6676fd789c9095d934e42552d7b341be04114de5', 0.712645176476581)
('155', '3a47695428d0463a93124e45c390a708b68b6023', 0.7081898544886155)
('526', '89015048b496fe08588b89f97e5fea6802100767', 0.6637940917757087)
('823', 'f4563e07cfa9396658791af9e087f31c5ec0fe38', 0.6124311138158552)
('554', '1048f5df145da9ee46c568efc8e59ec57cba9905', 0.5958744118472805)
('450', '8b865de0444b8e31ef3d982819f205a20521f4b9', 0.5858836970605237)
('262', 'f54046168723638d7887d0a79153782e1a0717a6', 0.5831455912561908)
('25', '9f831b7c7c254d395ea71c00318811cb82ffa468', 0.5803316760373228)
('463', '89572d0096ad852c6196f04521fcf14d0ba93a20', 0.5525254990414238)
('850', 'e1217d20bc010b5d4a935b3323b287d3e1932710', 0.5460733716824303)
('291', 'a73f47a1cbd3a2e072c46f283ca08f3c4c54fdf0', 0.5227080401923482)
('62', 'ab74db9a1c27fe29de9c05280d27979af605c29a', 0.5205279226996502)
('806', '258c36ae087c1615485201c98ef760f881be1b05', 0.5180854871894219)
('180', '00fb00b094474de98ffcfe7cdb3d4b2682389676', 0.4401671168540656)
('495', '12e08eed8d303e90e9302c4ea56c7d00e13aa128', 0.42946264200051215)
('510', '6bad467bba438c025bca17a74fe9e9ec6fcdac94', 0.42745923851179674)
('27', 'c72700c506d72a595a95091ca4d47c485ee883bb', 0.4254009688382105)
('123', 'bee33763a4fb206654c549dc186f76eaf7cd275a', 0.4200017248855272)
('388', 'cf89c4f561c87a9e8dc9b37f8dab259ec77fc372', 0.4137867578197919)
('333', '131968c2794cc103e7fac24ffd0a82cbddd54641', 0.4059552170434053)
('38', '571b8de867ba2273755297f25e5b5480ce9f6ca6', 0.39284757577826096)
('730', '807c4e08c525c32025026cd829cd1f954fdb21f6', 0.386422341869861)
('536', '6487bc9efac993503c0e8e291e622eeb77195664', 0.3634380239498603)
('170', '039edba7a157a2fc15bab232de2e3e84eead8b10', 0.3531016612731506)
('99', 'bef7cb7832393719e171427be9fa11f2c5ceae8d', 0.3121793823400726)
('28', '8f1d7662e3d79c11a96db74c46d57072530600a7', 0.3089678926978122)
('49', 'fcf6a8fe4ea4f3604644aba9c63914a052c5315c', 0.30350328921420483)
('431', 'ed5a99a85f04ef934a4bae3af88807ea4002ca48', 0.28010483327214275)
('714', 'f6cb0e014d5eab9e48d4b589ee6c56d34bfbe764', 0.2777808508362663)
('166', 'bea7ba92f374caefa4c65136488aac6bc50a4142', 0.2686072784533315)
('757', 'cf1ede6a7257428f41712c23b8d913ad6914b21d', 0.2592181110068291)
('152', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.2469781851226925)
('843', 'a1e727648c19f475788d6bcb62d3b7785e0f66ff', 0.23658793117715637)
('564', 'd9bb27b112778e2cfefa234a529ef0bfec055501', 0.2347102266251425)
('664', '564360fb6cf2fa91298ea4abb6ad362b2891ecca', 0.2346915256465976)
('221', '9c2e95f66bf2a56327e0e4b382795a586766c173', 0.2320336559945515)
('246', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.2172105204891883)
('158', '1b762294695157d14ca61db1d0aff8d7fa2a655c', 0.21481020109797136)
('639', '25b898397b3f59b2b6f72c1e4c46e81a4024ab3d', 0.20479132491995644)
('47', '15aacbb5c92bef5b9e3853c2694653cf3be2e370', 0.20365655143960779)
('590', 'e59c46dd3683a893187a6a5a5d6de60a9cefbec3', 0.2032944399707371)
('643', 'c65dbaabb1c891605279553839cad59b80688dd9', 0.20285243302772757)
('633', 'ad9996af3b593e0570e6815ffcee25d284e01aa8', 0.19727141615866906)
('592', 'd80c957284a4c2930240cfecc13f2619781d4d07', 0.1837177072671619)
('606', '1ad1765c95b88a72d4a5df539d6255757c6c7b54', 0.173356339177707)
('835', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.1638238281459199)
('435', '6825fba1012b81dd421868b98f9d6a48f84c50c1', 0.16244652632737824)
('591', 'e953cd99c79adbfebb883728d61f582e4c1fedb2', 0.15612220210381353)
('653', 'f35223312b74743886436770f5172cb25e4e0974', 0.15537072789532708)
('106', 'b1a6c966c252047f1382031e50559a67b71b8d3e', 0.15298929696978264)
('723', 'cd76f2a01a3c9a8b2c3eed5babddf5d014ec202c', 0.1504727137124474)
('688', '7eabe1789c2605692e300c231c411d9ed02eaa18', 0.1498731121515039)
