('4', '196854837e8547242dd5c7db3f484c17f331d8e4', 0.999999997652156)
('638', 'e02999f1ca777befb4f288e1572cd4b857fddf20', 0.9801315936013049)
('638', '7bc191ddb352ffa10bb51fd0cdd53284030c15c9', 0.9801127920175756)
('320', 'a83051be401b1f5a1a26af69e72f85cdb4643d0c', 0.9619201412876215)
('1361', 'd62879a423630dbf323e26b096682e4a3a3d2267', 0.960212603025747)
('1361', 'fabe908e13b6b8b8d14cb5a01e8b5ade5791d1aa', 0.9602026166387997)
('1344', 'f6c7241c0081513f63b010a18a79a14abc6f0562', 0.9539970497850083)
('356', 'a58e9778e77364c188a2c1a0922631ebd2d849a1', 0.9483920697795719)
('356', 'c57e5593aa27f72d250351409a4e1236789ae781', 0.9483395233940893)
('1091', '315f933487f6677545ce26b293a6f2820392515e', 0.9478096493687157)
('1091', '52f147314bb4db6db347e730996be89a5541b18b', 0.9477436083162109)
('1091', '916449b2398f463d3edcec0d659996e2de44aa01', 0.9477328872988591)
('1091', '57bcaf610e03f5e0edbacf15fbe0739b5eeed6fc', 0.9476007174271066)
('356', '3c4c2f45936a6b5235df62e5491fe9c2d851338b', 0.947350308469811)
('356', '2584c9326cfc20cde27dac91843ff8afe4e093bc', 0.9445263665738233)
('1091', '97ef338fac61f4d82248ec3fc9d625f95057932c', 0.941487375102234)
('134', '5cc7e2f4e1221367d84e96cf07199090fbf660a0', 0.9409636939764305)
('320', '93e03cf2b5d09f35abe531f967b3048f36dbe935', 0.9406981737470647)
('202', '6872bbaf9fe025981f8c302521a4b65b06257a2d', 0.9259143311372059)
('1091', '5567ab40129d949001dd32f853d800ad944b3632', 0.9201962744242244)
('1339', '69ed63d719ce093a27ff4352c4a207a5c43fe845', 0.9148502974523768)
('356', '16d12ae90f1eb8b22beb24ca9ab52dc64159ea18', 0.9143798151365143)
('257', 'd621939d7436307405771c19c854914f1a5557fa', 0.914025534851954)
('1221', '053f0de589836da38e4eda0b3e17d07646bc97c5', 0.9134277060510655)
('134', '7592ef90fcf41af76ef4be103c7ec729b1c88186', 0.9131850583048491)
('1360', '54470bad0a8882d08e337c21805b019847ad8247', 0.9049193970131244)
('532', '9d4c478dd24c5e50bd1410d3a914a3f52be6badb', 0.902080839971933)
('532', '3eae9a5df9ba3568b9ac6fde1901597985742fe9', 0.9018003003026913)
('532', 'ad6d855e0dc8073c04da02b045bbe85069f008f3', 0.9014049300042423)
('532', '84cba53ad2d8e9b76b9ee185e23bbc6e4652db88', 0.9010255564491849)
('532', '456543d411d9fa8678ab10e3ea8d01bb6f9e7f24', 0.8938831257229995)
('134', '89837fc3410088ab0cc378c75c57cbf45fab612a', 0.8893656244202428)
('134', '22cff5304d97684d1cfacceafddbf3db3d963228', 0.8882081655106226)
('134', 'bea0124a2d6e5728b6f7ed9c790edbecb4639dd2', 0.8867395231491566)
('121', 'a621ebdf9dce5cf2637a14701fd8f9a6684ed83f', 0.8846485781626069)
('320', 'b2fa71c669c459d98bc5a098c2197a86520242ea', 0.8845178509647006)
('202', '8125dbcc138a837f99847d5e73655b71e7abc4da', 0.880243597621891)
('121', '64e43528ca65cf7e1b5fd27831cc5c82ea9e3514', 0.8802249886663693)
('134', '389bb1c9822177cfa4063a2fe4469d026f3d8c0e', 0.8747463977850195)
('134', 'e88fe5d08750ccc57dcaa1becca595542ee49415', 0.8745930854007454)
