('246', 'bef7cb7832393719e171427be9fa11f2c5ceae8d', 1.0)
('155', '3a47695428d0463a93124e45c390a708b68b6023', 1.0)
('123', 'bee33763a4fb206654c549dc186f76eaf7cd275a', 1.0)
('632', '529f3990a62d1ff5be8188176838b7f2de9207f2', 0.9971228432251631)
('27', '336f8e9bd72bdca97be5cdd10015e51b6c3437c4', 0.9923658965418013)
('38', '571b8de867ba2273755297f25e5b5480ce9f6ca6', 0.9923152287237874)
('697', '6891e5011099516aeccc6b3ea8f9bc956086e0eb', 0.9919205170672851)
('27', 'b4b8e06909f76b8d29438375c59ddbcac640db01', 0.9911964445028311)
('27', '5ee93b1c77848c2e35411ea8d363294b665f4962', 0.9891854430210125)
('62', 'ab74db9a1c27fe29de9c05280d27979af605c29a', 0.9867313548707739)
('27', 'c72700c506d72a595a95091ca4d47c485ee883bb', 0.9859707963806645)
('529', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9836657176697317)
('25', '336f8e9bd72bdca97be5cdd10015e51b6c3437c4', 0.9830506322250887)
('25', 'b4b8e06909f76b8d29438375c59ddbcac640db01', 0.9821151270687968)
('25', '5ee93b1c77848c2e35411ea8d363294b665f4962', 0.9804262081572259)
('723', '15aacbb5c92bef5b9e3853c2694653cf3be2e370', 0.9803415591945381)
('723', '0ade5f75dcb6d07a242ab3468bc79bb413b9f677', 0.980339836225241)
('27', 'c2f906ae6af9f03a7c173701e634f98422be7e0a', 0.9795676365593633)
('27', 'fcf6a8fe4ea4f3604644aba9c63914a052c5315c', 0.9788282656438341)
('25', 'c72700c506d72a595a95091ca4d47c485ee883bb', 0.9767210481864418)
('424', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9750949185705006)
('27', 'c1356dcd9112bbd3183800cef6ac558480da8afd', 0.9747833568862526)
('784', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9720219844105621)
('843', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9719576431199539)
('213', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9719508621631534)
('227', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.971948226627168)
('804', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9719476774507336)
('705', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9719449506132115)
('279', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.971845021282361)
('262', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9718443999257712)
('169', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9717972143672283)
('305', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9717697472166839)
('149', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9717657830796091)
('807', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9717585991632044)
('194', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9717460907114828)
('560', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9717390287320092)
('676', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9717383953818044)
('788', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.971733841504637)
('356', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.9717267941645404)
