('98', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.0)
('98', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.0)
('98', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.0)
('98', '78beb9439d1a1604efc119846467086ab863e0a7', 0.0)
('98', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.0)
('98', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0)
('98', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0)
('98', 'af98b91a1ab60460b67028e348263024c496dafb', 0.0)
('98', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.0)
('98', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.0)
('98', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.0)
('98', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.0)
('98', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.0)
('98', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.0)
('98', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.0)
('98', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.0)
('98', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.0)
('98', '556696580fe93fe788726ceced18cbb4671e651b', 0.0)
('98', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0)
('98', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0)
('98', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.0)
('98', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.0)
('96', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.0)
('96', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.0)
('96', '4db56105d66911de5157080c911521c2c2176cfb', 0.0)
('96', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.0)
('96', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.0)
('96', '65712d130369824da9d0033a82d240b1d0066833', 0.0)
('96', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.0)
('96', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.0)
('96', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.0)
('96', '78beb9439d1a1604efc119846467086ab863e0a7', 0.0)
('96', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.0)
('96', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0)
('96', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0)
('96', 'af98b91a1ab60460b67028e348263024c496dafb', 0.0)
('96', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.0)
('96', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.0)
('96', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.0)
('96', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.0)
('96', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.0)
('96', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.0)
('96', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.0)
('96', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.0)
('96', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.0)
('96', '556696580fe93fe788726ceced18cbb4671e651b', 0.0)
('96', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0)
('96', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0)
('96', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.0)
('96', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.0)
('94', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.0)
('94', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.0)
('94', '4db56105d66911de5157080c911521c2c2176cfb', 0.0)
('94', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.0)
('94', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.0)
('94', '65712d130369824da9d0033a82d240b1d0066833', 0.0)
('94', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.0)
('94', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.0)
('94', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.0)
('94', '78beb9439d1a1604efc119846467086ab863e0a7', 0.0)
('94', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.0)
('94', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0)
('94', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0)
('94', 'af98b91a1ab60460b67028e348263024c496dafb', 0.0)
('94', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.0)
('94', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.0)
('94', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.0)
('94', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.0)
('94', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.0)
('94', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.0)
('94', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.0)
('94', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.0)
('94', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.0)
('94', '556696580fe93fe788726ceced18cbb4671e651b', 0.0)
('94', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0)
('94', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0)
('94', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.0)
('94', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.0)
('87', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.0)
('87', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.0)
