,arthas,,,canal,,,druid,,,nacos,,,rax,,,san,,,EasyReact,,,Emmagee,,,bk-cmdb,,,ncnn,,,QMUI_Android,,,QMUI_iOS,,,weui,,,xLua,,,pegasus,,
,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP
gvsm_origin,"(0.3913, 0.2222, 0.2835)","(0.1464, 0.5062, 0.3393830371862978)","0.236","(0.1893, 0.1893, 0.1893)","(0.1181, 0.3018, 0.23018974425213123)","0.109","(0.1845, 0.2801, 0.2224)","(0.141, 0.3449, 0.2675261304874023)","0.153","(0.1875, 0.1935, 0.1905)","(0.1875, 0.1935, 0.19226947535771063)","0.086","(0.3301, 0.2252, 0.2677)","(0.161, 0.3444, 0.2804957507082153)","0.19","(0.4667, 0.35, 0.4)","(0.3214, 0.45, 0.4166570638395944)","0.343","(0.4333, 0.4194, 0.4262)","(0.4333, 0.4194, 0.4221081947412431)","0.341","(0.25, 0.25, 0.25)","(0.0667, 1.0, 0.2632617619197979)","0.154","(0.0678, 0.0942, 0.0789)","(0.0444, 0.1499, 0.10161160305343513)","0.019","(0.5882, 0.3125, 0.4082)","(0.177, 0.625, 0.41494748687171795)","0.383","(0.4412, 0.2381, 0.3093)","(0.1749, 0.5079, 0.36783316770186336)","0.249","(0.8571, 0.75, 0.8)","(0.8571, 0.75, 0.769223865594486)","0.772","(0.3333, 0.2174, 0.2632)","(0.123, 0.3261, 0.24514301430143012)","0.165","(0.5, 0.5, 0.5)","(0.3171, 0.65, 0.537205483736447)","0.538","(0.5294, 0.3103, 0.3913)","(0.2232, 0.8621, 0.548238418143484)","0.36",0.33203333333333335,0.359739613193017,0.27320000000000005
gvsm_trans,"(0.3095, 0.321, 0.3152)","(0.1473, 0.5309, 0.34908298366217305)","0.244","(0.1737, 0.1716, 0.1726)","(0.1121, 0.2959, 0.22282943705495098)","0.094","(0.1963, 0.2477, 0.219)","(0.1525, 0.3032, 0.2531646955759965)","0.148","(0.2258, 0.2258, 0.2258)","(0.2258, 0.2258, 0.2258)","0.089","(0.3929, 0.2185, 0.2809)","(0.1809, 0.3377, 0.2878070762272684)","0.211","(0.3448, 0.5, 0.4082)","(0.3448, 0.5, 0.45870583226905065)","0.369","(0.4643, 0.4194, 0.4407)","(0.4643, 0.4194, 0.4276715716419221)","0.305","(0.1818, 0.625, 0.2817)","(0.1818, 0.625, 0.4201486466499039)","0.171","(0.1146, 0.0857, 0.098)","(0.0486, 0.1799, 0.11679321399946568)","0.032","(0.5789, 0.3438, 0.4314)","(0.178, 0.6562, 0.4268513375237538)","0.378","(0.303, 0.3175, 0.3101)","(0.1525, 0.5714, 0.3687933807347215)","0.271","(0.6667, 0.75, 0.7059)","(0.6667, 0.75, 0.7317153476937485)","0.739","(0.3226, 0.2174, 0.2597)","(0.099, 0.413, 0.2527008652657602)","0.144","(0.5385, 0.35, 0.4242)","(0.2, 0.65, 0.44827586206896547)","0.441","(0.52, 0.4483, 0.4815)","(0.1908, 0.8621, 0.5060255952747185)","0.426",0.33699333333333326,0.3664243897094933,0.2708
lda_origin,"(0.1151, 0.1975, 0.1455)","(0.0825, 0.3086, 0.19933839649232696)","0.049","(0.0522, 0.1361, 0.0754)","(0.0354, 0.2663, 0.11555552831576366)","0.021","(0.0291, 0.0787, 0.0425)","(0.0205, 0.1968, 0.07235294117647059)","0.013","(0.1463, 0.1935, 0.1667)","(0.1039, 0.2581, 0.19902471426450943)","0.096","(0.0788, 0.1523, 0.1038)","(0.0648, 0.2318, 0.15295967413441955)","0.039","(0.0769, 1.0, 0.1429)","(0.0769, 1.0, 0.2940501682471704)","0.101","(0.0875, 0.2258, 0.1261)","(0.0875, 0.2258, 0.17156564779437306)","0.049","(0.4286, 0.1875, 0.2609)","(0.0667, 1.0, 0.2632617619197979)","0.14","(0.0144, 0.0814, 0.0245)","(0.0139, 0.0942, 0.043704272363150866)","0.006","(0.3077, 0.125, 0.1778)","(0.3077, 0.125, 0.1418442985691105)","0.098","(0.0808, 0.254, 0.1226)","(0.0808, 0.254, 0.1777823977823978)","0.035","(0.3333, 0.1875, 0.24)","(0.0714, 1.0, 0.2776913503422527)","0.101","(0.0862, 0.1087, 0.0962)","(0.0244, 1.0, 0.11115160349854229)","0.032","(0.2, 0.1, 0.1333)","(0.05, 1.0, 0.20833333333333334)","0.069","(0.25, 0.1724, 0.2041)","(0.25, 0.1724, 0.18381098601160012)","0.147",0.13748666666666667,0.17416180494968128,0.0664
lda_trans,"(0.2203, 0.1605, 0.1857)","(0.0893, 0.3086, 0.2069538900570742)","0.077","(0.0697, 0.1716, 0.0991)","(0.0606, 0.2604, 0.1569236276849642)","0.035","(0.0582, 0.0764, 0.0661)","(0.0346, 0.2593, 0.11279582599949711)","0.024","(0.0833, 0.129, 0.1013)","(0.0345, 1.0, 0.15158172231985942)","0.043","(0.0766, 0.1325, 0.0971)","(0.0584, 0.2715, 0.1569550584042764)","0.035","(0.2414, 0.35, 0.2857)","(0.2414, 0.35, 0.3211082395865005)","0.179","(0.0952, 0.3226, 0.1471)","(0.0952, 0.3226, 0.21830764856411716)","0.066","(0.2, 0.125, 0.1538)","(0.0667, 1.0, 0.2632617619197979)","0.134","(0.0491, 0.0428, 0.0458)","(0.0195, 0.1221, 0.05949400299850075)","0.011","(0.2593, 0.2188, 0.2373)","(0.2593, 0.2188, 0.22585525477707008)","0.098","(0.1316, 0.2381, 0.1695)","(0.1316, 0.2381, 0.20493106605624592)","0.07","(0.8, 0.25, 0.381)","(0.8, 0.25, 0.2898550724637681)","0.262","(0.1034, 0.1304, 0.1154)","(0.057, 0.1957, 0.13163677130044846)","0.043","(0.1667, 0.15, 0.1579)","(0.05, 1.0, 0.20833333333333334)","0.063","(0.2632, 0.1724, 0.2083)","(0.2632, 0.1724, 0.18517662422461637)","0.079",0.16340666666666667,0.1928779933126713,0.08126666666666665
vsm_origin,"(0.4872, 0.2346, 0.3167)","(0.2642, 0.3457, 0.32561119429590024)","0.235","(0.1078, 0.213, 0.1431)","(0.0797, 0.2899, 0.1897899622145556)","0.085","(0.2284, 0.294, 0.2571)","(0.2284, 0.294, 0.2780291487247432)","0.188","(0.1667, 0.1935, 0.1791)","(0.0932, 0.3548, 0.22723584387025839)","0.091","(0.2981, 0.2053, 0.2431)","(0.163, 0.2914, 0.2517394530421878)","0.162","(0.6667, 0.2, 0.3077)","(0.0769, 1.0, 0.2940501682471704)","0.284","(0.4231, 0.3548, 0.386)","(0.4231, 0.3548, 0.3666370652598671)","0.229","(0.3333, 0.1875, 0.24)","(0.0667, 1.0, 0.2632617619197979)","0.147","(0.0593, 0.0814, 0.0686)","(0.0331, 0.167, 0.09231295925183701)","0.021","(0.6364, 0.2188, 0.3256)","(0.1744, 0.4688, 0.35047462277091906)","0.318","(0.3409, 0.2381, 0.2804)","(0.1602, 0.4603, 0.3348472436654255)","0.179","(0.6667, 0.625, 0.6452)","(0.6667, 0.625, 0.6329174008141443)","0.578","(0.1515, 0.2174, 0.1786)","(0.1515, 0.2174, 0.2000006072382803)","0.121","(0.3478, 0.4, 0.3721)","(0.3478, 0.4, 0.38834301027244306)","0.482","(0.36, 0.3103, 0.3333)","(0.2099, 0.5862, 0.4314889185018937)","0.297",0.2851066666666667,0.3084492906726283,0.22780000000000003
vsm_trans,"(0.3636, 0.2963, 0.3265)","(0.3636, 0.2963, 0.3076902953104472)","0.253","(0.144, 0.2189, 0.1737)","(0.0662, 0.4793, 0.21320830533530438)","0.113","(0.3723, 0.2431, 0.2941)","(0.1926, 0.3866, 0.3217768366464996)","0.229","(0.2222, 0.129, 0.1633)","(0.1077, 0.2258, 0.18518626256472737)","0.089","(0.2632, 0.298, 0.2795)","(0.2632, 0.298, 0.29032277169084986)","0.175","(0.625, 0.25, 0.3571)","(0.2667, 0.4, 0.3636487592037087)","0.342","(0.4074, 0.3548, 0.3793)","(0.4074, 0.3548, 0.3642045958476114)","0.229","(0.1558, 0.75, 0.2581)","(0.1558, 0.75, 0.4254660646664724)","0.172","(0.0939, 0.1028, 0.0982)","(0.0438, 0.2141, 0.12044156177754946)","0.044","(0.6429, 0.2812, 0.3913)","(0.1596, 0.4688, 0.3378815028901734)","0.357","(0.5652, 0.2063, 0.3023)","(0.192, 0.381, 0.3183289817232376)","0.256","(0.7692, 0.625, 0.6897)","(0.4643, 0.8125, 0.7065283552459077)","0.637","(0.225, 0.1957, 0.2093)","(0.1149, 0.3696, 0.25607235890014474)","0.12","(0.4375, 0.35, 0.3889)","(0.2206, 0.75, 0.5067691742220044)","0.383","(0.359, 0.4828, 0.4118)","(0.2018, 0.7931, 0.5000549272011499)","0.377",0.3148733333333333,0.34783871688171925,0.25173333333333336
