('598', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.010279917654891777)
('99', '5a8c19d0c9f3d7445d456f97896102cf7b18b2d8', 0.01017068393749826)
('26', 'd26d710c2cc8bc0d3bcb27d84fa817bb8acbd7fd', 0.010043782630182978)
('5', '1fb9d88b51522797e845afea8c69066767ae1436', 0.00960796291471276)
('301', '719070cb5e16fc6667d514cf5e88117b16395755', 0.009588847028944303)
('9', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.009537874573835106)
('4', '1fb9d88b51522797e845afea8c69066767ae1436', 0.009164445363671342)
('5', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.009099176622185484)
('7', '1fb9d88b51522797e845afea8c69066767ae1436', 0.008560798744350699)
('134', 'e08b9f6f701551c34bd6f2931674cd470e7b2092', 0.008409647400544128)
('26', '967686b2f2d3e2ed770929c3909a33991220d56a', 0.008270782170767377)
('1', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.008226364494723486)
('1', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.008226364494723486)
('1', '678d7e705b038c2dbc1dd5880d4c2f36f5ba54d4', 0.0077143613036091355)
('598', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.0075728427459666285)
('1', '441df645d26f24e9a0a4e5f7a85cfd966c71cd03', 0.007552788342146097)
('82', '6d9c6b7dd9f1741c7c7f39e190b948879253d92c', 0.0075315868294267155)
('9', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.006778501600913908)
('26', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.00649972764046824)
('598', '7daa15757ff7119e82506e6e980856859035a8ad', 0.006310691668862398)
('365', '719070cb5e16fc6667d514cf5e88117b16395755', 0.006288784184593145)
('9', 'f89aab14fa21c019295b4cc667399c1049f421b6', 0.006097467219142997)
('598', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.006086310817344571)
('1', '1fb9d88b51522797e845afea8c69066767ae1436', 0.0055188150386471365)
('9', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.004898395825738694)
