('1283', 'b3d792505c8b5b0558a0321828e01a4f8a200732', 0.6872507583753165)
('134', '40ab048af08764a8df2745094856065045eb1cc4', 0.6671396670553031)
('257', '41d19110e9a34d27f20285159a05a3738744cbc0', 0.6159884647524179)
('1489', '20f3c2c51d5d02634218b5647e6deabe3d243f0c', 0.5511369842154058)
('255', '6a471dbd52958a1fc9717d5a284fbd099480a895', 0.5341830590793486)
('255', 'cd2e8050e3c4fc53105620feacd29f97b55aa3a2', 0.5014197093537675)
('1361', 'cf3acb5ffd27211eb894ba0abf9aaa117d4966c9', 0.49559241227911077)
('1143', 'f260428151512245be461f6bc41b1717dd0773e1', 0.46927560540598046)
('1324', '69cb4fbe3a0604e43297ef801760a89c3e764ba0', 0.4670281313511621)
('1361', 'fabe908e13b6b8b8d14cb5a01e8b5ade5791d1aa', 0.4665717379399367)
('1361', 'd62879a423630dbf323e26b096682e4a3a3d2267', 0.4657236912081245)
('1434', '8334a5562597d5d5934f7a18a67da614a61da621', 0.46401042992645625)
('1355', 'f3be6b25d91a156b91ab6b73b025b3d768cdd45b', 0.454278056184178)
('362', '5015003855692b3d14929670ac83f2ddae08bd45', 0.44240776119659286)
('1144', 'f260428151512245be461f6bc41b1717dd0773e1', 0.43855842459161937)
('255', '781742eb703aa4f074c1fbc944e3020dc7cd51a5', 0.4195440919463153)
('775', 'c6caa3faaa50c50b38e60f429e575468969cbbb1', 0.4181009533444747)
('1258', '405b5abf00dc70af64104dfeba1b9602afb5b207', 0.4171340020413546)
('255', '41d19110e9a34d27f20285159a05a3738744cbc0', 0.4167905581352121)
('196', '64e43528ca65cf7e1b5fd27831cc5c82ea9e3514', 0.4117860590901311)
('257', '0415ea7814a1b8218b40b0520363e171d74aa065', 0.4067479061327009)
('1143', 'f9dbb3007125ab4dc4c42a0d5a6520894565f680', 0.40664312307959977)
('1143', '0de7d498a597446d3aa77d5dc13783793655b301', 0.3930322228663506)
('1144', 'f9dbb3007125ab4dc4c42a0d5a6520894565f680', 0.3824137824398547)
('132', 'c0874e07d1819b1bd4ba39b0b08a22d1155242c3', 0.3806621227296741)
('1144', '0de7d498a597446d3aa77d5dc13783793655b301', 0.36913604837737174)
