('9', '2202ec451af6f594399e6b0a3927a658e6391232', 0.9596047654265352)
('1019', '10bb800f85ac047071a942a3323fccebed3dac44', 0.9585584079988398)
('11', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.9583572359502142)
('528', 'fddaff1bd9b23022cb36b7fa4e8c273901e735f1', 0.958103378225546)
('780', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.9561127795245479)
('762', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.9561109953180912)
('11', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.9561027789125968)
('259', '764e1b6dc012ac6ce10b17e18ce9fcf95c400d9c', 0.9560284960491269)
('1019', 'bc399ba9f9b09e3b98b557f7372b737b79704738', 0.9550408418631073)
('894', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.9548501416607068)
('622', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.954119595722216)
('284', '025d36604b3ec1b6d63a0c50f956b9ceac19bb5c', 0.9512878496622352)
('284', '84a9aeb46cd53c98844304aebfef94eb4842cf09', 0.9508455352009528)
('284', 'bef6a66eaf107f6451a352b7d9cb71919e442fda', 0.9504866216269311)
('1083', 'b9c4884af137e92523b13c2799d1acca5f5d36a5', 0.9492225672740933)
('782', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.9491760799492525)
('873', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.9486323964712865)
('528', 'cd87ef00cce4b58ff8080bd388dcc454a158f7fb', 0.9482163879832438)
('990', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.9477193100345865)
('11', '025d36604b3ec1b6d63a0c50f956b9ceac19bb5c', 0.9468854093017592)
('1069', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.9464868127515832)
('11', 'bef6a66eaf107f6451a352b7d9cb71919e442fda', 0.946162620546819)
('256', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.9460263569554942)
('663', 'cef431c8af7fd05b8f3ec49983eeead178be4e08', 0.945434295881483)
('393', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.9448400798186964)
('284', '82f8a9fc980dd428eb45c8f66789564632723897', 0.9446760152934953)
('199', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.9444004960940295)
('208', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.9426899002718812)
('9', '4d36c60738345b6123ccdc16cde4688d167d5f73', 0.94217169547458)
