('32', '1047be7aadc6edb93bbca1f2ef81c9709faddb4c', 0.8949676531395144)
('34', '4732221e10b0b826ca2447af17f16a291081adca', 0.6447247877469509)
('34', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.6073473460805837)
('30', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.5981235896880873)
('17', 'bb9428f203b35c8331e7281afa7d668bc1689e27', 0.5753233410139661)
('34', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.4714925249976647)
('59', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.44730310838413745)
('34', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.4368581671852001)
('34', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.34721424421318303)
('61', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.32812564465448374)
('50', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.2788765845858019)
('43', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.2400223005553445)
('41', '4732221e10b0b826ca2447af17f16a291081adca', 0.20244000553291924)
('41', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.19069844258286225)
('73', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.1818032796114345)
('73', '4732221e10b0b826ca2447af17f16a291081adca', 0.18145279419778187)
('73', 'bb9428f203b35c8331e7281afa7d668bc1689e27', 0.1810990230539243)
('73', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.17093258766791203)
('41', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.13716462609385977)
('73', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.13268605750761442)
('54', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.12785555224668274)
('73', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.12294234950921404)
('73', '7e31bd50a933f4603bf66fda9f7b4344bd9f7a03', 0.11378880769359312)
('73', 'fcac93ed76c9c55fce2628e4bc3bc1bb0f32e7e4', 0.10791886113736018)
('30', '4732221e10b0b826ca2447af17f16a291081adca', 0.10359789525820612)
('73', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.09772071034673836)
('73', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.09022914951084408)
('73', '1d10a392f8e403e49c4551a58edda7967ef3e6f3', 0.07804475618497043)
('50', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.06842762222905498)
('30', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.06195660871803755)
('30', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.0582187859697076)
('73', '4aed57ce101ecbb9f0eb1b9b210b9796d776a891', 0.05654003169099126)
('73', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.04455305964920806)
('30', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.041903458983848625)
('30', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.033277126016699965)
('73', '1047be7aadc6edb93bbca1f2ef81c9709faddb4c', 0.03192987075440781)
('30', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.03074366053148744)
('73', '6eb98ea0155ecc560af9d61b12711f532f61fa6d', 0.025752754338363413)
('34', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.017279047180420875)
('20', '00f8f80387e04ce35ebb30d9e4446feff18871e5', 0.016593661538224867)
('30', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.015172206287180787)
('30', '1047be7aadc6edb93bbca1f2ef81c9709faddb4c', 0.010883475241863859)
('19', '00f8f80387e04ce35ebb30d9e4446feff18871e5', 0.00548825283096421)
('73', '00f8f80387e04ce35ebb30d9e4446feff18871e5', 0.005141158286679039)
('73', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0048630416852854744)
('30', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0016559341811462458)
('35', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.0015770112012391537)
('73', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.0)
('73', 'ed3810827df9f47ee0936b68e4e80ba8d8c451ed', 0.0)
('73', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.0)
('73', 'f814c6ae28e56ad23002f44f419e99074c111c52', 0.0)
('73', '026bfff2cb95efeee04a37e97683a9f366a24146', 0.0)
('73', 'eceaa0e70458b55bee7608d1b80dbf50f5cbf54c', 0.0)
('73', 'd8e9cfacec7d0384862714c01c235fbf1c9187af', 0.0)
('73', '7163edf53fe9194cb0246d31ead4e160bf18389b', 0.0)
('73', '98426917fab0c0b20b85dc4403f1e433644f00ef', 0.0)
('73', 'c07664dbf59eddf509d2a67ddee4517f79887110', 0.0)
('73', '77ed35bcae65ef83ed0760b6bc918b7b82e2f237', 0.0)
('73', 'e990c1551701018e1179390ded792c08b5ef9a5b', 0.0)
('73', '6e8695c466bb1be388ce9a6908035f22a2cb21a8', 0.0)
('73', 'f72e20690364c439618211610f34fe94050311a8', 0.0)
('73', 'aff5e47f51602e7691987eabc1cca03df49d973e', 0.0)
('73', 'e449763453bc09b38385fe380d61c4f037fc07bb', 0.0)
('73', '6a0bb9b55c52db0d5c4e0bf66bb4ce531a8169a8', 0.0)
('52', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.0)
('52', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.0)
('52', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.0)
('50', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.0)
('49', 'ed3810827df9f47ee0936b68e4e80ba8d8c451ed', 0.0)
('47', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0)
('44', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0)
('43', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.0)
('42', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0)
('42', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.0)
('42', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.0)
('39', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.0)
