('1283', 'b3d792505c8b5b0558a0321828e01a4f8a200732', 0.6988881934545718)
('362', '5015003855692b3d14929670ac83f2ddae08bd45', 0.6029622353690882)
('775', 'c6caa3faaa50c50b38e60f429e575468969cbbb1', 0.5624365552702534)
('1489', '20f3c2c51d5d02634218b5647e6deabe3d243f0c', 0.5513241247797166)
('1143', 'f260428151512245be461f6bc41b1717dd0773e1', 0.5259019100391501)
('1144', 'f260428151512245be461f6bc41b1717dd0773e1', 0.5079294445349914)
('257', '0415ea7814a1b8218b40b0520363e171d74aa065', 0.4979471979715065)
('363', '5015003855692b3d14929670ac83f2ddae08bd45', 0.4926035547792012)
('1143', 'f9dbb3007125ab4dc4c42a0d5a6520894565f680', 0.48791383840705477)
('1144', 'f9dbb3007125ab4dc4c42a0d5a6520894565f680', 0.4740736106776047)
('1143', '0de7d498a597446d3aa77d5dc13783793655b301', 0.46965767355855237)
('1355', 'f3be6b25d91a156b91ab6b73b025b3d768cdd45b', 0.4686011129494299)
('1144', '0de7d498a597446d3aa77d5dc13783793655b301', 0.4559849410992677)
('1344', 'f6c7241c0081513f63b010a18a79a14abc6f0562', 0.44510754964526383)
('1258', '405b5abf00dc70af64104dfeba1b9602afb5b207', 0.4361019069570022)
('257', '41d19110e9a34d27f20285159a05a3738744cbc0', 0.4289877618160056)
('1353', '1cd9a08fd6b32fd2ee8390abe325eb04489c6801', 0.4060276766838282)
('1355', '1cd9a08fd6b32fd2ee8390abe325eb04489c6801', 0.3850850839396463)
('629', 'b526ced5f922c2c9979b144a3cb902d9b32222c3', 0.36726949551388305)
('257', '12fa58a62550d87492157d1bc263bb1dbfca1bc5', 0.35975841649404156)
('1353', 'f3be6b25d91a156b91ab6b73b025b3d768cdd45b', 0.3577187136353549)
('666', 'fedb3eb2e38c5cfdee100e797614cd4cf2fa06c3', 0.3567358640374376)
('777', '119c6aab1a84ea1c717de446cc50e1ca4c720ccc', 0.35487053640085475)
('320', '93e03cf2b5d09f35abe531f967b3048f36dbe935', 0.3541451593937642)
('134', '6a471dbd52958a1fc9717d5a284fbd099480a895', 0.32741225556820913)
('1051', '6f9c746d71f2135dedbf4fbec56a072b64fc1483', 0.31909518768420103)
('134', 'c0874e07d1819b1bd4ba39b0b08a22d1155242c3', 0.3160277452523896)
('134', 'e88fe5d08750ccc57dcaa1becca595542ee49415', 0.3146677930162963)
('132', 'c0874e07d1819b1bd4ba39b0b08a22d1155242c3', 0.3130864096273764)
('1226', '3fec21eafc33140a6dc68e266c629b2b2c492e89', 0.30953496904177125)
('125', 'c0874e07d1819b1bd4ba39b0b08a22d1155242c3', 0.30337951922297735)
('134', '7592ef90fcf41af76ef4be103c7ec729b1c88186', 0.3019818279253916)
('370', '8000e6d96ce2d2a5f5ed79c01d4e454fe446220e', 0.297883283916271)
('257', 'a4e1e95132ca08f1b131e08797f030dc183da8ab', 0.296148516918583)
('134', '40ab048af08764a8df2745094856065045eb1cc4', 0.2956874722426442)
('230', '14cd565e8ffd3c1edc4909c9cba29e135f9d92b5', 0.2914122088614565)
('132', '7592ef90fcf41af76ef4be103c7ec729b1c88186', 0.2909233439020137)
('135', 'c0874e07d1819b1bd4ba39b0b08a22d1155242c3', 0.28974551029198786)
('132', '78c80c00158d1c29c6d14a9cc6b25ad994b17a11', 0.28861458406279106)
('1027', 'df150ef9adb90a58bc08af6ee471a491df0e6e93', 0.28752652244643273)
('470', '47956ce6ca7261a97b0c00bb65b4d1b74c582477', 0.28735997943211805)
('134', '78c80c00158d1c29c6d14a9cc6b25ad994b17a11', 0.2867473934183575)
('257', 'd621939d7436307405771c19c854914f1a5557fa', 0.2849981298503)
('688', 'a8f244518c50de0f87eb843ea04d57469c7f4f5a', 0.283254547461457)
('135', '7592ef90fcf41af76ef4be103c7ec729b1c88186', 0.2825119885016869)
('132', 'e88fe5d08750ccc57dcaa1becca595542ee49415', 0.2822460233087909)
('124', '3c59441415c47a8671cd6916c2953637978e6b17', 0.2776968437533236)
('125', '7592ef90fcf41af76ef4be103c7ec729b1c88186', 0.275735125397879)
('125', '78c80c00158d1c29c6d14a9cc6b25ad994b17a11', 0.2728006438881578)
('135', '78c80c00158d1c29c6d14a9cc6b25ad994b17a11', 0.27146101091400404)
('132', '89837fc3410088ab0cc378c75c57cbf45fab612a', 0.27146081605031497)
('134', 'bd151f069af80615ee8ecacb36326de4db2f99bf', 0.268961427079106)
('125', 'e88fe5d08750ccc57dcaa1becca595542ee49415', 0.26844805573903674)
('135', 'e88fe5d08750ccc57dcaa1becca595542ee49415', 0.26832274435171444)
('134', '89837fc3410088ab0cc378c75c57cbf45fab612a', 0.26569323031320824)
('132', '6a471dbd52958a1fc9717d5a284fbd099480a895', 0.26419955606092954)
('1221', '053f0de589836da38e4eda0b3e17d07646bc97c5', 0.26412422740269986)
('134', '389bb1c9822177cfa4063a2fe4469d026f3d8c0e', 0.2640772973549544)
('470', '7a1f09b3284880858894486fc5f2506ff4b23f52', 0.26278983239042786)
('134', 'bea0124a2d6e5728b6f7ed9c790edbecb4639dd2', 0.2620463786965759)
('132', 'bea0124a2d6e5728b6f7ed9c790edbecb4639dd2', 0.26126771052766423)
('135', '12fa3431f7fc8ce4092c2442cfa1f6308e3b2fb9', 0.2597246050729848)
('135', 'bea0124a2d6e5728b6f7ed9c790edbecb4639dd2', 0.25636644473009945)
('125', '89837fc3410088ab0cc378c75c57cbf45fab612a', 0.2558241075862253)
('125', '12fa3431f7fc8ce4092c2442cfa1f6308e3b2fb9', 0.2534409972368947)
('134', 'cf5fc1092957a25465efe1369a45fc0ead1b5aed', 0.25253144654296633)
('1440', 'd33238ce7b95aa4cb46e5c589ef57cb22288eed6', 0.2518599777738012)
('1440', '92fd2a7fad7c31206957884c910dfe47c0f5f020', 0.2518599777738012)
('1439', 'd33238ce7b95aa4cb46e5c589ef57cb22288eed6', 0.2518599777738012)
('1439', '92fd2a7fad7c31206957884c910dfe47c0f5f020', 0.2518599777738012)
('135', '89837fc3410088ab0cc378c75c57cbf45fab612a', 0.25024835565095116)
('125', 'bea0124a2d6e5728b6f7ed9c790edbecb4639dd2', 0.25016408203687707)
('977', '403cdf13a1490019d9c426bd72189ff9a0833d7e', 0.25008165035022895)
('255', '6a471dbd52958a1fc9717d5a284fbd099480a895', 0.2500780447972484)
('132', 'bd151f069af80615ee8ecacb36326de4db2f99bf', 0.24877400069695657)
('132', '12fa3431f7fc8ce4092c2442cfa1f6308e3b2fb9', 0.24637413550548176)
('132', 'cf5fc1092957a25465efe1369a45fc0ead1b5aed', 0.24632639603332576)
('135', '6a471dbd52958a1fc9717d5a284fbd099480a895', 0.24499848740087005)
('886', '7eabbeae6aaf0d63d59cd7dd753d89254aa70324', 0.24424836631288324)
('135', 'cf5fc1092957a25465efe1369a45fc0ead1b5aed', 0.24236434816954372)
('125', '6a471dbd52958a1fc9717d5a284fbd099480a895', 0.2390711536589255)
('470', 'f2f2fe289527f179482074f37ad8f2ac98957b69', 0.23873772057637385)
('124', '67a33cc782e983e4bdf4a1b9f8ec6dda7988ceaf', 0.23679675129998784)
('640', '84cba53ad2d8e9b76b9ee185e23bbc6e4652db88', 0.2367828228595064)
('134', 'ae90e991973d0d9d1f6bd078a6f2965f46ca0a45', 0.23667742045471296)
('125', 'cf5fc1092957a25465efe1369a45fc0ead1b5aed', 0.23650074307552865)
('470', 'aa139a5531348767c56cc3e3a134253659af6dcd', 0.23429301910496006)
('134', '1a60230e72f9dc496f07567c323d94bbc92ee3c7', 0.2317584396067184)
('132', 'ae90e991973d0d9d1f6bd078a6f2965f46ca0a45', 0.2314602138560091)
('778', '119c6aab1a84ea1c717de446cc50e1ca4c720ccc', 0.23138930120064094)
('794', '309ef9ba00ac880766c35567b53f0d06e3fa735b', 0.22995853809856526)
('628', '84cba53ad2d8e9b76b9ee185e23bbc6e4652db88', 0.22955234594811166)
('639', '7a5dca48ae837e143110c66a37a1f6a5bfa12e9a', 0.22772751932220955)
('666', '61d53e2a0693f80752a71797d40306f7f7ab5af4', 0.22735630814929594)
('470', '8c05c7d45ef811d0e7c2c97a05f55c0d729b21cc', 0.22369010333634307)
('132', '389bb1c9822177cfa4063a2fe4469d026f3d8c0e', 0.22361059462861832)
('228', '1a60230e72f9dc496f07567c323d94bbc92ee3c7', 0.22283105005662482)
('470', '24f32a274ba632cd06e6e5a1ed622078bb02f13b', 0.2217987118587959)
('583', '816f2c446fadb431fbd89e3cd260cad9bd8b4ca7', 0.22174717108989464)
('124', '2b9fe73427e621147dfacc511ddf397007252f47', 0.22007383867449615)
('134', '12fa3431f7fc8ce4092c2442cfa1f6308e3b2fb9', 0.2194719906579108)
('1227', '3fec21eafc33140a6dc68e266c629b2b2c492e89', 0.2157867303960098)
('135', 'bd151f069af80615ee8ecacb36326de4db2f99bf', 0.2156051331397127)
('135', '389bb1c9822177cfa4063a2fe4469d026f3d8c0e', 0.21545660981747689)
('257', '7b5b8252502c355ced2ba5f728dc90e22dbae7c8', 0.21503130179068042)
('135', 'ae90e991973d0d9d1f6bd078a6f2965f46ca0a45', 0.21437520998235926)
('125', 'bd151f069af80615ee8ecacb36326de4db2f99bf', 0.21187712204580014)
('132', 'b17b8103e92c3f029f03dc50ebfa2e97cb8ef07d', 0.21165101167787448)
('125', '389bb1c9822177cfa4063a2fe4469d026f3d8c0e', 0.2102439930097391)
('134', '5cc7e2f4e1221367d84e96cf07199090fbf660a0', 0.20960850374449433)
('629', '8954b954b80e8bb8e8ce6f604c43ce4e752dd2fc', 0.209184829689782)
('470', '3548251cfb286dd0e8f79162215ae4723cba04ff', 0.20867721178452073)
('1031', 'a7be52d4aa5698d445be2baadc4ce5ec907d28d8', 0.20863628813945667)
('257', '781742eb703aa4f074c1fbc944e3020dc7cd51a5', 0.20653331781186834)
('640', '9d4c478dd24c5e50bd1410d3a914a3f52be6badb', 0.2051602571393286)
('532', '84cba53ad2d8e9b76b9ee185e23bbc6e4652db88', 0.20295996625950943)
('1324', '69cb4fbe3a0604e43297ef801760a89c3e764ba0', 0.20180609063754174)
('777', 'c6caa3faaa50c50b38e60f429e575468969cbbb1', 0.20100810049203574)
('202', 'ef95fb5c71f213fc8a80925b8291821b0ecf85db', 0.19949211950854315)
('1006', '4e7f60410c314a9e95d40e8466d0ff5e5ecb2c8f', 0.19907949837841976)
('628', '9d4c478dd24c5e50bd1410d3a914a3f52be6badb', 0.19645826382650827)
('135', 'b17b8103e92c3f029f03dc50ebfa2e97cb8ef07d', 0.19494076339163066)
('326', '4f2e8a12f7457fd8034f142d28cc0be80ff9cbe1', 0.19422624446295117)
('780', '409b25cbbf72a2fd48ab1e6be90a95a47b543be2', 0.19351142792344841)
('124', 'a621ebdf9dce5cf2637a14701fd8f9a6684ed83f', 0.19204549152576167)
('659', 'e02999f1ca777befb4f288e1572cd4b857fddf20', 0.1908292314704263)
('125', 'b17b8103e92c3f029f03dc50ebfa2e97cb8ef07d', 0.1902244936024175)
('194', '78c80c00158d1c29c6d14a9cc6b25ad994b17a11', 0.18887373679312747)
('1004', 'fff00a7a5e189dae3412409929ed010e8a2f14fc', 0.18728848488265395)
('600', 'd088ca4628f123044fb06642da9e7588a13a3c8a', 0.18675226197823858)
('132', '4f2e8a12f7457fd8034f142d28cc0be80ff9cbe1', 0.1854628730380297)
('257', '5cc7e2f4e1221367d84e96cf07199090fbf660a0', 0.18476376816454576)
('1410', 'a54b9980e702329290531efc01fa8918345c3932', 0.18425957999576822)
('1410', 'e01ba9e368674bd983eb4300ddb021840583b865', 0.18425957999576822)
('754', '1f2f6131c581c245f9e68bc8777e6e63f44b0a24', 0.18403810219524572)
('255', 'cd2e8050e3c4fc53105620feacd29f97b55aa3a2', 0.1814344586662481)
('306', '3f6751f2ce256d9e3643d75948f740c24c873a8b', 0.1803965880793726)
('888', '7eabbeae6aaf0d63d59cd7dd753d89254aa70324', 0.17988735108330414)
('1408', 'a54b9980e702329290531efc01fa8918345c3932', 0.17777951361854927)
('1408', 'e01ba9e368674bd983eb4300ddb021840583b865', 0.17777951361854927)
('134', '9e082db95ca35eae1003166c622141d0f2a84921', 0.17740954508157186)
('1249', '405b5abf00dc70af64104dfeba1b9602afb5b207', 0.1760309394356402)
('532', '9d4c478dd24c5e50bd1410d3a914a3f52be6badb', 0.17369965195930917)
('911', 'aa7635df8537dad8ab29b8b2575058cc4028c044', 0.17284110876333345)
('328', '14cd565e8ffd3c1edc4909c9cba29e135f9d92b5', 0.1725349398905509)
('125', 'ae90e991973d0d9d1f6bd078a6f2965f46ca0a45', 0.17242841906650377)
('391', '95271abdbd66da879fd7f239c59f9796ddfc9283', 0.17140851797940312)
('532', '73bdf56b39f45b8041db4f979d21cf1597232b33', 0.17024350993773507)
('107', 'ef95fb5c71f213fc8a80925b8291821b0ecf85db', 0.1672479696797526)
('132', '41d19110e9a34d27f20285159a05a3738744cbc0', 0.16578566766410874)
('320', 'a83051be401b1f5a1a26af69e72f85cdb4643d0c', 0.16502147008665805)
('134', 'c50b8044ec89aa87e742507031eacbcb0cd1762d', 0.16494049875840022)
('725', '8e26f2d514847dbb28ed5671a94cce43da65c634', 0.16456151175198358)
