('2117', 'f6863f013b91917b8c4ff45610b7b07b8f14a700', 0.9850687758868246)
('975', '9a925d49fcc0a726e37df8bbca248aca86a83a9c', 0.9718070247627552)
('786', 'f2569d1797644751699068d1fe98ba85e9215ebf', 0.9685809062644972)
('149', 'fd094442ed6e640c632440726b218d914f26a9dc', 0.9513102456135549)
('2485', 'd0a0aaf073c28dc26a33e73b360267ef17c219c3', 0.9451923689903615)
('1759', 'a31afb10c402a996e2eee28ef4408d66932dd962', 0.9443530118838234)
('1261', '72852915a32a567c2adf3b991e5ef1d4d2eb0c5f', 0.943942740396511)
('769', '831122921b7f3aa81c49305d15504ad9a299be0d', 0.943035372267878)
('1709', '2733d93e92d11e2ac70ffcdf5107a6fb1cd50310', 0.9359297826112665)
('1799', 'cb7bf9a76b4bc7a07849c3cb3fe99a993207853f', 0.935722914288733)
('2412', 'eb35a358c0b9cd3f45718335f0602335dae0d7df', 0.9341524399851407)
('1785', '582ac117b8391fc8a687bbe706a207fb2f2a1ea7', 0.9290096171103184)
('414', '0f14cb965b19312ffbac47fd0a83f2efd4f0c36f', 0.9269050277034193)
('1598', '427c16d9556cf233164f9afd67d5f437d59e7921', 0.9199617103545268)
('769', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.9056015158930429)
('471', '009168b309ad364c90eb929413e414ef2dfeb01d', 0.9052578319141178)
('949', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.9047092389438064)
('394', 'f1930d284e9fe55695c9e5c7919cc1819e603945', 0.903072663724508)
('2319', 'acfa688a658bbe58c05bb97b59c404fe941f9839', 0.8945792268493336)
('1695', 'e98fba644d8584a5d40a07ec243411d1a1d1942b', 0.8916312740234265)
('1695', '595743a362d22e3b04c10950211802c114db47a5', 0.890125979441211)
('1707', 'ae1d3701593cafdec238c35b45612eea8bd51504', 0.8820205461368181)
('1717', '063ca30b4153ca10bdbb60d0cb64856bd97efd70', 0.8817214683110205)
('872', '3934f9bec77e39a1746d9edd347055efc5d74b1f', 0.8803289165725148)
('1695', 'f1eb24a1dee85eb5c5b3471760928d57e79ac89b', 0.878253593869238)
('2545', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.8741391313146786)
('2119', 'eb7471eb47b8d93ee9bccac65b9e3bb6a53deda6', 0.8693989788139842)
('1542', '28ac36700313aecde40522e468d53b9b4de3a984', 0.869155455118768)
('1717', 'eb35a358c0b9cd3f45718335f0602335dae0d7df', 0.8669213903947698)
('1598', 'eb35a358c0b9cd3f45718335f0602335dae0d7df', 0.8645617341133156)
('1380', '637ce1627e4943166f274ca30409e193433532a1', 0.8644855672840339)
('2271', '1c331c217d48c1186b0cb2d9ccb9b06229c0a6df', 0.8613054140863191)
('783', '5147c46ade6bf649b43a79f54bd2b5751b4c52e3', 0.8498535536088478)
('769', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.8445342903797517)
('1598', 'b4479d515cc892c019b468b633fb42d5d9c2b693', 0.8422210017407392)
('2374', 'f8b79a9b74684b6924a72be4bc4007cf9aaf0abf', 0.8414470108978561)
('1651', '7322da961ba933bc35e14f2c959f728572988e0f', 0.8413829238661092)
('2183', 'fd872b99440b6484a16338400e56a470009325a8', 0.8378270085639103)
('2545', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.8351175793436925)
('1922', 'b4479d515cc892c019b468b633fb42d5d9c2b693', 0.8349759207663758)
('949', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.8323385392839779)
('1598', 'f26621dcddbbbdd64e70a7b0e8aebf8f80a35efb', 0.8311269424614113)
('98', '22dda86b3dd24305fd3d2c5d9555cfe4f620694a', 0.8303450174467558)
('1131', 'e0a1b49e4b98a378a98936270f0cc308669f1b24', 0.8299268537874972)
('2183', '0604a3c71b790d804eda9956bae0851ed149620a', 0.8294297626289888)
('1598', 'c6abf24e650f535904c5900b4f0f5c30e86d9c2c', 0.8292505060129984)
('1283', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.8215165520799824)
('1507', 'b0c791e00760488d76b0634c84dc3b5a239ef4ec', 0.820243990288708)
('1717', '427c16d9556cf233164f9afd67d5f437d59e7921', 0.8187527960123041)
('2183', '6d9c176450b430fc23bb8da4c73142cafe505ad4', 0.81860294022099)
('949', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.8179137123774425)
('2183', '7ced41022881aa4796ab4779b98d82b89a022300', 0.8167518172301036)
('1315', 'c82d751da5768977da5bb6a47333293e8efaadf8', 0.8140044534264541)
('1695', '87e3f8ae253381eb9fc707e65b58f016823cf46b', 0.8126482332410716)
('1832', 'd982beed4b4da5125785fb4d2095a05c162cec91', 0.8064802196713438)
('949', '831122921b7f3aa81c49305d15504ad9a299be0d', 0.8033258659638296)
('769', '16ea7700ed83aa1ba40784b9a404f66648315801', 0.8026444216242841)
('162', '7de7072d09fea20047bb549afceebe7641d912fb', 0.8015656952095617)
('1717', 'fb7f16956bc1b6acaae480143ef1ce0a6ca3f6fe', 0.800688736070332)
('2313', '0f10b84a83d0f35249c1b3efc5492785f634f52e', 0.7984948716990203)
('2545', '43a367357ab7ae51da174c718e556f42e43f5fa9', 0.7984865956967441)
('2183', '087c740ce8751b2f95b6cbfb20b992bdf9772347', 0.7975206480825839)
('1259', 'f8987afaec6e09d6e0e1474c58fdf7c11378096f', 0.796644001081347)
('129', '88908b5f25a20efb2d548d6501c3f486b1e3f74a', 0.7963007474654372)
('1815', 'f2708bb208a8e4d2139b2c6a9ca71ec632483d8a', 0.7937088764889872)
('1798', '0d8e5549e52a3a42e6737e3449be5b0bb13263cc', 0.7927458815788747)
('2545', '831122921b7f3aa81c49305d15504ad9a299be0d', 0.7921873525537977)
('2183', 'ba13f107c934b223412ee339a8cc01579577c378', 0.788212381207678)
('2723', '40ad7f9dc3b0d012991253c3d65f695c7de6c2d8', 0.7847079877053874)
('2135', 'cb7bf9a76b4bc7a07849c3cb3fe99a993207853f', 0.7817875889394643)
('2183', '00eefb99b428759d73095b252fc60c191ace432a', 0.7806933452038505)
('1542', 'e9334f09e2baed8be847115ce79a3d536dcdd44f', 0.7805245568477712)
('2088', 'f26621dcddbbbdd64e70a7b0e8aebf8f80a35efb', 0.7795271735775483)
('2183', 'fb8dba752051a0280f4356eb90eea3f1c8e8ed5b', 0.7791846666532757)
('769', '01bae142762179b1e97abb6e9a0ff9cba4983b1b', 0.7779652341621515)
('769', '5170a3b9447c629193d01085442beb4e7e3755ce', 0.7779587070382726)
('1309', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.7778301843026605)
('769', 'a31afb10c402a996e2eee28ef4408d66932dd962', 0.7776508726515354)
('1542', '8ec64dcbf569339cb367862902694a65e13d0345', 0.7760587739252496)
('769', '3633d126d4943e2e023ba02eab10b8a628552b4b', 0.7760551635972276)
('1542', '1ff5f52b268c6700fea22ce4edfa53cd5928cbf5', 0.7754804015248806)
('2271', '729e203df97e1b228d75ce300d03ee82281d4569', 0.7735320299472993)
('769', 'eb7471eb47b8d93ee9bccac65b9e3bb6a53deda6', 0.7725588103667358)
('769', 'a588725f6514e8e47b74e249c83e782670f63a67', 0.7725532319401234)
