('294', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 1.0)
('49', 'ff144a99050c38fbd80f304c511d60d5c613aa72', 0.9954738527357798)
('376', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.9915722259073869)
('295', 'ff144a99050c38fbd80f304c511d60d5c613aa72', 0.9907443033402848)
('373', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.9886914182411417)
('353', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.972934501299927)
('308', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.971467174674744)
('160', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.9101529745257326)
('334', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.9046503370395891)
('334', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.9042181661754127)
('62', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.888663215978037)
('334', '65794585337c77575d0805c92cd4f6ead12becd8', 0.861433968632567)
('83', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.8455413096075952)
('110', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.8350888935745213)
('293', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.8254716727592116)
('83', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.8159073842568897)
('83', 'a889be240af925d8131289539cfce9c63478c7f3', 0.8005670518543783)
('254', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.7962716122184875)
('117', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.7939086401515225)
('71', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.7937625727847886)
('399', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.7693930489275481)
('352', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.7592811006841762)
('373', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.7552104291300142)
('1', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.7544915684266811)
('116', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.7515013023959901)
('376', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.7423345052685488)
('12', 'a889be240af925d8131289539cfce9c63478c7f3', 0.7403878453634903)
('116', '31b156c3f747f752af791b65c4afa71692d320d5', 0.7183142343455963)
('12', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.7175426751286637)
('141', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.7165769739067337)
('37', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.712716558424741)
('285', '7a9f7be867ea2dedaf7bdb0117c8441437b7d007', 0.7070267145512927)
('285', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.7070212929999552)
('210', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.7039760145112754)
('334', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.6980568980558893)
('210', 'ea0ac3b01b1b73a39064522704d1e0a41c2c6f1c', 0.6918744021359402)
('117', '25768640fa98733e021e59af93a75597e6b819b5', 0.6771048964255297)
('53', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.6604111413587507)
('53', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.6604105019151061)
('83', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.6597446900355816)
('304', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.6564349255368526)
('1', 'ff144a99050c38fbd80f304c511d60d5c613aa72', 0.653493215685779)
('304', 'ea0ac3b01b1b73a39064522704d1e0a41c2c6f1c', 0.6451172613285521)
('61', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.6378043834239021)
('429', '0e16be23a4e3434ee32292a006a12accc1096955', 0.633482219920086)
('401', '0e16be23a4e3434ee32292a006a12accc1096955', 0.6328356398536821)
('53', '65794585337c77575d0805c92cd4f6ead12becd8', 0.6288321884506005)
('12', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.628719470311982)
('56', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.6250288458057317)
('11', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.6150994848377864)
('352', 'ef2007bf4c6b491440721cf5b42c1fec2e9e602d', 0.6067216202504097)
('12', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.6066855226825463)
('217', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.5903887747971106)
('217', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.5900325811945628)
('376', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.5794004208157522)
('254', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.5787473488660304)
('373', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.5748849894836197)
('47', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.556560435911796)
('334', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.5540522986967343)
('285', '0e16be23a4e3434ee32292a006a12accc1096955', 0.5448694619079055)
('217', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.5363776021865918)
('83', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.5303008844892786)
('53', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.5214291540621884)
('110', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.5147619790984087)
('56', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.5095102266562205)
('110', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.4967021682009702)
('12', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.4909321990610236)
('110', 'a889be240af925d8131289539cfce9c63478c7f3', 0.48740118701147567)
('329', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.4587984453486278)
('47', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.4571273644097574)
('443', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.44379213847953886)
('167', '0e16be23a4e3434ee32292a006a12accc1096955', 0.42699806740517504)
('285', 'ef2007bf4c6b491440721cf5b42c1fec2e9e602d', 0.4249777706512794)
('117', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.42181806071465167)
('334', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.42023477629729)
('254', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.41453622999739614)
('334', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.40322160304728777)
('110', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.4016829401522392)
('12', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.3943464422631355)
('83', '25768640fa98733e021e59af93a75597e6b819b5', 0.3930914378151192)
('334', '1200571eca343d402f7fb1831b4c45acbca35438', 0.3897762394146348)
('217', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.38845045970831227)
('210', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.38372593771110886)
('210', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.37733176875925134)
('141', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.3715951254688946)
('401', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.37089448545546444)
('429', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.3707855128617237)
('165', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.36727539513421864)
('53', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.36717956577867555)
('304', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.35784783959344924)
('443', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.3523603811977625)
('304', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.3518603234109629)
('443', 'ea0ac3b01b1b73a39064522704d1e0a41c2c6f1c', 0.3463738105615623)
('110', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.3228146160559504)
('141', '25768640fa98733e021e59af93a75597e6b819b5', 0.31703075423865446)
('12', 'ff144a99050c38fbd80f304c511d60d5c613aa72', 0.2983489452612831)
('12', '25768640fa98733e021e59af93a75597e6b819b5', 0.2925880159004554)
('254', '65794585337c77575d0805c92cd4f6ead12becd8', 0.2920796348352567)
('329', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.2872989685989114)
('53', '1200571eca343d402f7fb1831b4c45acbca35438', 0.28464895787549166)
('53', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.28165830150175597)
('235', '982b80f1c07477b39cd699bcfabd63c93488395e', 0.2793307976711541)
('217', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.27792369083486734)
('329', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.27723460535704786)
('329', 'a889be240af925d8131289539cfce9c63478c7f3', 0.2720263029455973)
('165', 'd48b60998bf75de952386eb45916c0873ac93afc', 0.26103551242684747)
('83', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.26008425882797126)
('83', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.252337815521855)
('481', 'a889be240af925d8131289539cfce9c63478c7f3', 0.2455192455927548)
('8', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.24529167692954035)
('114', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.24524627037352334)
('215', 'a889be240af925d8131289539cfce9c63478c7f3', 0.24415646012324468)
('449', 'a889be240af925d8131289539cfce9c63478c7f3', 0.23915018003541408)
('110', '25768640fa98733e021e59af93a75597e6b819b5', 0.23889744225629322)
('53', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.2384862145115685)
('254', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.22895497473952495)
('235', 'a889be240af925d8131289539cfce9c63478c7f3', 0.22881691240094715)
('167', 'a889be240af925d8131289539cfce9c63478c7f3', 0.2270120781518249)
('329', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.22428173357742368)
('167', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.2142874101502839)
('353', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.20260641371779795)
('37', 'f689275dab200faf2ec6caca615f9477b6337878', 0.19970313409864443)
('37', '016503c9a1b5f5ebe9974fbfd835a664453f31f4', 0.19970201237440754)
('353', 'ea0ac3b01b1b73a39064522704d1e0a41c2c6f1c', 0.19914189097489068)
('141', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.19817753445283856)
('217', '65794585337c77575d0805c92cd4f6ead12becd8', 0.19606231247270844)
('12', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.19346387547067354)
('443', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.1920749409255819)
('443', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.18889338603132264)
('12', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.18870792847832463)
('449', '0e16be23a4e3434ee32292a006a12accc1096955', 0.18508063222953508)
('304', 'a889be240af925d8131289539cfce9c63478c7f3', 0.18384753016698402)
('329', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.180185276917209)
('110', 'ff144a99050c38fbd80f304c511d60d5c613aa72', 0.17965277781717207)
('53', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.17191734816669824)
('449', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.16374395664689564)
('449', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.16016057353848825)
('110', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.1584490176232669)
('449', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.15581066697800341)
('449', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.15554918302325027)
('217', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.15354813333972922)
('110', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.15300810986007393)
('480', '982b80f1c07477b39cd699bcfabd63c93488395e', 0.1493588050455368)
('308', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.1493425489922106)
('449', '65794585337c77575d0805c92cd4f6ead12becd8', 0.14815450789866252)
('285', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.1337278162657479)
('329', '25768640fa98733e021e59af93a75597e6b819b5', 0.13329318852329672)
('117', '31b156c3f747f752af791b65c4afa71692d320d5', 0.13262247888613427)
('449', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.12283333998375827)
('83', 'ff144a99050c38fbd80f304c511d60d5c613aa72', 0.11798166644828251)
('56', '25768640fa98733e021e59af93a75597e6b819b5', 0.1176426223281692)
('285', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.11341604191667017)
('449', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.11112355391865898)
('334', 'ea0ac3b01b1b73a39064522704d1e0a41c2c6f1c', 0.11084793157264711)
('353', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.11038079069342523)
('353', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.10841015974044364)
('56', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.1057974846195484)
('47', '25768640fa98733e021e59af93a75597e6b819b5', 0.10445598738756182)
('117', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.09923391776886852)
('56', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.09785351616978723)
('295', '955b479383d02ea02740df49152710fef49afc44', 0.09740038658644315)
('295', '4f61bb0b62419f485adb942c398df18e2c276448', 0.09739582854802394)
('352', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.09717605230893683)
('481', '0e16be23a4e3434ee32292a006a12accc1096955', 0.0965062278601196)
('47', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.09420060889687436)
('329', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.08837183657808023)
('285', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.08756441424521165)
('334', '0e16be23a4e3434ee32292a006a12accc1096955', 0.08719452914392901)
('47', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.08710360688442514)
('353', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.08659205592136765)
('329', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.0859501521425719)
('449', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.08547756478634239)
('352', 'ff144a99050c38fbd80f304c511d60d5c613aa72', 0.08477916812896534)
('71', 'ff144a99050c38fbd80f304c511d60d5c613aa72', 0.08264490114396873)
('160', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.08252491740253252)
('295', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.08108177425742417)
('53', 'ea0ac3b01b1b73a39064522704d1e0a41c2c6f1c', 0.08088391024452761)
('293', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.07762001036428968)
('215', '0e16be23a4e3434ee32292a006a12accc1096955', 0.07530691448425378)
('295', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.07501156521612636)
('117', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.07477636360768568)
('235', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.07330051842161368)
('376', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.07199772667841146)
('373', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.07177890863334692)
('110', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.07114847673604906)
('235', '0e16be23a4e3434ee32292a006a12accc1096955', 0.07067961496182366)
('399', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.07015318863100836)
('353', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.06984732530083464)
('449', '1200571eca343d402f7fb1831b4c45acbca35438', 0.06704981295157722)
('449', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.06549802111809014)
('47', '982b80f1c07477b39cd699bcfabd63c93488395e', 0.06377716611737973)
('61', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.06230508581558315)
('141', '31b156c3f747f752af791b65c4afa71692d320d5', 0.061966360597435814)
('235', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.06144919597501015)
('334', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.059955633112375985)
('304', '0e16be23a4e3434ee32292a006a12accc1096955', 0.056774739461552294)
('235', '25768640fa98733e021e59af93a75597e6b819b5', 0.05248179191006489)
('110', 'd48b60998bf75de952386eb45916c0873ac93afc', 0.050653019399534316)
('401', 'a889be240af925d8131289539cfce9c63478c7f3', 0.04822789700194117)
('17', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.04735637655122413)
('429', 'a889be240af925d8131289539cfce9c63478c7f3', 0.047170376103322115)
('141', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.04665780462302572)
('83', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.04515704339825511)
('53', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.04377908251663292)
('235', 'ea0ac3b01b1b73a39064522704d1e0a41c2c6f1c', 0.04268489055568541)
('443', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.04125350365003102)
('329', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.03959221243580735)
('480', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.03919389690885924)
('53', '25768640fa98733e021e59af93a75597e6b819b5', 0.03626393419155132)
('480', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.035041273704556994)
('285', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.03469765044540662)
('141', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.03443516342151782)
('17', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.03413786452524429)
('12', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.03367945055848928)
('235', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.03274871465858997)
('376', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.03188332207783489)
('373', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.031782696731709185)
('254', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.030824865190251835)
('308', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.02783045514526965)
('110', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.027532092171743662)
('480', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.027302953697368338)
('165', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.02629346775737139)
('12', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.02561785243892168)
('285', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.025448709730232316)
('17', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.024495142651405757)
('210', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.023244773835476455)
('480', 'ea0ac3b01b1b73a39064522704d1e0a41c2c6f1c', 0.022824108826338528)
('304', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.021668387364036173)
('480', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.021103515097080437)
('217', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.02067637001521585)
('449', 'ea0ac3b01b1b73a39064522704d1e0a41c2c6f1c', 0.01900379151910997)
('83', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.018815620466232613)
('17', '65794585337c77575d0805c92cd4f6ead12becd8', 0.017220928706748146)
('47', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.016735974546086014)
('329', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.015354210456128203)
('12', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.01398653285301433)
('17', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.013467794181834093)
('481', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.012359790483060955)
('443', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.01162833298553166)
('110', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.0114540177431117)
('235', '31b156c3f747f752af791b65c4afa71692d320d5', 0.010276676561531419)
('47', 'ea0ac3b01b1b73a39064522704d1e0a41c2c6f1c', 0.009746092088307819)
('295', '65794585337c77575d0805c92cd4f6ead12becd8', 0.008780898406292833)
('53', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.007835394698244694)
('235', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.00775433161659461)
('308', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.007284560992217609)
('353', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.006679670779045063)
('334', 'a889be240af925d8131289539cfce9c63478c7f3', 0.006616069841307949)
('329', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.006388318010439291)
('235', '055a7eede2698dac59b173a6c1fd88aa6b08d5a4', 0.0056988035187381875)
('110', 'e9cb2a28ec140f82097d68fc7ae264f7fdc3b109', 0.005094961446205825)
('17', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.001815551685611871)
('480', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0008960916407784523)
('480', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0006892042359039643)
('481', '982b80f1c07477b39cd699bcfabd63c93488395e', 0.0)
('481', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.0)
('481', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.0)
('481', '97e95ed2ddb74018cf6934a7e5d5a1aab03f7da3', 0.0)
('481', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.0)
('481', 'd6296fa6fb95443ce59a3d8f35303be7366d7b00', 0.0)
('481', '163db1bff3177505d4d588012644783685814cca', 0.0)
('481', 'e236f01d6ef1ff6ec5099bcfbda14c428b1b50c4', 0.0)
('481', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.0)
('481', '0f8e702a64b30e9ffb0e4f357003130ba1c9e2e0', 0.0)
('481', '01f58cbcf82245153d41b606f0771f1f09c74e9b', 0.0)
('481', '65794585337c77575d0805c92cd4f6ead12becd8', 0.0)
('481', '31b156c3f747f752af791b65c4afa71692d320d5', 0.0)
('481', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('481', 'ff144a99050c38fbd80f304c511d60d5c613aa72', 0.0)
('481', '955b479383d02ea02740df49152710fef49afc44', 0.0)
('481', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('481', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('481', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('481', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('481', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0)
('481', '870e21110d17f4742cdef527e6ef40306ecf5de0', 0.0)
('481', '8497e75193d757edb4ecd0f85c05fcd8749b3ef8', 0.0)
('481', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('481', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('481', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('481', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.0)
('481', 'd48b60998bf75de952386eb45916c0873ac93afc', 0.0)
('481', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0)
('481', '6427790387a4b7809881804f64018123579409da', 0.0)
('481', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('481', 'ef2007bf4c6b491440721cf5b42c1fec2e9e602d', 0.0)
