('1001', 'b893aafae764aada0b8122b9cb7f7f40472c9487', 0.9605092056323573)
('442', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.93173711695708)
('126', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.9157144135437171)
('890', '7de40091a34aaef868fa1244dc29a46602f625e9', 0.8959270103338237)
('618', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.8865142250785223)
('695', 'dca1b2004321c824b33a3eaf27d0d926d35e72df', 0.8596597206274724)
('942', '5394613ba667f9747673cb8921fc50acedc9d8b5', 0.8533202159347538)
('619', 'c8f1d54fa18f724e25f62e2c2feddd3eeb78b76c', 0.8517937303787246)
('788', 'fe12a8481f7299f70ee976b670617ed74950bb84', 0.8357259434883528)
('119', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.8243032686728379)
('841', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.8227467248224135)
('483', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.815650698483854)
('135', '72ceb58fa3e0e484ca27cdfc7fd5f20cd0277561', 0.8023394978664402)
('528', '826a45c1052e846b1250813be74f0382f6a543e3', 0.8010366435512553)
('1047', 'f822761ab27bc5ee262ca8b80cd2e0dcb283624a', 0.7880689655261138)
('208', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.7861145410468506)
('1046', '2d930894ffc944af6d62bffe60118a7a0c98d3e8', 0.7850869270445269)
('171', '6a03ffaf7b44e79c56dff379a3efb99c91d34709', 0.7756932476356992)
('639', '11467fca2a078a6868473b61a9608ba45e337795', 0.7683488258708434)
('106', '5ade05711350fe190ec2898106e591dd0564f4df', 0.7662841339493196)
('807', '764e1b6dc012ac6ce10b17e18ce9fcf95c400d9c', 0.7652845332069456)
('280', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.7648894035707313)
('619', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.7624661929908801)
('442', '5aed505429694130a76115b7a4219b1a36f53346', 0.7611298803370222)
('171', '4f1e3bafe734cba3b27183fb4853686719c2e641', 0.7476661947119078)
('947', '10b0ade627491325199e41aeab4bfc8a764b3fb0', 0.7335210042931926)
('535', '847ebf9bf3187fb83616badbec1b2562053ae83d', 0.733351960440764)
('973', 'fa8ffb8e66176e52464cd04156cd565a5e37f2d1', 0.7284216365052586)
('751', '8e856acac595a3d37c5d086fb3776eeccaf764b4', 0.7253614318828557)
('1002', 'd88f204a15a89a14c36f2048406d4c4d1ee29f45', 0.7232521674592146)
('1057', '8f1b66ab5a22b772f59cbac616612b44eb30ffb2', 0.7197986219496264)
('663', 'a2241e25217f7ffdd8824502a47bf3b18623dc2f', 0.7084272206962636)
