,arthas,,,canal,,,druid,,,nacos,,,rax,,,san,,,EasyReact,,,Emmagee,,,bk-cmdb,,,ncnn,,,QMUI_Android,,,QMUI_iOS,,,weui,,,xLua,,,pegasus,,
,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP,best_f1,best_f2,MAP
gvsm_origin,"(0.2308, 0.2222, 0.2264)","(0.1161, 0.5432, 0.31294918618499407)","0.151","(0.1558, 0.1834, 0.1685)","(0.0761, 0.4379, 0.22446578202882936)","0.082","(0.133, 0.3218, 0.1882)","(0.1085, 0.375, 0.25146786155747836)","0.115","(0.1875, 0.1935, 0.1905)","(0.1212, 0.2581, 0.2105378920446897)","0.096","(0.3619, 0.2517, 0.2969)","(0.2733, 0.2914, 0.28759071211902354)","0.19","(0.4706, 0.4, 0.4324)","(0.2895, 0.55, 0.4661153395784543)","0.331","(0.3023, 0.4194, 0.3514)","(0.3023, 0.4194, 0.3892441974702199)","0.241","(0.2857, 0.125, 0.1739)","(0.0667, 1.0, 0.2632617619197979)","0.102","(0.0346, 0.1242, 0.0542)","(0.0294, 0.1756, 0.08803956343792632)","0.013","(0.5263, 0.3125, 0.3922)","(0.1736, 0.6562, 0.42172486302384127)","0.322","(0.2738, 0.3651, 0.3129)","(0.2308, 0.4286, 0.36588578192040244)","0.219","(0.8571, 0.75, 0.8)","(0.8571, 0.75, 0.769223865594486)","0.796","(0.32, 0.1739, 0.2254)","(0.0798, 0.3696, 0.21409756097560972)","0.15","(0.7692, 0.5, 0.6061)","(0.325, 0.65, 0.5416666666666667)","0.437","(0.6, 0.4138, 0.4898)","(0.3448, 0.6897, 0.5747222195369519)","0.464",0.3272533333333333,0.3587328836039581,0.24726666666666666
gvsm_trans,"(0.2766, 0.321, 0.2971)","(0.1392, 0.5309, 0.3397135239496185)","0.244","(0.1091, 0.3254, 0.1634)","(0.1091, 0.3254, 0.2330082698871095)","0.099","(0.2773, 0.2176, 0.2438)","(0.169, 0.331, 0.27775074478649453)","0.163","(0.2353, 0.2581, 0.2462)","(0.2353, 0.2581, 0.2531932377220045)","0.104","(0.4217, 0.2318, 0.2991)","(0.1226, 0.4172, 0.2817800793301014)","0.213","(0.45, 0.45, 0.45)","(0.3438, 0.55, 0.4910918346145855)","0.384","(0.4062, 0.4194, 0.4127)","(0.4062, 0.4194, 0.4166918109773995)","0.356","(0.1333, 0.5, 0.2105)","(0.1333, 0.5, 0.3225416182733256)","0.154","(0.105, 0.1135, 0.1091)","(0.0561, 0.1906, 0.12882722891566264)","0.037","(0.5882, 0.3125, 0.4082)","(0.1786, 0.625, 0.4166977751231895)","0.372","(0.4444, 0.254, 0.3232)","(0.25, 0.4444, 0.3845887565771255)","0.272","(0.8, 0.75, 0.7742)","(0.65, 0.8125, 0.7738095238095238)","0.812","(0.2927, 0.2609, 0.2759)","(0.1093, 0.4348, 0.2724979357798165)","0.157","(0.3226, 0.5, 0.3922)","(0.3226, 0.5, 0.4504579982126899)","0.46","(0.4074, 0.3793, 0.3929)","(0.2941, 0.5172, 0.449068611242324)","0.353",0.3332333333333333,0.36611459661339807,0.2786666666666667
lda_origin,"(0.1683, 0.2099, 0.1868)","(0.1683, 0.2099, 0.20001228626429624)","0.061","(0.0527, 0.213, 0.0845)","(0.0435, 0.3018, 0.13796027742749054)","0.029","(0.0719, 0.1065, 0.0858)","(0.0472, 0.1759, 0.11382615848642719)","0.024","(0.2105, 0.129, 0.16)","(0.1045, 0.2258, 0.1832564461012737)","0.074","(0.1545, 0.1126, 0.1303)","(0.066, 0.2252, 0.15191332788225675)","0.049","(0.1579, 0.15, 0.1538)","(0.0769, 1.0, 0.2940501682471704)","0.136","(0.0625, 0.2903, 0.1029)","(0.0625, 0.2903, 0.16790440496020728)","0.057","(0.6667, 0.125, 0.2105)","(0.0667, 1.0, 0.2632617619197979)","0.136","(0.0211, 0.1285, 0.0363)","(0.0211, 0.1285, 0.06367660873649601)","0.008","(0.3333, 0.2188, 0.2642)","(0.2424, 0.25, 0.2484421121679239)","0.107","(0.2333, 0.1111, 0.1505)","(0.1316, 0.1587, 0.15242242008465914)","0.07","(0.4286, 0.1875, 0.2609)","(0.0714, 1.0, 0.2776913503422527)","0.126","(0.1923, 0.1087, 0.1389)","(0.0529, 0.1957, 0.127087282101645)","0.067","(0.2222, 0.1, 0.1379)","(0.05, 1.0, 0.20833333333333334)","0.087","(0.3103, 0.3103, 0.3103)","(0.2326, 0.3448, 0.31446235884567125)","0.168",0.16090666666666664,0.1936200197933934,0.07993333333333334
lda_trans,"(0.1489, 0.1728, 0.16)","(0.0855, 0.321, 0.2069796380090498)","0.075","(0.1055, 0.1479, 0.1232)","(0.0655, 0.3195, 0.17994196044711952)","0.052","(0.0579, 0.0787, 0.0667)","(0.0387, 0.1806, 0.10419230769230768)","0.024","(0.1064, 0.1613, 0.1282)","(0.0857, 0.1935, 0.15460516501957858)","0.059","(0.07, 0.1921, 0.1027)","(0.0541, 0.2583, 0.14718801348219926)","0.05","(0.0769, 1.0, 0.1429)","(0.0769, 1.0, 0.2940501682471704)","0.081","(0.1538, 0.129, 0.1404)","(0.08, 0.2581, 0.1785850198927521)","0.065","(0.0667, 1.0, 0.125)","(0.0667, 1.0, 0.2632617619197979)","0.092","(0.0311, 0.0343, 0.0326)","(0.014, 0.2163, 0.05560411311053985)","0.008","(0.2258, 0.2188, 0.2222)","(0.2258, 0.2188, 0.22016506238859182)","0.088","(0.1429, 0.2063, 0.1688)","(0.1429, 0.2063, 0.18948624501863995)","0.051","(0.6667, 0.25, 0.3636)","(0.6667, 0.25, 0.28571551014810753)","0.321","(0.0619, 0.1522, 0.0881)","(0.0514, 0.1957, 0.1253299277348617)","0.033","(0.1333, 0.1, 0.1143)","(0.05, 1.0, 0.20833333333333334)","0.061","(0.2727, 0.1034, 0.15)","(0.0345, 1.0, 0.15158172231985942)","0.055",0.14191333333333336,0.18433466325092723,0.07433333333333333
vsm_origin,"(0.4167, 0.2469, 0.3101)","(0.3333, 0.284, 0.2926576799406381)","0.246","(0.2841, 0.1479, 0.1946)","(0.0815, 0.3846, 0.22055235012665356)","0.095","(0.3543, 0.2477, 0.2916)","(0.1813, 0.3588, 0.3000481549815498)","0.223","(0.175, 0.2258, 0.1972)","(0.175, 0.2258, 0.21341002376323182)","0.112","(0.3474, 0.2185, 0.2683)","(0.2287, 0.2848, 0.2714811603867956)","0.176","(0.5, 0.25, 0.3333)","(0.1935, 0.6, 0.4224890829694323)","0.277","(0.4074, 0.3548, 0.3793)","(0.4074, 0.3548, 0.3642045958476114)","0.231","(0.2308, 0.1875, 0.2069)","(0.0667, 1.0, 0.2632617619197979)","0.115","(0.0566, 0.0985, 0.0719)","(0.0401, 0.1542, 0.09827431659249841)","0.022","(1.0, 0.2188, 0.359)","(0.1546, 0.4688, 0.333317144959529)","0.333","(0.3273, 0.2857, 0.3051)","(0.1966, 0.3651, 0.3116745983499783)","0.234","(0.625, 0.625, 0.625)","(0.55, 0.6875, 0.6547619047619048)","0.576","(0.2857, 0.1304, 0.1791)","(0.1048, 0.2826, 0.21100370475919067)","0.097","(0.3636, 0.6, 0.4528)","(0.3636, 0.6, 0.5309579439252335)","0.306","(0.4103, 0.5517, 0.4706)","(0.2069, 0.8276, 0.51725)","0.394",0.30965333333333334,0.33368962821893633,0.22913333333333336
vsm_trans,"(0.4545, 0.2469, 0.32)","(0.3433, 0.284, 0.2941624426743905)","0.248","(0.1932, 0.2012, 0.1971)","(0.1159, 0.3018, 0.2284989547948785)","0.12","(0.2763, 0.2801, 0.2782)","(0.1714, 0.3796, 0.3054048066090875)","0.215","(0.1667, 0.129, 0.1455)","(0.1045, 0.2258, 0.1832564461012737)","0.077","(0.3033, 0.245, 0.2711)","(0.1808, 0.3245, 0.2799923642264007)","0.18","(0.625, 0.25, 0.3571)","(0.2857, 0.4, 0.37036556909515167)","0.333","(0.3929, 0.3548, 0.3729)","(0.3929, 0.3548, 0.3618171719269103)","0.23","(0.1548, 0.8125, 0.26)","(0.1548, 0.8125, 0.43925054131452124)","0.154","(0.0947, 0.1113, 0.1024)","(0.0556, 0.1756, 0.12265527638190953)","0.038","(0.6667, 0.3125, 0.4255)","(0.6667, 0.3125, 0.34965218339878495)","0.37","(0.4242, 0.2222, 0.2917)","(0.2047, 0.4127, 0.34299508729192035)","0.218","(0.8462, 0.6875, 0.7586)","(0.6667, 0.75, 0.7317153476937485)","0.691","(0.1746, 0.2391, 0.2018)","(0.106, 0.3478, 0.23883648613630473)","0.123","(0.2903, 0.45, 0.3529)","(0.2295, 0.7, 0.4964462299134734)","0.376","(0.4545, 0.3448, 0.3922)","(0.193, 0.7586, 0.47827583954004965)","0.357",0.3151333333333333,0.34822164980658704,0.24866666666666665
